Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Allahabad Bank",1180117,536891,1717008,2212.03,495162,"(A) Public Sector Banks","2014-10-29"
"Allahabad Bank",365712,70532,436244,449.32,62023,"(B) Regional Rural Bank","2014-10-29"
"Allahabad Bank",1211887,547600,1759487,2369.36,579359,"(A) Public Sector Banks","2014-11-05"
"Allahabad Bank",380031,75040,455071,442.32,73807,"(B) Regional Rural Bank","2014-11-05"
"Allahabad Bank",1234259,554166,1788425,2630.11,667021,"(A) Public Sector Banks","2014-11-12"
"Allahabad Bank",397286,79964,477250,447.44,79696,"(B) Regional Rural Bank","2014-11-12"
"Allahabad Bank",1265294,567763,1833057,3010.56,846587,"(A) Public Sector Banks","2014-11-19"
"Allahabad Bank",408721,83409,492130,454.16,88092,"(B) Regional Rural Bank","2014-11-19"
"Allahabad Bank",1301738,583440,1885178,3335.84,1041863,"(A) Public Sector Banks","2014-11-26"
"Allahabad Bank",417903,86244,504147,632.45,164478,"(B) Regional Rural Bank","2014-11-26"
"Allahabad Bank",1336502,595781,1932283,3553.79,1241294,"(A) Public Sector Banks","2014-12-03"
"Allahabad Bank",430848,89250,520098,710.47,130562,"(B) Regional Rural Bank","2014-12-03"
"Allahabad Bank",1360351,607322,1967673,3849.81,1469639,"(A) Public Sector Banks","2014-12-10"
"Allahabad Bank",447061,92646,539707,776.18,210811,"(B) Regional Rural Bank","2014-12-10"
"Allahabad Bank",1410599,626977,2037576,4211.92,1704415,"(A) Public Sector Banks","2014-12-17"
"Allahabad Bank",474035,98134,572169,837.18,320702,"(B) Regional Rural Bank","2014-12-17"
"Allahabad Bank",1441409,645665,2087074,4498.17,1783124,"(A) Public Sector Banks","2014-12-24"
"Allahabad Bank",487327,101226,588553,866.39,436379,"(B) Regional Rural Bank","2014-12-24"
"Allahabad Bank",1463411,658771,2122182,4843.3,2024815,"(A) Public Sector Banks","2014-12-31"
"Allahabad Bank",494631,105963,600594,928.68,588553,"(B) Regional Rural Bank","2014-12-31"
"Allahabad Bank",1510256,673637,2183893,5218.55,2182682,"(A) Public Sector Banks","2015-01-07"
"Allahabad Bank",509800,108526,618326,1057.28,598466,"(B) Regional Rural Bank","2015-01-07"
"Allahabad Bank",1557562,691167,2248729,5590.14,2185647,"(A) Public Sector Banks","2015-01-14"
"Allahabad Bank",515887,109228,625115,1176.1,607819,"(B) Regional Rural Bank","2015-01-14"
"Allahabad Bank",1658380,724508,2382888,6335.25,2327981,"(A) Public Sector Banks","2015-01-28"
"Allahabad Bank",520959,110204,631163,1380.37,614158,"(B) Regional Rural Bank","2015-01-28"
"Allahabad Bank",1702192,732807,2434999,6797.12,2380092,"(A) Public Sector Banks","2015-02-04"
"Allahabad Bank",523332,111000,634332,1554.39,617327,"(B) Regional Rural Bank","2015-02-04"
"Allahabad Bank",1736154,740133,2476287,7453.84,2421380,"(A) Public Sector Banks","2015-02-11"
"Allahabad Bank",526117,111647,637764,1673.36,620759,"(B) Regional Rural Bank","2015-02-11"
"Allahabad Bank",1769512,745332,2514844,7948.92,2459937,"(A) Public Sector Banks","2015-02-18"
"Allahabad Bank",528139,112213,640352,1768.18,623347,"(B) Regional Rural Bank","2015-02-18"
"Allahabad Bank",1801640,750042,2551682,8378.08,2496775,"(A) Public Sector Banks","2015-02-25"
"Allahabad Bank",531129,112886,644015,1887.29,627010,"(B) Regional Rural Bank","2015-02-25"
"Allahabad Bank",1835772,756613,2592385,8913.68,2537478,"(A) Public Sector Banks","2015-03-04"
"Allahabad Bank",533688,113569,647257,2042.16,630252,"(B) Regional Rural Bank","2015-03-04"
"Allahabad Bank",1861751,758129,2619880,9471.86,2564973,"(A) Public Sector Banks","2015-03-11"
"Allahabad Bank",535529,114228,649757,2154.16,632752,"(B) Regional Rural Bank","2015-03-11"
"Allahabad Bank",1910049,763627,2673676,10093.66,2618769,"(A) Public Sector Banks","2015-03-18"
"Allahabad Bank",538165,114962,653127,2322.19,636122,"(B) Regional Rural Bank","2015-03-18"
"Allahabad Bank",1957476,768656,2726132,10801.13,2671225,"(A) Public Sector Banks","2015-03-25"
"Allahabad Bank",540952,115640,656592,2569.86,639587,"(B) Regional Rural Bank","2015-03-25"
"Allahabad Bank",1997077,771822,2768899,11496.45,2713992,"(A) Public Sector Banks","2015-04-01"
"Allahabad Bank",542644,116168,658812,3071.67,641807,"(B) Regional Rural Bank","2015-04-01"
"Allahabad Bank",2037289,773424,2810713,11848.5,2755806,"(A) Public Sector Banks","2015-04-08"
"Allahabad Bank",544614,116616,661230,3669.32,644225,"(B) Regional Rural Bank","2015-04-08"
"Allahabad Bank",2068842,775519,2844361,12136.43,2789454,"(A) Public Sector Banks","2015-04-15"
"Allahabad Bank",546921,117162,664083,4216.13,647057,"(B) Regional Rural Bank","2015-04-15"
"Allahabad Bank",2114280,778930,2893210,12472.69,2838303,"(A) Public Sector Banks","2015-04-22"
"Allahabad Bank",548618,118910,667528,4283.39,650523,"(B) Regional Rural Bank","2015-04-22"
"Allahabad Bank",2139831,780770,2920601,12857.85,2865694,"(A) Public Sector Banks","2015-04-29"
"Allahabad Bank",551465,119505,670970,4298.71,653965,"(B) Regional Rural Bank","2015-04-29"
"Allahabad Bank",2159026,782247,2941273,13287.81,2886366,"(A) Public Sector Banks","2015-05-06"
"Allahabad Bank",553538,120432,673970,4359.45,656965,"(B) Regional Rural Bank","2015-05-06"
"Allahabad Bank",2187811,784503,2972314,14017.69,2917407,"(A) Public Sector Banks","2015-05-13"
"Allahabad Bank",556045,121213,677258,4426.79,660253,"(B) Regional Rural Bank","2015-05-13"
"Allahabad Bank",2220121,786713,3006834,14612.36,2951927,"(A) Public Sector Banks","2015-05-20"
"Allahabad Bank",558734,122094,680828,4595.6,663823,"(B) Regional Rural Bank","2015-05-20"
"Allahabad Bank",2269928,793301,3063229,15513.94,3008322,"(A) Public Sector Banks","2015-06-03"
"Allahabad Bank",564917,123917,688834,4819.27,671829,"(B) Regional Rural Bank","2015-06-03"
"Allahabad Bank",2296151,795723,3091874,16090.94,3036967,"(A) Public Sector Banks","2015-06-10"
"Allahabad Bank",567483,125194,692677,4970.32,675801,"(B) Regional Rural Bank","2015-06-10"
"Allahabad Bank",2321405,798689,3120094,16609.16,3065187,"(A) Public Sector Banks","2015-06-17"
"Allahabad Bank",570872,125942,696814,5056.12,679938,"(B) Regional Rural Bank","2015-06-17"
"Allahabad Bank",2352090,800160,3152250,17273.94,3097343,"(A) Public Sector Banks","2015-06-24"
"Allahabad Bank",573074,127857,700931,5268.32,684055,"(B) Regional Rural Bank","2015-06-24"
"Allahabad Bank",2384710,802059,3186769,17886.07,3131862,"(A) Public Sector Banks","2015-07-01"
"Allahabad Bank",576323,128557,704880,5425.53,688004,"(B) Regional Rural Bank","2015-07-01"
"Allahabad Bank",2416131,805274,3221405,18350.72,3166498,"(A) Public Sector Banks","2015-07-08"
"Allahabad Bank",578955,129576,708531,5662.9,691655,"(B) Regional Rural Bank","2015-07-08"
"Allahabad Bank",2441998,806635,3248633,18907.61,3193726,"(A) Public Sector Banks","2015-07-15"
"Allahabad Bank",581342,130792,712134,5738.19,695258,"(B) Regional Rural Bank","2015-07-15"
"Allahabad Bank",2458462,807950,3266412,19380.62,3211505,"(A) Public Sector Banks","2015-07-22"
"Allahabad Bank",583282,131921,715203,5834.84,698327,"(B) Regional Rural Bank","2015-07-22"
"Allahabad Bank",2485900,809490,3295390,19706.51,3240483,"(A) Public Sector Banks","2015-07-29"
"Allahabad Bank",586088,132847,718935,5885.34,702059,"(B) Regional Rural Bank","2015-07-29"
"Allahabad Bank",2514157,811570,3325727,20216.54,3270820,"(A) Public Sector Banks","2015-08-05"
"Allahabad Bank",588519,134086,722605,5942.47,705729,"(B) Regional Rural Bank","2015-08-05"
"Allahabad Bank",2540918,814029,3354947,20863.03,3300040,"(A) Public Sector Banks","2015-08-12"
"Allahabad Bank",590988,135232,726220,6034.15,709344,"(B) Regional Rural Bank","2015-08-12"
"Allahabad Bank",2558807,815010,3373817,21387.17,3318910,"(A) Public Sector Banks","2015-08-19"
"Allahabad Bank",592803,136315,729118,6181.94,712242,"(B) Regional Rural Bank","2015-08-19"
"Allahabad Bank",2593930,819041,3412971,21926.75,3358064,"(A) Public Sector Banks","2015-08-26"
"Allahabad Bank",594778,137673,732451,6209.29,715575,"(B) Regional Rural Bank","2015-08-26"
"Allahabad Bank",2599217,842275,3441492,22796.82,3386585,"(A) Public Sector Banks","2015-09-02"
"Allahabad Bank",596764,138508,735272,6254.28,717819,"(B) Regional Rural Bank","2015-09-02"
"Allahabad Bank",2614403,855516,3469919,23318.12,3415012,"(A) Public Sector Banks","2015-09-09"
