Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Andhra Bank",584929,433918,1018847,254.31,762409,"(A) Public Sector Banks","2014-09-24"
"Andhra Bank",635099,465817,1100916,292.7,864234,"(A) Public Sector Banks","2014-10-08"
"Andhra Bank",671013,485148,1156161,366.05,1012478,"(A) Public Sector Banks","2014-10-15"
"Andhra Bank",690690,496767,1187457,493.33,1052150,"(A) Public Sector Banks","2014-10-22"
"Andhra Bank",715393,508537,1223930,1803.57,1085174,"(A) Public Sector Banks","2014-10-29"
"Andhra Bank",76451,7334,83785,148.62,0,"(B) Regional Rural Bank","2014-10-29"
"Andhra Bank",739683,520331,1260014,1779.51,1085174,"(A) Public Sector Banks","2014-11-05"
"Andhra Bank",78776,7401,86177,0,0,"(B) Regional Rural Bank","2014-11-05"
"Andhra Bank",765227,529851,1295078,2350.39,1156997,"(A) Public Sector Banks","2014-11-12"
"Andhra Bank",81235,7452,88687,0,0,"(B) Regional Rural Bank","2014-11-12"
"Andhra Bank",793660,542678,1336338,2671.42,1156997,"(A) Public Sector Banks","2014-11-19"
"Andhra Bank",85514,7571,93085,0,0,"(B) Regional Rural Bank","2014-11-19"
"Andhra Bank",825746,555827,1381573,2952.18,1209846,"(A) Public Sector Banks","2014-11-26"
"Andhra Bank",92241,7831,100072,0,8500,"(B) Regional Rural Bank","2014-11-26"
"Andhra Bank",852674,567447,1420121,3269.28,1234292,"(A) Public Sector Banks","2014-12-03"
"Andhra Bank",98697,8120,106817,217.9,20122,"(B) Regional Rural Bank","2014-12-03"
"Andhra Bank",879726,581049,1460775,3578.66,1315882,"(A) Public Sector Banks","2014-12-10"
"Andhra Bank",102944,8269,111213,252.17,57995,"(B) Regional Rural Bank","2014-12-10"
"Andhra Bank",918957,597107,1516064,4043.3,1436685,"(A) Public Sector Banks","2014-12-17"
"Andhra Bank",106371,8451,114822,275.61,69459,"(B) Regional Rural Bank","2014-12-17"
"Andhra Bank",952413,612532,1564945,4460.41,1484223,"(A) Public Sector Banks","2014-12-24"
"Andhra Bank",110450,8648,119098,297.93,80885,"(B) Regional Rural Bank","2014-12-24"
"Andhra Bank",974643,623042,1597685,4838.64,1566635,"(A) Public Sector Banks","2014-12-31"
"Andhra Bank",110450,8648,119098,305.94,80885,"(B) Regional Rural Bank","2014-12-31"
"Andhra Bank",996454,633106,1629560,5358.03,1534077,"(A) Public Sector Banks","2015-01-07"
"Andhra Bank",115490,8874,124364,361.51,84689,"(B) Regional Rural Bank","2015-01-07"
"Andhra Bank",1013431,642975,1656406,5766.05,1562127,"(A) Public Sector Banks","2015-01-14"
"Andhra Bank",116958,8968,125926,398.13,84689,"(B) Regional Rural Bank","2015-01-14"
"Andhra Bank",1035261,649828,1685089,6406.48,1649595,"(A) Public Sector Banks","2015-01-28"
"Andhra Bank",121152,9217,130369,443.2,121559,"(B) Regional Rural Bank","2015-01-28"
"Andhra Bank",1081432,656625,1738057,6904.34,1693396,"(A) Public Sector Banks","2015-02-04"
"Andhra Bank",122389,9251,131640,467.08,121559,"(B) Regional Rural Bank","2015-02-04"
"Andhra Bank",1104526,659771,1764297,7374.2,1738059,"(A) Public Sector Banks","2015-02-11"
"Andhra Bank",123442,9292,132734,494.68,127890,"(B) Regional Rural Bank","2015-02-11"
"Andhra Bank",1124851,662304,1787155,7731.45,1766297,"(A) Public Sector Banks","2015-02-18"
"Andhra Bank",124473,9346,133819,528.56,130353,"(B) Regional Rural Bank","2015-02-18"
"Andhra Bank",1137415,664410,1801825,8045.57,1792328,"(A) Public Sector Banks","2015-02-25"
"Andhra Bank",126183,9477,135660,569.52,131953,"(B) Regional Rural Bank","2015-02-25"
"Andhra Bank",1141136,665731,1806867,8552.99,1793785,"(A) Public Sector Banks","2015-03-04"
"Andhra Bank",127705,9547,137252,585.51,132870,"(B) Regional Rural Bank","2015-03-04"
"Andhra Bank",1144345,666633,1810978,8945.78,1797885,"(A) Public Sector Banks","2015-03-11"
"Andhra Bank",130211,9602,139813,619.68,134993,"(B) Regional Rural Bank","2015-03-11"
"Andhra Bank",1146766,668151,1814917,9373.59,1797885,"(A) Public Sector Banks","2015-03-18"
"Andhra Bank",132232,9672,141904,657.72,134993,"(B) Regional Rural Bank","2015-03-18"
"Andhra Bank",1149300,669575,1818875,9580.59,1803885,"(A) Public Sector Banks","2015-03-25"
"Andhra Bank",133454,9687,143141,696.03,138899,"(B) Regional Rural Bank","2015-03-25"
"Andhra Bank",1150496,671096,1821592,9939.24,1805549,"(A) Public Sector Banks","2015-04-01"
"Andhra Bank",134126,9739,143865,736.41,138975,"(B) Regional Rural Bank","2015-04-01"
"Andhra Bank",1152186,672246,1824432,10222.87,1807390,"(A) Public Sector Banks","2015-04-08"
"Andhra Bank",134548,9768,144316,739.62,139320,"(B) Regional Rural Bank","2015-04-08"
"Andhra Bank",1153995,673858,1827853,10425.68,1811225,"(A) Public Sector Banks","2015-04-15"
"Andhra Bank",135168,9777,144945,740.62,139773,"(B) Regional Rural Bank","2015-04-15"
"Andhra Bank",1156673,675966,1832639,10655.97,1815250,"(A) Public Sector Banks","2015-04-22"
"Andhra Bank",136069,9793,145862,741.86,140333,"(B) Regional Rural Bank","2015-04-22"
"Andhra Bank",1162035,676970,1839005,10941.47,1819553,"(A) Public Sector Banks","2015-04-29"
"Andhra Bank",136792,9799,146591,806.74,141159,"(B) Regional Rural Bank","2015-04-29"
"Andhra Bank",1167054,678246,1845300,11169.09,1826087,"(A) Public Sector Banks","2015-05-06"
"Andhra Bank",137224,9804,147028,807.53,141930,"(B) Regional Rural Bank","2015-05-06"
"Andhra Bank",1174414,680072,1854486,11536.23,1834224,"(A) Public Sector Banks","2015-05-13"
"Andhra Bank",137695,9871,147566,809.14,142266,"(B) Regional Rural Bank","2015-05-13"
"Andhra Bank",1182475,681387,1863862,11848.54,1842713,"(A) Public Sector Banks","2015-05-20"
