Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Axis Bank Ltd",56014,68474,124488,62.79,0,"(C) Major Private Banks","2014-09-24"
"Axis Bank Ltd",70407,100669,171076,70.69,0,"(C) Major Private Banks","2014-10-08"
"Axis Bank Ltd",61691,106304,167995,23.6,0,"(C) Major Private Banks","2014-10-15"
"Axis Bank Ltd",63692,112509,176201,26.38,58801,"(C) Major Private Banks","2014-10-22"
"Axis Bank Ltd",64315,115077,179392,667.07,62094,"(C) Major Private Banks","2014-10-29"
"Axis Bank Ltd",65491,120253,185744,1125.59,64368,"(C) Major Private Banks","2014-11-05"
"Axis Bank Ltd",66055,123611,189666,1188.33,66886,"(C) Major Private Banks","2014-11-12"
"Axis Bank Ltd",66914,128378,195292,1173.29,72504,"(C) Major Private Banks","2014-11-19"
"Axis Bank Ltd",67780,132572,200352,1207.32,76304,"(C) Major Private Banks","2014-11-26"
"Axis Bank Ltd",68701,137433,206134,1364.17,80770,"(C) Major Private Banks","2014-12-03"
"Axis Bank Ltd",69219,141359,210578,1580.22,136176,"(C) Major Private Banks","2014-12-10"
"Axis Bank Ltd",70093,147662,217755,1579.56,156440,"(C) Major Private Banks","2014-12-17"
"Axis Bank Ltd",71255,154546,225801,1546.99,220944,"(C) Major Private Banks","2014-12-24"
"Axis Bank Ltd",72092,158519,230611,1499.37,224923,"(C) Major Private Banks","2014-12-31"
"Axis Bank Ltd",73944,170888,244832,1815.26,236915,"(C) Major Private Banks","2015-01-07"
"Axis Bank Ltd",95512,304329,399841,1973.92,390535,"(C) Major Private Banks","2015-01-14"
"Axis Bank Ltd",98835,330664,429499,1926.24,415514,"(C) Major Private Banks","2015-01-28"
"Axis Bank Ltd",99997,340886,440883,2101.75,424400,"(C) Major Private Banks","2015-02-04"
"Axis Bank Ltd",100701,346310,447011,2565.4,429466,"(C) Major Private Banks","2015-02-11"
"Axis Bank Ltd",101362,350952,452314,2403.47,433767,"(C) Major Private Banks","2015-02-18"
"Axis Bank Ltd",101921,354986,456907,2475.26,437429,"(C) Major Private Banks","2015-02-25"
"Axis Bank Ltd",102466,359115,461581,2748.07,441067,"(C) Major Private Banks","2015-03-04"
"Axis Bank Ltd",103052,363093,466145,3153.08,444183,"(C) Major Private Banks","2015-03-11"
"Axis Bank Ltd",104799,365571,470370,3048.23,446288,"(C) Major Private Banks","2015-03-18"
"Axis Bank Ltd",105280,368057,473337,3155.63,448475,"(C) Major Private Banks","2015-03-25"
"Axis Bank Ltd",105887,371427,477314,3574.87,451595,"(C) Major Private Banks","2015-04-01"
"Axis Bank Ltd",106243,372718,478961,3734.4,452904,"(C) Major Private Banks","2015-04-08"
"Axis Bank Ltd",106752,374487,481239,3735.93,454705,"(C) Major Private Banks","2015-04-15"
"Axis Bank Ltd",107543,376538,484081,3516.78,456947,"(C) Major Private Banks","2015-04-22"
"Axis Bank Ltd",107817,377737,485554,3513.15,458194,"(C) Major Private Banks","2015-04-29"
"Axis Bank Ltd",108261,378664,486925,3807.66,459157,"(C) Major Private Banks","2015-05-06"
"Axis Bank Ltd",108633,379928,488561,4073.94,460525,"(C) Major Private Banks","2015-05-13"
"Axis Bank Ltd",108878,381212,490090,3834.35,461592,"(C) Major Private Banks","2015-05-20"
"Axis Bank Ltd",109852,384308,494160,4086.53,464595,"(C) Major Private Banks","2015-06-03"
"Axis Bank Ltd",110137,385246,495383,4273.99,465566,"(C) Major Private Banks","2015-06-10"
"Axis Bank Ltd",110462,386600,497062,4327.94,466825,"(C) Major Private Banks","2015-06-17"
"Axis Bank Ltd",111050,385258,496308,4082.04,465455,"(C) Major Private Banks","2015-06-24"
"Axis Bank Ltd",111500,387055,498555,4051.47,467080,"(C) Major Private Banks","2015-07-01"
"Axis Bank Ltd",111863,392505,504368,4598.62,472370,"(C) Major Private Banks","2015-07-08"
"Axis Bank Ltd",112086,393462,505548,4774.84,473311,"(C) Major Private Banks","2015-07-15"
"Axis Bank Ltd",112671,396435,509106,4434.81,475814,"(C) Major Private Banks","2015-07-22"
"Axis Bank Ltd",113771,399090,512861,4423.57,478636,"(C) Major Private Banks","2015-07-29"
"Axis Bank Ltd",114470,400853,515323,4599.4,480438,"(C) Major Private Banks","2015-08-05"
"Axis Bank Ltd",114692,403068,517760,5170.11,482343,"(C) Major Private Banks","2015-08-12"
"Axis Bank Ltd",115154,405181,520335,5002.42,484302,"(C) Major Private Banks","2015-08-19"
"Axis Bank Ltd",114376,407291,521667,4877.48,485956,"(C) Major Private Banks","2015-08-26"
"Axis Bank Ltd",115134,410036,525170,4990.8,488772,"(C) Major Private Banks","2015-09-02"
"Axis Bank Ltd",115753,412358,528111,5699.74,491190,"(C) Major Private Banks","2015-09-09"
"Axis Bank Ltd",116222,413962,530184,5481.08,492836,"(C) Major Private Banks","2015-09-16"
"Axis Bank Ltd",116969,416911,533880,5319.21,495662,"(C) Major Private Banks","2015-09-23"
"Axis Bank Ltd",117991,420531,538522,6033.53,499573,"(C) Major Private Banks","2015-10-07"
"Axis Bank Ltd",118354,422653,541007,6192.15,501638,"(C) Major Private Banks","2015-10-14"
"Axis Bank Ltd",118618,424543,543161,6044.39,503440,"(C) Major Private Banks","2015-10-21"
"Axis Bank Ltd",118953,426212,545165,5772.01,504981,"(C) Major Private Banks","2015-10-28"
"Axis Bank Ltd",119401,428476,547877,6263.39,507309,"(C) Major Private Banks","2015-11-04"
"Axis Bank Ltd",119506,429198,548704,6619.59,508024,"(C) Major Private Banks","2015-11-11"
