Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Bank of Baroda",958981,1617242,2576223,1366.41,1973850,"(A) Public Sector Banks","2014-09-24"
"Bank of Baroda",1129334,1835576,2964910,810.7,2307438,"(A) Public Sector Banks","2014-10-08"
"Bank of Baroda",1296704,2007609,3304313,792.41,2684634,"(A) Public Sector Banks","2014-10-15"
"Bank of Baroda",1377920,2102186,3480106,554.4,2812340,"(A) Public Sector Banks","2014-10-22"
"Bank of Baroda",1440998,2173483,3614481,20506.68,3029850,"(A) Public Sector Banks","2014-10-29"
"Bank of Baroda",724876,213656,938532,3722.4,264010,"(B) Regional Rural Bank","2014-10-29"
"Bank of Baroda",1520802,2259269,3780071,23590.93,3129818,"(A) Public Sector Banks","2014-11-05"
"Bank of Baroda",764328,229602,993930,4252.4,305996,"(B) Regional Rural Bank","2014-11-05"
"Bank of Baroda",1601907,2349016,3950923,25706.24,3233154,"(A) Public Sector Banks","2014-11-12"
"Bank of Baroda",809538,240640,1050178,4577.64,368250,"(B) Regional Rural Bank","2014-11-12"
"Bank of Baroda",1694345,2449102,4143447,28873.47,3483598,"(A) Public Sector Banks","2014-11-19"
"Bank of Baroda",861500,257267,1118767,5102.6,435226,"(B) Regional Rural Bank","2014-11-19"
"Bank of Baroda",1801389,2583405,4384794,31731,3804681,"(A) Public Sector Banks","2014-11-26"
"Bank of Baroda",916435,274997,1191432,5761.45,501200,"(B) Regional Rural Bank","2014-11-26"
"Bank of Baroda",1884960,2687923,4572883,34402.23,3983481,"(A) Public Sector Banks","2014-12-03"
"Bank of Baroda",965135,293466,1258601,6242.28,552391,"(B) Regional Rural Bank","2014-12-03"
"Bank of Baroda",1984684,2816138,4800822,37738.06,4619973,"(A) Public Sector Banks","2014-12-10"
"Bank of Baroda",1016120,310483,1326603,6870.36,845566,"(B) Regional Rural Bank","2014-12-10"
"Bank of Baroda",2124990,2996123,5121113,41194.15,5014279,"(A) Public Sector Banks","2014-12-17"
"Bank of Baroda",1184115,359974,1544089,8110.43,1225515,"(B) Regional Rural Bank","2014-12-17"
"Bank of Baroda",2247746,3175365,5423111,45034.39,5161747,"(A) Public Sector Banks","2014-12-24"
