Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Bank of India",1004197,1521534,2525731,740.14,1407469,"(A) Public Sector Banks","2014-10-08"
"Bank of India",1072906,1625680,2698586,754.57,1719413,"(A) Public Sector Banks","2014-10-15"
"Bank of India",1170301,1752362,2922663,837.28,2038729,"(A) Public Sector Banks","2014-10-22"
"Bank of India",1225201,1811651,3036852,7683.45,2164745,"(A) Public Sector Banks","2014-10-29"
"Bank of India",751934,165596,917530,732.85,41630,"(B) Regional Rural Bank","2014-10-29"
"Bank of India",1292467,1905860,3198327,8362.33,2317061,"(A) Public Sector Banks","2014-11-05"
"Bank of India",773975,172130,946105,910.06,41650,"(B) Regional Rural Bank","2014-11-05"
"Bank of India",1337139,1962553,3299692,10284.91,2427891,"(A) Public Sector Banks","2014-11-12"
"Bank of India",788795,176889,965684,1060.03,41630,"(B) Regional Rural Bank","2014-11-12"
"Bank of India",1418011,2072931,3490942,12258.28,2631741,"(A) Public Sector Banks","2014-11-19"
"Bank of India",830608,189457,1020065,1110.38,41650,"(B) Regional Rural Bank","2014-11-19"
"Bank of India",1504009,2184650,3688659,13791.92,2826915,"(A) Public Sector Banks","2014-11-26"
"Bank of India",882035,206613,1088648,1143.94,41650,"(B) Regional Rural Bank","2014-11-26"
"Bank of India",1585643,2288892,3874535,15016.34,3013723,"(A) Public Sector Banks","2014-12-03"
"Bank of India",932209,225314,1157523,1208.11,41630,"(B) Regional Rural Bank","2014-12-03"
"Bank of India",1672329,2411114,4083443,16281.41,3335254,"(A) Public Sector Banks","2014-12-10"
"Bank of India",976280,244575,1220855,1266.15,241155,"(B) Regional Rural Bank","2014-12-10"
"Bank of India",1766648,2562282,4328930,18130.18,3663682,"(A) Public Sector Banks","2014-12-17"
"Bank of India",1046339,266007,1312346,1336.68,427793,"(B) Regional Rural Bank","2014-12-17"
"Bank of India",1862978,2708425,4571403,19632.47,4334569,"(A) Public Sector Banks","2014-12-24"
"Bank of India",1099961,283465,1383426,1417.09,707351,"(B) Regional Rural Bank","2014-12-24"
"Bank of India",1942951,2827989,4770940,21070.6,4742617,"(A) Public Sector Banks","2014-12-31"
