Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Bank of Maharashtra",560682,304735,865417,582.01,37684,"(A) Public Sector Banks","2014-09-24"
"Bank of Maharashtra",651554,338579,990133,594.45,146314,"(A) Public Sector Banks","2014-10-08"
"Bank of Maharashtra",688304,352567,1040871,544.19,218650,"(A) Public Sector Banks","2014-10-15"
"Bank of Maharashtra",714648,363841,1078489,554.86,269381,"(A) Public Sector Banks","2014-10-22"
"Bank of Maharashtra",737632,371799,1109431,3910.34,324981,"(A) Public Sector Banks","2014-10-29"
"Bank of Maharashtra",117237,39036,156273,82.99,17737,"(B) Regional Rural Bank","2014-10-29"
"Bank of Maharashtra",764171,381058,1145229,3767.46,464281,"(A) Public Sector Banks","2014-11-05"
"Bank of Maharashtra",119292,40124,159416,84.97,18056,"(B) Regional Rural Bank","2014-11-05"
"Bank of Maharashtra",786537,389384,1175921,5039.11,464281,"(A) Public Sector Banks","2014-11-12"
"Bank of Maharashtra",120879,41034,161913,86.66,18084,"(B) Regional Rural Bank","2014-11-12"
"Bank of Maharashtra",823344,403258,1226602,5838.54,703894,"(A) Public Sector Banks","2014-11-19"
"Bank of Maharashtra",123124,42203,165327,87.85,18106,"(B) Regional Rural Bank","2014-11-19"
"Bank of Maharashtra",864806,420066,1284872,6215.49,806699,"(A) Public Sector Banks","2014-11-26"
"Bank of Maharashtra",125910,42670,168580,88.59,18152,"(B) Regional Rural Bank","2014-11-26"
"Bank of Maharashtra",952260,446842,1399102,7318.66,1118599,"(A) Public Sector Banks","2014-12-10"
"Bank of Maharashtra",162978,44242,207220,111.7,118181,"(B) Regional Rural Bank","2014-12-10"
"Bank of Maharashtra",1036988,488523,1525511,13006.9,1243640,"(A) Public Sector Banks","2014-12-17"
"Bank of Maharashtra",268201,51317,319518,125.62,148455,"(B) Regional Rural Bank","2014-12-17"
"Bank of Maharashtra",1113390,519606,1632996,17863.1,1320427,"(A) Public Sector Banks","2014-12-24"
"Bank of Maharashtra",320801,54011,374812,134.43,150520,"(B) Regional Rural Bank","2014-12-24"
"Bank of Maharashtra",1181266,549627,1730893,20904.9,1457527,"(A) Public Sector Banks","2014-12-31"
"Bank of Maharashtra",321483,54357,375840,134.82,211265,"(B) Regional Rural Bank","2014-12-31"
"Bank of Maharashtra",1204469,560162,1764631,23517.24,1601447,"(A) Public Sector Banks","2015-01-07"
"Bank of Maharashtra",321483,54357,375840,134.82,241265,"(B) Regional Rural Bank","2015-01-07"
"Bank of Maharashtra",1204469,560162,1764631,21524.75,1707608,"(A) Public Sector Banks","2015-01-14"
"Bank of Maharashtra",321483,54357,375840,134.82,300990,"(B) Regional Rural Bank","2015-01-14"
"Bank of Maharashtra",1204469,560162,1764631,19425.42,1715822,"(A) Public Sector Banks","2015-01-28"
"Bank of Maharashtra",321483,54357,375840,134.82,375840,"(B) Regional Rural Bank","2015-01-28"
"Bank of Maharashtra",1204469,560162,1764631,17415.32,1715822,"(A) Public Sector Banks","2015-02-04"
"Bank of Maharashtra",321483,54357,375840,134.82,375840,"(B) Regional Rural Bank","2015-02-04"
"Bank of Maharashtra",1205217,560402,1765619,16715.34,1716810,"(A) Public Sector Banks","2015-02-11"
"Bank of Maharashtra",321483,54357,375840,134.82,375840,"(B) Regional Rural Bank","2015-02-11"
"Bank of Maharashtra",1205864,560608,1766472,16824.12,1717663,"(A) Public Sector Banks","2015-02-18"
"Bank of Maharashtra",332458,58623,391081,142.86,391081,"(B) Regional Rural Bank","2015-02-18"
"Bank of Maharashtra",1207785,561672,1769457,16787.24,1720648,"(A) Public Sector Banks","2015-02-25"
"Bank of Maharashtra",381865,68491,450356,1534.02,450356,"(B) Regional Rural Bank","2015-02-25"
"Bank of Maharashtra",1208765,562254,1771019,16742.15,1722210,"(A) Public Sector Banks","2015-03-04"
"Bank of Maharashtra",381865,68491,450356,4788.3,450356,"(B) Regional Rural Bank","2015-03-04"
"Bank of Maharashtra",1208765,562254,1771019,16587.62,1722210,"(A) Public Sector Banks","2015-03-11"
"Bank of Maharashtra",381865,68491,450356,4788.3,450356,"(B) Regional Rural Bank","2015-03-11"
"Bank of Maharashtra",1208765,562254,1771019,18867.38,1722210,"(A) Public Sector Banks","2015-03-18"
