Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Bhartiya Mahila Bank",0,31738,31738,66.97,31587,"(A) Public Sector Banks","2014-10-22"
"Bhartiya Mahila Bank",0,33380,33380,107.22,33042,"(A) Public Sector Banks","2014-10-29"
"Bhartiya Mahila Bank",0,35047,35047,134.32,34763,"(A) Public Sector Banks","2014-11-05"
"Bhartiya Mahila Bank",0,37815,37815,149.97,37487,"(A) Public Sector Banks","2014-11-12"
"Bhartiya Mahila Bank",0,43362,43362,175.54,43011,"(A) Public Sector Banks","2014-11-19"
"Bhartiya Mahila Bank",0,45999,45999,197.96,45210,"(A) Public Sector Banks","2014-11-26"
"Bhartiya Mahila Bank",0,48579,48579,245.08,47749,"(A) Public Sector Banks","2014-12-03"
"Bhartiya Mahila Bank",0,50006,50006,266.08,49068,"(A) Public Sector Banks","2014-12-10"
"Bhartiya Mahila Bank",0,51228,51228,309.05,50181,"(A) Public Sector Banks","2014-12-17"
"Bhartiya Mahila Bank",0,52966,52966,316.85,51700,"(A) Public Sector Banks","2014-12-24"
"Bhartiya Mahila Bank",0,53347,53347,339.01,52410,"(A) Public Sector Banks","2014-12-31"
"Bhartiya Mahila Bank",0,55068,55068,366.41,54386,"(A) Public Sector Banks","2015-01-07"
"Bhartiya Mahila Bank",0,56525,56525,404.33,55920,"(A) Public Sector Banks","2015-01-14"
"Bhartiya Mahila Bank",0,58534,58534,483.3,58122,"(A) Public Sector Banks","2015-01-28"
"Bhartiya Mahila Bank",0,59945,59945,540.53,59663,"(A) Public Sector Banks","2015-02-04"
"Bhartiya Mahila Bank",0,60189,60189,595.94,59985,"(A) Public Sector Banks","2015-02-11"
"Bhartiya Mahila Bank",0,60222,60222,617.56,60119,"(A) Public Sector Banks","2015-02-18"
"Bhartiya Mahila Bank",0,60241,60241,652.85,60223,"(A) Public Sector Banks","2015-02-25"
"Bhartiya Mahila Bank",0,60258,60258,671.4,60258,"(A) Public Sector Banks","2015-03-04"
"Bhartiya Mahila Bank",0,60391,60391,696.75,60391,"(A) Public Sector Banks","2015-03-11"
"Bhartiya Mahila Bank",0,60563,60563,720.55,60563,"(A) Public Sector Banks","2015-03-18"
"Bhartiya Mahila Bank",0,60633,60633,747.72,60633,"(A) Public Sector Banks","2015-03-25"
"Bhartiya Mahila Bank",0,60924,60924,801.71,60924,"(A) Public Sector Banks","2015-04-01"
"Bhartiya Mahila Bank",0,61099,61099,818.98,61099,"(A) Public Sector Banks","2015-04-08"
"Bhartiya Mahila Bank",0,61172,61172,835.65,61172,"(A) Public Sector Banks","2015-04-15"
"Bhartiya Mahila Bank",0,61324,61324,858.54,61324,"(A) Public Sector Banks","2015-04-22"
"Bhartiya Mahila Bank",0,61406,61406,892.6,61406,"(A) Public Sector Banks","2015-04-29"
"Bhartiya Mahila Bank",0,61450,61450,905.56,61450,"(A) Public Sector Banks","2015-05-06"
"Bhartiya Mahila Bank",0,61486,61486,931.9,61486,"(A) Public Sector Banks","2015-05-13"
"Bhartiya Mahila Bank",0,61564,61564,952.38,61564,"(A) Public Sector Banks","2015-05-20"
"Bhartiya Mahila Bank",0,62296,62296,986.05,62296,"(A) Public Sector Banks","2015-06-03"
"Bhartiya Mahila Bank",0,62605,62605,996.85,62605,"(A) Public Sector Banks","2015-06-10"
"Bhartiya Mahila Bank",0,62817,62817,1012.28,62296,"(A) Public Sector Banks","2015-06-17"
"Bhartiya Mahila Bank",0,63221,63221,1025.67,63221,"(A) Public Sector Banks","2015-06-24"
"Bhartiya Mahila Bank",0,63287,63287,1052.35,63287,"(A) Public Sector Banks","2015-07-01"
"Bhartiya Mahila Bank",0,63486,63486,1069.31,63486,"(A) Public Sector Banks","2015-07-08"
"Bhartiya Mahila Bank",0,63556,63556,1071.59,63556,"(A) Public Sector Banks","2015-07-15"
"Bhartiya Mahila Bank",0,63739,63739,1082.34,63739,"(A) Public Sector Banks","2015-07-22"
"Bhartiya Mahila Bank",0,63879,63879,1089.08,63879,"(A) Public Sector Banks","2015-07-29"
"Bhartiya Mahila Bank",0,64157,64157,1110.6,64157,"(A) Public Sector Banks","2015-08-05"
"Bhartiya Mahila Bank",0,64336,64336,1125.22,64336,"(A) Public Sector Banks","2015-08-12"
"Bhartiya Mahila Bank",0,64610,64610,1141.9,64610,"(A) Public Sector Banks","2015-08-19"
"Bhartiya Mahila Bank",0,65019,65019,1145.7,65019,"(A) Public Sector Banks","2015-08-26"
"Bhartiya Mahila Bank",0,65330,65330,1156.95,65330,"(A) Public Sector Banks","2015-09-02"
"Bhartiya Mahila Bank",0,66308,66308,1173.67,65614,"(A) Public Sector Banks","2015-09-09"
"Bhartiya Mahila Bank",0,65821,65821,1177.13,65821,"(A) Public Sector Banks","2015-09-16"
"Bhartiya Mahila Bank",0,65954,65954,1198.96,65954,"(A) Public Sector Banks","2015-09-23"
"Bhartiya Mahila Bank",0,66172,66172,1239.04,66172,"(A) Public Sector Banks","2015-10-07"
"Bhartiya Mahila Bank",0,66218,66218,1253.42,66218,"(A) Public Sector Banks","2015-10-14"
"Bhartiya Mahila Bank",0,66325,66325,1253.37,66325,"(A) Public Sector Banks","2015-10-21"
"Bhartiya Mahila Bank",0,66404,66404,1234.75,66404,"(A) Public Sector Banks","2015-10-28"
"Bhartiya Mahila Bank",0,66514,66514,1245.5,66514,"(A) Public Sector Banks","2015-11-04"
"Bhartiya Mahila Bank",0,66628,66628,1233.62,66628,"(A) Public Sector Banks","2015-11-11"
"Bhartiya Mahila Bank",0,66665,66665,1251.38,64017,"(A) Public Sector Banks","2015-11-18"
"Bhartiya Mahila Bank",0,66666,66666,1257.69,66666,"(A) Public Sector Banks","2015-11-25"
"Bhartiya Mahila Bank",0,66667,66667,1255.4,66667,"(A) Public Sector Banks","2015-12-02"
"Bhartiya Mahila Bank",0,66832,66832,1279.36,66832,"(A) Public Sector Banks","2015-12-09"
"Bhartiya Mahila Bank",0,66904,66904,1292.84,66904,"(A) Public Sector Banks","2015-12-16"
"Bhartiya Mahila Bank",0,66935,66935,1293.72,66935,"(A) Public Sector Banks","2015-12-23"
"Bhartiya Mahila Bank",0,67025,67025,1290.11,67025,"(A) Public Sector Banks","2015-12-30"
"Bhartiya Mahila Bank",0,67102,67102,1317.06,67102,"(A) Public Sector Banks","2016-01-06"
"Bhartiya Mahila Bank",0,67158,67158,1335.38,67158,"(A) Public Sector Banks","2016-01-13"
"Bhartiya Mahila Bank",0,67197,67197,1350.73,67197,"(A) Public Sector Banks","2016-01-20"
"Bhartiya Mahila Bank",0,67210,67210,1345.06,67210,"(A) Public Sector Banks","2016-01-27"
"Bhartiya Mahila Bank",0,67311,67311,1415.73,67311,"(A) Public Sector Banks","2016-02-10"
"Bhartiya Mahila Bank",0,67332,67332,1431.3,67332,"(A) Public Sector Banks","2016-02-17"
"Bhartiya Mahila Bank",0,67363,67363,1435.18,67363,"(A) Public Sector Banks","2016-02-24"
"Bhartiya Mahila Bank",0,67370,67370,1437,67370,"(A) Public Sector Banks","2016-03-02"
"Bhartiya Mahila Bank",0,67388,67388,1456.98,67388,"(A) Public Sector Banks","2016-03-09"
"Bhartiya Mahila Bank",0,67395,67395,1483.09,67395,"(A) Public Sector Banks","2016-03-16"
"Bhartiya Mahila Bank",0,67437,67437,1503.5,67437,"(A) Public Sector Banks","2016-03-23"
"Bhartiya Mahila Bank",0,67437,67437,1503.14,64677,"(A) Public Sector Banks","2016-03-30"
"Bhartiya Mahila Bank",0,66741,66741,1389.31,66741,"(A) Public Sector Banks","2016-04-06"
"Bhartiya Mahila Bank",0,69083,69083,1483.88,69083,"(A) Public Sector Banks","2016-04-13"
"Bhartiya Mahila Bank",0,66753,66753,1404.98,66753,"(A) Public Sector Banks","2016-04-20"
"Bhartiya Mahila Bank",0,69103,69103,1498.05,69103,"(A) Public Sector Banks","2016-04-27"
"Bhartiya Mahila Bank",0,69106,69106,1493.28,66445,"(A) Public Sector Banks","2016-05-04"
"Bhartiya Mahila Bank",0,69111,69111,1521.74,69111,"(A) Public Sector Banks","2016-05-11"
"Bhartiya Mahila Bank",0,69120,69120,1533.86,69120,"(A) Public Sector Banks","2016-05-18"
"Bhartiya Mahila Bank",0,69124,69124,1546.48,69124,"(A) Public Sector Banks","2016-05-25"
"Bhartiya Mahila Bank",0,69130,69130,1565.91,69130,"(A) Public Sector Banks","2016-06-01"
"Bhartiya Mahila Bank",0,57572,57572,459.06,57044,"(A) Public Sector Banks","2015-01-21"
"Bhartiya Mahila Bank",0,61618,61618,961.35,61618,"(A) Public Sector Banks","2015-05-27"
"Bhartiya Mahila Bank",0,66135,66135,1234.4,63633,"(A) Public Sector Banks","2015-09-30"
"Bhartiya Mahila Bank",0,67262,67262,1378.13,67262,"(A) Public Sector Banks","2016-02-03"
"Bhartiya Mahila Bank",0,69130,69130,1564.38,66468,"(A) Public Sector Banks","2016-06-08"
"Bhartiya Mahila Bank",0,68943,68943,1683.54,68943,"(A) Public Sector Banks","2016-10-12"
"Bhartiya Mahila Bank",0,69132,69132,1575.26,69132,"(A) Public Sector Banks","2016-06-15"
"Bhartiya Mahila Bank",0,69130,69130,1591.81,69130,"(A) Public Sector Banks","2016-06-22"
"Bhartiya Mahila Bank",0,69134,69134,1589.96,69134,"(A) Public Sector Banks","2016-06-29"
"Bhartiya Mahila Bank",0,69134,69134,1646.34,69134,"(A) Public Sector Banks","2016-07-06"
"Bhartiya Mahila Bank",0,69136,69136,1645.52,69136,"(A) Public Sector Banks","2016-07-13"
"Bhartiya Mahila Bank",0,69142,69142,1638.45,69142,"(A) Public Sector Banks","2016-07-20"
"Bhartiya Mahila Bank",0,69144,69144,1639.03,69144,"(A) Public Sector Banks","2016-07-27"
"Bhartiya Mahila Bank",0,69144,69144,1645.69,69144,"(A) Public Sector Banks","2016-08-03"
"Bhartiya Mahila Bank",0,69165,69165,1649.31,69165,"(A) Public Sector Banks","2016-08-10"
"Bhartiya Mahila Bank",0,67490,67490,1558.87,64176,"(A) Public Sector Banks","2016-08-17"
"Bhartiya Mahila Bank",0,69176,69176,1654.66,69176,"(A) Public Sector Banks","2016-08-24"
"Bhartiya Mahila Bank",0,69179,69179,1649.79,69179,"(A) Public Sector Banks","2016-08-31"
"Bhartiya Mahila Bank",0,69180,69180,1645.66,69180,"(A) Public Sector Banks","2016-09-07"
"Bhartiya Mahila Bank",0,69180,69180,1634.02,69180,"(A) Public Sector Banks","2016-09-14"
"Bhartiya Mahila Bank",0,68950,68950,1640.34,68950,"(A) Public Sector Banks","2016-09-21"
"Bhartiya Mahila Bank",0,68942,68942,1653.34,68942,"(A) Public Sector Banks","2016-09-28"
"Bhartiya Mahila Bank",0,68943,68943,1683.54,68943,"(A) Public Sector Banks","2016-10-05"
"Bhartiya Mahila Bank",0,68943,68943,1683.54,68943,"(A) Public Sector Banks","2016-10-19"
"Bhartiya Mahila Bank",0,69165,69165,1649.31,69165,"(A) Public Sector Banks","2016-10-26"
"Bhartiya Mahila Bank",0,69165,69165,1649.31,69165,"(A) Public Sector Banks","2016-11-02"
"Bhartiya Mahila Bank",0,69165,69165,1649.31,69165,"(A) Public Sector Banks","2016-11-09"
"Bhartiya Mahila Bank",0,68937,68937,2440.05,68937,"(A) Public Sector Banks","2016-11-16"
"Bhartiya Mahila Bank",0,68938,68938,2641.31,68938,"(A) Public Sector Banks","2016-11-23"
"Bhartiya Mahila Bank",0,68964,68964,2645.67,68964,"(A) Public Sector Banks","2016-11-30"
"Bhartiya Mahila Bank",0,69095,69095,2593.71,69095,"(A) Public Sector Banks","2016-12-07"
"Bhartiya Mahila Bank",0,69115,69115,2541.22,69115,"(A) Public Sector Banks","2016-12-14"
"Bhartiya Mahila Bank",0,69134,69134,2482.4,69134,"(A) Public Sector Banks","2016-12-21"
"Bhartiya Mahila Bank",0,69145,69145,2436.46,69145,"(A) Public Sector Banks","2016-12-28"
"Bhartiya Mahila Bank",0,69141,69141,2426.46,69141,"(A) Public Sector Banks","2017-01-04"
"Bhartiya Mahila Bank",0,69133,69133,2360.25,69133,"(A) Public Sector Banks","2017-01-11"
"Bhartiya Mahila Bank",0,69125,69125,2285.82,69125,"(A) Public Sector Banks","2017-01-18"
"Bhartiya Mahila Bank",0,69107,69107,2229.91,69107,"(A) Public Sector Banks","2017-01-25"
"Bhartiya Mahila Bank",0,69102,69102,2203.3,69102,"(A) Public Sector Banks","2017-02-01"
"Bhartiya Mahila Bank",0,69079,69079,2190.46,69079,"(A) Public Sector Banks","2017-02-08"
"Bhartiya Mahila Bank",0,69282,69282,2110.67,69282,"(A) Public Sector Banks","2017-02-22"
"Bhartiya Mahila Bank",0,69280,69280,2082.48,69280,"(A) Public Sector Banks","2017-03-01"
"Bhartiya Mahila Bank",0,69276,69276,2051.92,69276,"(A) Public Sector Banks","2017-03-08"
"Bhartiya Mahila Bank",0,69275,69275,2049.05,69275,"(A) Public Sector Banks","2017-03-15"
"Bhartiya Mahila Bank",0,69267,69267,2032.36,69267,"(A) Public Sector Banks","2017-03-22"
"Bhartiya Mahila Bank",0,69266,69266,1985.55,69266,"(A) Public Sector Banks","2017-03-29"
"Bhartiya Mahila Bank",0,69266,69266,1985.55,69266,"(A) Public Sector Banks","2017-04-05"
