Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Canara Bank",1599843,885426,2485269,4467.66,93940,"(A) Public Sector Banks","2014-09-24"
"Canara Bank",1774285,946200,2720485,3104.81,113798,"(A) Public Sector Banks","2014-10-01"
"Canara Bank",198184,91256,289440,0,48719,"(B) Regional Rural Bank","2014-10-01"
"Canara Bank",2065385,1069678,3135063,807.53,151798,"(A) Public Sector Banks","2014-10-15"
"Canara Bank",2224367,1136833,3361200,1820.9,182386,"(A) Public Sector Banks","2014-10-22"
"Canara Bank",219423,108438,327861,0,96896,"(B) Regional Rural Bank","2014-10-22"
"Canara Bank",2346691,1181295,3527986,7368.32,218108,"(A) Public Sector Banks","2014-10-29"
"Canara Bank",232255,118864,351119,0,128718,"(B) Regional Rural Bank","2014-10-29"
"Canara Bank",2456799,1226902,3683701,67189.38,255717,"(A) Public Sector Banks","2014-11-05"
"Canara Bank",249783,129824,379607,0,140374,"(B) Regional Rural Bank","2014-11-05"
"Canara Bank",2558895,1264136,3823031,72628.07,298677,"(A) Public Sector Banks","2014-11-12"
"Canara Bank",259587,137583,397170,0,145490,"(B) Regional Rural Bank","2014-11-12"
"Canara Bank",2757678,1345290,4102968,72902.98,363004,"(A) Public Sector Banks","2014-11-19"
"Canara Bank",274224,149626,423850,0,153815,"(B) Regional Rural Bank","2014-11-19"
"Canara Bank",2905599,1411626,4317225,72787.18,475235,"(A) Public Sector Banks","2014-11-26"
"Canara Bank",294241,164024,458265,0,157092,"(B) Regional Rural Bank","2014-11-26"
"Canara Bank",3025440,1463033,4488473,73194.53,3610073,"(A) Public Sector Banks","2014-12-03"
"Canara Bank",321161,172457,493618,503.7,159046,"(B) Regional Rural Bank","2014-12-03"
"Canara Bank",3168455,1525142,4693597,72981.33,3858028,"(A) Public Sector Banks","2014-12-10"
"Canara Bank",344117,184278,528395,707.03,224306,"(B) Regional Rural Bank","2014-12-10"
"Canara Bank",3218154,1554740,4772894,72353.94,4242490,"(A) Public Sector Banks","2014-12-17"
"Canara Bank",364977,194764,559741,916.37,392763,"(B) Regional Rural Bank","2014-12-17"
"Canara Bank",3349787,1613533,4963320,72531.62,4672142,"(A) Public Sector Banks","2014-12-24"
"Canara Bank",366375,196148,562523,1290.63,449074,"(B) Regional Rural Bank","2014-12-24"
"Canara Bank",3508953,1687134,5196087,72878.77,5075041,"(A) Public Sector Banks","2014-12-31"
"Canara Bank",366787,196508,563295,2591.64,491953,"(B) Regional Rural Bank","2014-12-31"
"Canara Bank",3631973,1747293,5379266,72513.53,5331803,"(A) Public Sector Banks","2015-01-07"
"Canara Bank",367748,197307,565055,4356.93,564729,"(B) Regional Rural Bank","2015-01-07"
"Canara Bank",3765514,1811296,5576810,72778.93,5436837,"(A) Public Sector Banks","2015-01-14"
"Canara Bank",371276,200540,571816,6666.64,570977,"(B) Regional Rural Bank","2015-01-14"
"Canara Bank",4003916,1928142,5932058,73164.71,5864335,"(A) Public Sector Banks","2015-01-28"
"Canara Bank",427126,269513,696639,10708.09,694741,"(B) Regional Rural Bank","2015-01-28"
"Canara Bank",4124989,1974349,6099338,72792.5,6038218,"(A) Public Sector Banks","2015-02-04"
"Canara Bank",449757,294848,744605,11842.85,725526,"(B) Regional Rural Bank","2015-02-04"
"Canara Bank",4174167,1983105,6157272,73358.68,6125910,"(A) Public Sector Banks","2015-02-11"
"Canara Bank",454898,309925,764823,12665.82,741867,"(B) Regional Rural Bank","2015-02-11"
"Canara Bank",4174167,1983105,6157272,72256.68,6157272,"(A) Public Sector Banks","2015-02-18"
"Canara Bank",458969,314777,773746,12970.44,753830,"(B) Regional Rural Bank","2015-02-18"
"Canara Bank",4174167,1983105,6157272,72488.88,6157272,"(A) Public Sector Banks","2015-02-25"
"Canara Bank",459595,315296,774891,13463.85,772052,"(B) Regional Rural Bank","2015-02-25"
"Canara Bank",4174167,1983105,6157272,72681.47,6157272,"(A) Public Sector Banks","2015-03-04"
"Canara Bank",460542,316421,776963,14095.26,776557,"(B) Regional Rural Bank","2015-03-04"
"Canara Bank",4174167,1983105,6157272,72746.38,6157272,"(A) Public Sector Banks","2015-03-11"
"Canara Bank",461265,316641,777906,14674.7,777659,"(B) Regional Rural Bank","2015-03-11"
"Canara Bank",4174167,1983105,6157272,72813.68,6157272,"(A) Public Sector Banks","2015-03-18"
"Canara Bank",462522,317778,780300,15113.15,779254,"(B) Regional Rural Bank","2015-03-18"
"Canara Bank",4174167,1983105,6157272,72741.33,6157272,"(A) Public Sector Banks","2015-03-25"
"Canara Bank",463763,318642,782405,16146.52,781643,"(B) Regional Rural Bank","2015-03-25"
"Canara Bank",4174167,1983105,6157272,72935.16,6157272,"(A) Public Sector Banks","2015-04-01"
"Canara Bank",464476,319122,783598,16874.92,782597,"(B) Regional Rural Bank","2015-04-01"
"Canara Bank",4174167,1983105,6157272,74020.25,6157272,"(A) Public Sector Banks","2015-04-08"
"Canara Bank",465306,319710,785016,17574.28,783600,"(B) Regional Rural Bank","2015-04-08"
"Canara Bank",4174167,1983105,6157272,74366.17,6157272,"(A) Public Sector Banks","2015-04-15"
"Canara Bank",466343,320478,786821,18120.72,784649,"(B) Regional Rural Bank","2015-04-15"
"Canara Bank",4174167,1983105,6157272,74658.64,6157272,"(A) Public Sector Banks","2015-04-22"
"Canara Bank",467265,321104,788369,18226.56,785731,"(B) Regional Rural Bank","2015-04-22"
