Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Central Bank of India",1831008,649487,2480495,1973.4,395030,"(A) Public Sector Banks","2014-09-24"
"Central Bank of India",2072937,716338,2789275,2071.84,1071545,"(A) Public Sector Banks","2014-10-08"
"Central Bank of India",2215911,753522,2969433,2169.74,1112013,"(A) Public Sector Banks","2014-10-15"
"Central Bank of India",2401276,804865,3206141,7257.58,1401166,"(A) Public Sector Banks","2014-10-29"
"Central Bank of India",949888,174622,1124510,8686.93,42328,"(B) Regional Rural Bank","2014-10-29"
"Central Bank of India",2483341,827266,3310607,8253.33,1540588,"(A) Public Sector Banks","2014-11-05"
"Central Bank of India",980838,181764,1162602,9725.36,45305,"(B) Regional Rural Bank","2014-11-05"
"Central Bank of India",2557785,850749,3408534,9087.88,1912109,"(A) Public Sector Banks","2014-11-12"
"Central Bank of India",1044808,192578,1237386,11706.72,48720,"(B) Regional Rural Bank","2014-11-12"
"Central Bank of India",2682016,879963,3561979,10438.3,2307002,"(A) Public Sector Banks","2014-11-19"
"Central Bank of India",1146751,212729,1359480,15247.88,54694,"(B) Regional Rural Bank","2014-11-19"
"Central Bank of India",2820610,911382,3731992,11223.53,2503213,"(A) Public Sector Banks","2014-11-26"
"Central Bank of India",1235958,236718,1472676,16974.1,61468,"(B) Regional Rural Bank","2014-11-26"
"Central Bank of India",2937892,934731,3872623,11864.29,2650298,"(A) Public Sector Banks","2014-12-03"
"Central Bank of India",1314250,258615,1572865,18128.01,66912,"(B) Regional Rural Bank","2014-12-03"
"Central Bank of India",2970625,996181,3966806,12223.26,2883358,"(A) Public Sector Banks","2014-12-10"
"Central Bank of India",1405935,277421,1683356,19467.57,71073,"(B) Regional Rural Bank","2014-12-10"
"Central Bank of India",3167358,999869,4167227,13199.84,3235844,"(A) Public Sector Banks","2014-12-17"
"Central Bank of India",1519911,301620,1821531,20073.57,171146,"(B) Regional Rural Bank","2014-12-17"
"Central Bank of India",3333493,1035194,4368687,14086.05,3404823,"(A) Public Sector Banks","2014-12-24"
"Central Bank of India",1619537,319223,1938760,21119.6,710969,"(B) Regional Rural Bank","2014-12-24"
"Central Bank of India",3448594,1061827,4510421,15136.19,3760930,"(A) Public Sector Banks","2014-12-31"
"Central Bank of India",1697730,334221,2031951,22917.77,1009562,"(B) Regional Rural Bank","2014-12-31"
"Central Bank of India",3567781,1090144,4657925,16080.65,3897993,"(A) Public Sector Banks","2015-01-07"
"Central Bank of India",1773148,345821,2118969,23887.34,1299003,"(B) Regional Rural Bank","2015-01-07"
"Central Bank of India",3606185,1111644,4717829,17341.99,4168542,"(A) Public Sector Banks","2015-01-14"
"Central Bank of India",1795579,349356,2144935,25380.53,1660734,"(B) Regional Rural Bank","2015-01-14"
"Central Bank of India",3981657,1187037,5168694,19661.45,4525270,"(A) Public Sector Banks","2015-01-28"
"Central Bank of India",2088186,392710,2480896,26870.37,2297011,"(B) Regional Rural Bank","2015-01-28"
"Central Bank of India",4060903,1203421,5264324,20877.51,4652437,"(A) Public Sector Banks","2015-02-04"
"Central Bank of India",2190001,409231,2599232,28142.55,2442640,"(B) Regional Rural Bank","2015-02-04"
"Central Bank of India",4128054,1214407,5342461,22247.29,4749426,"(A) Public Sector Banks","2015-02-11"
"Central Bank of India",2271012,421758,2692770,29193.95,2555969,"(B) Regional Rural Bank","2015-02-11"
"Central Bank of India",4176645,1222532,5399177,23440.43,4749426,"(A) Public Sector Banks","2015-02-18"
"Central Bank of India",2328070,429801,2757871,30096.89,2592193,"(B) Regional Rural Bank","2015-02-18"
"Central Bank of India",4236827,1230824,5467651,24834.62,4749426,"(A) Public Sector Banks","2015-02-25"
"Central Bank of India",2403958,450273,2854231,31124.85,2625434,"(B) Regional Rural Bank","2015-02-25"
"Central Bank of India",4285266,1238173,5523439,26034.84,4900441,"(A) Public Sector Banks","2015-03-04"
"Central Bank of India",2464496,449752,2914248,32191.61,2625434,"(B) Regional Rural Bank","2015-03-04"
"Central Bank of India",4318363,1244929,5563292,27072.87,4950021,"(A) Public Sector Banks","2015-03-11"
"Central Bank of India",2500710,453557,2954267,33183.16,2625434,"(B) Regional Rural Bank","2015-03-11"
"Central Bank of India",4371806,1253204,5625010,28559.44,5002458,"(A) Public Sector Banks","2015-03-18"
"Central Bank of India",2569958,465756,3035714,35112.93,2625434,"(B) Regional Rural Bank","2015-03-18"
"Central Bank of India",4425199,1257458,5682657,29936.93,5052334,"(A) Public Sector Banks","2015-03-25"
"Central Bank of India",2645908,474268,3120176,38547.42,2625434,"(B) Regional Rural Bank","2015-03-25"
"Central Bank of India",4457029,1260866,5717895,31781.75,5053525,"(A) Public Sector Banks","2015-04-01"
"Central Bank of India",2703377,480834,3184211,43614.06,2625434,"(B) Regional Rural Bank","2015-04-01"
"Central Bank of India",4485184,1264612,5749796,32513.16,5113711,"(A) Public Sector Banks","2015-04-08"
"Central Bank of India",2746433,486635,3233068,42598.44,2625434,"(B) Regional Rural Bank","2015-04-08"
"Central Bank of India",4512462,1268349,5780811,32991.64,5123028,"(A) Public Sector Banks","2015-04-15"
"Central Bank of India",2785441,492284,3277725,42623.15,2658594,"(B) Regional Rural Bank","2015-04-15"
"Central Bank of India",4547301,1273769,5821070,33719.83,5132859,"(A) Public Sector Banks","2015-04-22"
"Central Bank of India",2835455,499526,3334981,42993.26,2737523,"(B) Regional Rural Bank","2015-04-22"
"Central Bank of India",4575355,1278309,5853664,34624.25,5141698,"(A) Public Sector Banks","2015-04-29"
"Central Bank of India",2881840,507075,3388915,43577.78,2837841,"(B) Regional Rural Bank","2015-04-29"
"Central Bank of India",4594177,1280679,5874856,35065.49,5146207,"(A) Public Sector Banks","2015-05-06"
"Central Bank of India",2988722,538531,3527253,45991.1,2983391,"(B) Regional Rural Bank","2015-05-06"
"Central Bank of India",4619498,1285604,5905102,36605.48,5155452,"(A) Public Sector Banks","2015-05-13"
"Central Bank of India",3034130,546851,3580981,47213.89,3068439,"(B) Regional Rural Bank","2015-05-13"
"Central Bank of India",4647458,1289970,5937428,38132.02,5161870,"(A) Public Sector Banks","2015-05-20"
"Central Bank of India",3087768,557363,3645131,48819.4,3159294,"(B) Regional Rural Bank","2015-05-20"
"Central Bank of India",4719717,1299103,6018820,41570.25,5181994,"(A) Public Sector Banks","2015-06-03"
"Central Bank of India",3184894,575097,3759991,51531.72,3350262,"(B) Regional Rural Bank","2015-06-03"
"Central Bank of India",4748478,1302797,6051275,42059.91,5188015,"(A) Public Sector Banks","2015-06-10"
"Central Bank of India",3247726,585861,3833587,52886.76,3373866,"(B) Regional Rural Bank","2015-06-10"
"Central Bank of India",4767724,1306277,6074001,42734.74,5196207,"(A) Public Sector Banks","2015-06-17"
"Central Bank of India",3298931,592772,3891703,54038.78,3385636,"(B) Regional Rural Bank","2015-06-17"
"Central Bank of India",4796376,1310100,6106476,43802.92,5204096,"(A) Public Sector Banks","2015-06-24"
"Central Bank of India",3369768,603156,3972924,55461.79,3400074,"(B) Regional Rural Bank","2015-06-24"
"Central Bank of India",4829728,1315365,6145093,44835.88,5214039,"(A) Public Sector Banks","2015-07-01"
"Central Bank of India",3381192,606675,3987867,56269.82,3400652,"(B) Regional Rural Bank","2015-07-01"
"Central Bank of India",4867729,1321848,6189577,46134.33,5228224,"(A) Public Sector Banks","2015-07-08"
"Central Bank of India",3403285,612896,4016181,58072.87,3401982,"(B) Regional Rural Bank","2015-07-08"
"Central Bank of India",4899201,1329314,6228515,47030.93,5239378,"(A) Public Sector Banks","2015-07-15"
"Central Bank of India",3415626,618190,4033816,58849.39,3402811,"(B) Regional Rural Bank","2015-07-15"
"Central Bank of India",4929939,1337389,6267328,47889.88,5246401,"(A) Public Sector Banks","2015-07-22"
"Central Bank of India",3426623,623005,4049628,59814.1,3403512,"(B) Regional Rural Bank","2015-07-22"
"Central Bank of India",4966561,1348002,6314563,48851.45,5253636,"(A) Public Sector Banks","2015-07-29"
"Central Bank of India",3441066,630077,4071143,62273.97,3404223,"(B) Regional Rural Bank","2015-07-29"
"Central Bank of India",5002791,1357341,6360132,49279.86,5260432,"(A) Public Sector Banks","2015-08-05"
"Central Bank of India",3454286,635167,4089453,62094.95,3464821,"(B) Regional Rural Bank","2015-08-05"
"Central Bank of India",5032534,1368100,6400634,50366.3,5266371,"(A) Public Sector Banks","2015-08-12"
"Central Bank of India",3462666,640104,4102770,63270.47,3687811,"(B) Regional Rural Bank","2015-08-12"
"Central Bank of India",5072023,1376725,6448748,51150.67,5273544,"(A) Public Sector Banks","2015-08-19"
"Central Bank of India",3470710,641121,4111831,64314.1,3712832,"(B) Regional Rural Bank","2015-08-19"
"Central Bank of India",5120582,1388303,6508885,52280.06,5280488,"(A) Public Sector Banks","2015-08-26"
"Central Bank of India",3472898,642187,4115085,65532.51,3713053,"(B) Regional Rural Bank","2015-08-26"
"Central Bank of India",5159433,1398019,6557452,52754.5,5294323,"(A) Public Sector Banks","2015-09-02"
"Central Bank of India",3474777,643153,4117930,66907.5,3713323,"(B) Regional Rural Bank","2015-09-02"
"Central Bank of India",5195122,1406833,6601955,53553.95,5303380,"(A) Public Sector Banks","2015-09-09"
"Central Bank of India",3477107,643871,4120978,67010.29,3713632,"(B) Regional Rural Bank","2015-09-09"
"Central Bank of India",5233699,1418081,6651780,54736.97,5313383,"(A) Public Sector Banks","2015-09-16"
