Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"City Union Bank Ltd",5823,25189,31012,57.41,0,"(C) Major Private Banks","2014-09-24"
"City Union Bank Ltd",6148,27285,33433,38.92,0,"(C) Major Private Banks","2014-10-08"
"City Union Bank Ltd",6503,28434,34937,34.94,0,"(C) Major Private Banks","2014-10-15"
"City Union Bank Ltd",6676,29391,36067,41.79,0,"(C) Major Private Banks","2014-10-22"
"City Union Bank Ltd",7029,30836,37865,146.31,0,"(C) Major Private Banks","2014-10-29"
"City Union Bank Ltd",7197,31753,38950,148.78,0,"(C) Major Private Banks","2014-11-05"
"City Union Bank Ltd",7587,32947,40534,188.5,0,"(C) Major Private Banks","2014-11-12"
"City Union Bank Ltd",8052,34760,42812,206.04,0,"(C) Major Private Banks","2014-11-19"
"City Union Bank Ltd",8556,36274,44830,218.35,0,"(C) Major Private Banks","2014-11-26"
"City Union Bank Ltd",8926,37884,46810,248.4,0,"(C) Major Private Banks","2014-12-03"
"City Union Bank Ltd",9503,40321,49824,253.7,0,"(C) Major Private Banks","2014-12-10"
"City Union Bank Ltd",9909,43110,53019,286.87,0,"(C) Major Private Banks","2014-12-17"
"City Union Bank Ltd",10439,46216,56655,301.43,0,"(C) Major Private Banks","2014-12-24"
"City Union Bank Ltd",10928,48352,59280,356.63,0,"(C) Major Private Banks","2014-12-31"
"City Union Bank Ltd",11292,49806,61098,387.66,0,"(C) Major Private Banks","2015-01-07"
"City Union Bank Ltd",11486,51711,63197,387.66,0,"(C) Major Private Banks","2015-01-14"
"City Union Bank Ltd",11992,54269,66261,443.81,0,"(C) Major Private Banks","2015-01-28"
"City Union Bank Ltd",12499,57560,70059,484.11,0,"(C) Major Private Banks","2015-02-04"
"City Union Bank Ltd",12602,58157,70759,524.75,0,"(C) Major Private Banks","2015-02-11"
"City Union Bank Ltd",12735,58661,71396,540.51,0,"(C) Major Private Banks","2015-02-18"
"City Union Bank Ltd",12877,59448,72325,565.92,0,"(C) Major Private Banks","2015-02-25"
"City Union Bank Ltd",13033,59924,72957,607.99,0,"(C) Major Private Banks","2015-03-04"
"City Union Bank Ltd",13208,60274,73482,633.13,0,"(C) Major Private Banks","2015-03-11"
"City Union Bank Ltd",13366,60626,73992,654.41,0,"(C) Major Private Banks","2015-03-18"
"City Union Bank Ltd",13439,60851,74290,654.52,0,"(C) Major Private Banks","2015-03-25"
"City Union Bank Ltd",13504,61107,74611,648.6,0,"(C) Major Private Banks","2015-04-01"
"City Union Bank Ltd",13529,61204,74733,680.8,790,"(C) Major Private Banks","2015-04-08"
"City Union Bank Ltd",13581,61326,74907,701.64,790,"(C) Major Private Banks","2015-04-15"
"City Union Bank Ltd",13636,61452,75088,707.93,790,"(C) Major Private Banks","2015-04-22"
