Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Corporation Bank",507510,462572,970082,725.97,431146,"(A) Public Sector Banks","2014-09-24"
"Corporation Bank",538282,501695,1039977,0,506181,"(A) Public Sector Banks","2014-10-15"
"Corporation Bank",568489,527612,1096101,323.86,531542,"(A) Public Sector Banks","2014-10-22"
"Corporation Bank",588869,549513,1138382,8667.15,548370,"(A) Public Sector Banks","2014-10-29"
"Corporation Bank",608838,573178,1182016,7944.67,566873,"(A) Public Sector Banks","2014-11-05"
"Corporation Bank",629475,595137,1224612,20013.1,584957,"(A) Public Sector Banks","2014-11-12"
"Corporation Bank",657018,626831,1283849,21103.32,607422,"(A) Public Sector Banks","2014-11-19"
"Corporation Bank",678413,652323,1330736,21625.72,623493,"(A) Public Sector Banks","2014-11-26"
"Corporation Bank",701100,674565,1375665,21881.96,228628,"(A) Public Sector Banks","2014-12-03"
"Corporation Bank",727225,701710,1428935,21927.44,991440,"(A) Public Sector Banks","2014-12-10"
"Corporation Bank",750882,729394,1480276,22764.2,1390461,"(A) Public Sector Banks","2014-12-17"
"Corporation Bank",785858,771337,1557195,22919.28,1474342,"(A) Public Sector Banks","2014-12-24"
"Corporation Bank",807774,795438,1603212,23075.45,1509696,"(A) Public Sector Banks","2014-12-31"
"Corporation Bank",839969,830056,1670025,24308.17,1553993,"(A) Public Sector Banks","2015-01-07"
"Corporation Bank",865391,860403,1725794,25286.53,1585901,"(A) Public Sector Banks","2015-01-14"
"Corporation Bank",914499,923616,1838115,27190.53,1692988,"(A) Public Sector Banks","2015-01-28"
"Corporation Bank",945625,954480,1900105,27924.72,1791591,"(A) Public Sector Banks","2015-02-04"
"Corporation Bank",959545,970223,1929768,30969.76,1814431,"(A) Public Sector Banks","2015-02-11"
"Corporation Bank",971935,986592,1958527,32523.14,1846387,"(A) Public Sector Banks","2015-02-18"
"Corporation Bank",987140,1005516,1992656,33423.82,1879548,"(A) Public Sector Banks","2015-02-25"
"Corporation Bank",1001227,1020198,2021425,34766.61,1914885,"(A) Public Sector Banks","2015-03-04"
"Corporation Bank",1011110,1028523,2039633,36574.35,1941795,"(A) Public Sector Banks","2015-03-11"
"Corporation Bank",1029098,1047145,2076243,38835.04,2005900,"(A) Public Sector Banks","2015-03-18"
"Corporation Bank",1042707,1060619,2103326,40030.37,2018564,"(A) Public Sector Banks","2015-03-25"
"Corporation Bank",1049594,1067159,2116753,44951.97,2053354,"(A) Public Sector Banks","2015-04-01"
"Corporation Bank",1055669,1073060,2128729,44951.97,2070982,"(A) Public Sector Banks","2015-04-08"
"Corporation Bank",1062852,1079860,2142712,44460.97,2090802,"(A) Public Sector Banks","2015-04-15"
"Corporation Bank",1071213,1087795,2159008,44099.7,2100577,"(A) Public Sector Banks","2015-04-22"
"Corporation Bank",1077879,1092961,2170840,44825.44,2112366,"(A) Public Sector Banks","2015-04-29"
"Corporation Bank",1084492,1098940,2183432,45346.47,2127234,"(A) Public Sector Banks","2015-05-06"
"Corporation Bank",1092257,1105732,2197989,47356.2,2142458,"(A) Public Sector Banks","2015-05-13"
"Corporation Bank",1100002,1112666,2212668,48187.91,2157442,"(A) Public Sector Banks","2015-05-20"
"Corporation Bank",1113557,1126683,2240240,48930.19,2184597,"(A) Public Sector Banks","2015-06-03"
"Corporation Bank",1120507,1134013,2254520,50215.25,2196206,"(A) Public Sector Banks","2015-06-10"
"Corporation Bank",1129112,1142698,2271810,51356.52,2230293,"(A) Public Sector Banks","2015-06-17"
"Corporation Bank",1137549,1150043,2287592,52688.56,2247342,"(A) Public Sector Banks","2015-06-24"
"Corporation Bank",1144287,1157026,2301313,53577.53,2270719,"(A) Public Sector Banks","2015-07-01"
"Corporation Bank",1162737,1175953,2338690,57123.35,2298264,"(A) Public Sector Banks","2015-07-08"
"Corporation Bank",1173025,1184279,2357304,57708.05,2328228,"(A) Public Sector Banks","2015-07-15"
"Corporation Bank",1181881,1191054,2372935,57067.77,2348177,"(A) Public Sector Banks","2015-07-22"
"Corporation Bank",1189890,1197305,2387195,57504.03,2354854,"(A) Public Sector Banks","2015-07-29"
"Corporation Bank",1197516,1203817,2401333,57764.55,2363118,"(A) Public Sector Banks","2015-08-05"
"Corporation Bank",1204656,1210820,2415476,57837.94,2381808,"(A) Public Sector Banks","2015-08-12"
"Corporation Bank",1210329,1216601,2426930,58511.41,2393698,"(A) Public Sector Banks","2015-08-19"
"Corporation Bank",1217307,1223357,2440664,59692.82,2409611,"(A) Public Sector Banks","2015-08-26"
"Corporation Bank",1222956,1228936,2451892,59753.89,2419911,"(A) Public Sector Banks","2015-09-02"
"Corporation Bank",1230066,1234885,2464951,60723.24,2427145,"(A) Public Sector Banks","2015-09-09"
"Corporation Bank",1234538,1239209,2473747,61995.83,2439319,"(A) Public Sector Banks","2015-09-16"
"Corporation Bank",1240553,1245765,2486318,61781.19,2450972,"(A) Public Sector Banks","2015-09-23"
"Corporation Bank",1252144,1259689,2511833,66104.88,2471380,"(A) Public Sector Banks","2015-10-07"
"Corporation Bank",1255058,1262982,2518040,65129.83,2476960,"(A) Public Sector Banks","2015-10-14"
"Corporation Bank",1257425,1264668,2522093,65714.78,2480465,"(A) Public Sector Banks","2015-10-21"
"Corporation Bank",1261844,1268153,2529997,64199.45,2488255,"(A) Public Sector Banks","2015-10-28"
"Corporation Bank",1264013,1269593,2533606,64667.06,2491085,"(A) Public Sector Banks","2015-11-04"
"Corporation Bank",1265118,1270326,2535444,66132.78,2493566,"(A) Public Sector Banks","2015-11-11"
"Corporation Bank",1266106,1270950,2537056,65271.7,2493590,"(A) Public Sector Banks","2015-11-18"
"Corporation Bank",1267711,1272038,2539749,66091.31,2494613,"(A) Public Sector Banks","2015-11-25"
"Corporation Bank",1269090,1273191,2542281,64892.19,2498694,"(A) Public Sector Banks","2015-12-02"
"Corporation Bank",1270960,1274694,2545654,66239.53,2502003,"(A) Public Sector Banks","2015-12-09"
"Corporation Bank",1273009,1276219,2549228,66932.53,2504356,"(A) Public Sector Banks","2015-12-16"
"Corporation Bank",1274467,1277897,2552364,67453.66,2507467,"(A) Public Sector Banks","2015-12-23"
"Corporation Bank",1276146,1279281,2555427,66396.93,2510454,"(A) Public Sector Banks","2015-12-30"
"Corporation Bank",1278002,1281184,2559186,68848.51,2513876,"(A) Public Sector Banks","2016-01-06"
"Corporation Bank",1279546,1282652,2562198,67843.02,2516530,"(A) Public Sector Banks","2016-01-13"
"Corporation Bank",1281317,1284654,2565971,69492.08,2565971,"(A) Public Sector Banks","2016-01-20"
"Corporation Bank",1282268,1285734,2568002,69528.37,2568002,"(A) Public Sector Banks","2016-01-27"
"Corporation Bank",1285629,1289402,2575031,72759.67,2526931,"(A) Public Sector Banks","2016-02-10"
"Corporation Bank",1287450,1291022,2578472,72113.3,2530047,"(A) Public Sector Banks","2016-02-17"
"Corporation Bank",1289384,1292279,2581663,72798,2532916,"(A) Public Sector Banks","2016-02-24"
"Corporation Bank",1290810,1293236,2584046,71775.49,2535074,"(A) Public Sector Banks","2016-03-02"
