Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Dena Bank",538846,367735,906581,685.16,218921,"(A) Public Sector Banks","2014-09-24"
"Dena Bank",69527,4251,73778,250,887,"(B) Regional Rural Bank","2014-09-24"
"Dena Bank",671540,433475,1105015,774.38,560673,"(A) Public Sector Banks","2014-10-15"
"Dena Bank",720268,459803,1180071,761.47,784854,"(A) Public Sector Banks","2014-10-22"
"Dena Bank",747110,472212,1219322,4138.05,785898,"(A) Public Sector Banks","2014-10-29"
"Dena Bank",104899,4251,109150,484.64,24318,"(B) Regional Rural Bank","2014-10-29"
"Dena Bank",786916,489933,1276849,4193.31,864515,"(A) Public Sector Banks","2014-11-05"
"Dena Bank",116039,4756,120795,579.86,27588,"(B) Regional Rural Bank","2014-11-05"
"Dena Bank",823989,506226,1330215,5250.84,952053,"(A) Public Sector Banks","2014-11-12"
"Dena Bank",121128,4946,126074,634.96,27611,"(B) Regional Rural Bank","2014-11-12"
"Dena Bank",875086,529467,1404553,5854.58,1182158,"(A) Public Sector Banks","2014-11-19"
"Dena Bank",123117,4971,128088,638.85,27628,"(B) Regional Rural Bank","2014-11-19"
"Dena Bank",924716,552771,1477487,6727.19,1183230,"(A) Public Sector Banks","2014-11-26"
"Dena Bank",141606,8279,149885,761.42,30938,"(B) Regional Rural Bank","2014-11-26"
"Dena Bank",977602,574145,1551747,7578.21,1376027,"(A) Public Sector Banks","2014-12-03"
"Dena Bank",148304,8279,156583,777.85,30941,"(B) Regional Rural Bank","2014-12-03"
"Dena Bank",1024785,596975,1621760,8416.2,1376854,"(A) Public Sector Banks","2014-12-10"
"Dena Bank",153448,8518,161966,1056.04,32340,"(B) Regional Rural Bank","2014-12-10"
"Dena Bank",1096808,623290,1720098,9255.35,1469189,"(A) Public Sector Banks","2014-12-17"
"Dena Bank",155417,8627,164044,1067.84,32340,"(B) Regional Rural Bank","2014-12-17"
"Dena Bank",1183169,651592,1834761,9881.23,1725133,"(A) Public Sector Banks","2014-12-24"
"Dena Bank",158748,8633,167381,1180.76,82340,"(B) Regional Rural Bank","2014-12-24"
"Dena Bank",1248552,675089,1923641,10652.18,1839666,"(A) Public Sector Banks","2014-12-31"
"Dena Bank",170633,9236,179869,1461.01,132340,"(B) Regional Rural Bank","2014-12-31"
"Dena Bank",1312904,698296,2011200,11447.49,1965179,"(A) Public Sector Banks","2015-01-07"
"Dena Bank",171048,9242,180290,1538.68,142340,"(B) Regional Rural Bank","2015-01-07"
"Dena Bank",1382089,724135,2106224,12187.49,1971107,"(A) Public Sector Banks","2015-01-14"
"Dena Bank",171064,9242,180306,1538.68,151840,"(B) Regional Rural Bank","2015-01-14"
"Dena Bank",1517211,768073,2285284,13544.3,2148693,"(A) Public Sector Banks","2015-01-28"
"Dena Bank",171292,9242,180534,1725.06,166940,"(B) Regional Rural Bank","2015-01-28"
"Dena Bank",1571523,787069,2358592,14149.4,2229467,"(A) Public Sector Banks","2015-02-04"
"Dena Bank",172146,9242,181388,1998.71,168940,"(B) Regional Rural Bank","2015-02-04"
"Dena Bank",1601710,799223,2400933,15068.53,2291015,"(A) Public Sector Banks","2015-02-11"
"Dena Bank",173568,9319,182887,2122.01,170272,"(B) Regional Rural Bank","2015-02-11"
"Dena Bank",1640559,812601,2453160,15602.18,2291015,"(A) Public Sector Banks","2015-02-18"
"Dena Bank",173688,9342,183030,2136.89,170272,"(B) Regional Rural Bank","2015-02-18"
"Dena Bank",1662647,820520,2483167,16158.97,2367141,"(A) Public Sector Banks","2015-02-25"
