Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Federal Bank Ltd",77862,24077,101939,463.28,26894,"(C) Major Private Banks","2014-10-08"
"Federal Bank Ltd",84841,26455,111296,344.77,33249,"(C) Major Private Banks","2014-10-15"
"Federal Bank Ltd",99568,31324,130892,381.41,37688,"(C) Major Private Banks","2014-10-22"
"Federal Bank Ltd",93236,29354,122590,9012.04,44407,"(C) Major Private Banks","2014-10-29"
"Federal Bank Ltd",97471,30207,127678,9661.68,50542,"(C) Major Private Banks","2014-11-05"
"Federal Bank Ltd",101388,31235,132623,9690.76,53931,"(C) Major Private Banks","2014-11-12"
"Federal Bank Ltd",107614,32116,139730,9735.49,61472,"(C) Major Private Banks","2014-11-19"
"Federal Bank Ltd",113314,33337,146651,9799.37,67555,"(C) Major Private Banks","2014-11-26"
"Federal Bank Ltd",119570,34460,154030,9852.87,73448,"(C) Major Private Banks","2014-12-03"
"Federal Bank Ltd",125244,35291,160535,9920.46,79642,"(C) Major Private Banks","2014-12-10"
"Federal Bank Ltd",131048,37018,168066,9978.5,86160,"(C) Major Private Banks","2014-12-17"
"Federal Bank Ltd",137124,38730,175854,10037.59,94038,"(C) Major Private Banks","2014-12-24"
"Federal Bank Ltd",142701,41004,183705,9904.87,179999,"(C) Major Private Banks","2014-12-31"
"Federal Bank Ltd",149861,43585,193446,9733.43,186535,"(C) Major Private Banks","2015-01-07"
"Federal Bank Ltd",157745,45778,203523,9805.43,195767,"(C) Major Private Banks","2015-01-14"
"Federal Bank Ltd",173211,48863,222074,9473.44,210696,"(C) Major Private Banks","2015-01-28"
"Federal Bank Ltd",180065,50159,230224,9709.72,220137,"(C) Major Private Banks","2015-02-04"
"Federal Bank Ltd",186051,51372,237423,10259.3,229728,"(C) Major Private Banks","2015-02-11"
"Federal Bank Ltd",191313,52498,243811,10201.12,236489,"(C) Major Private Banks","2015-02-18"
"Federal Bank Ltd",195526,53320,248846,10104.17,241545,"(C) Major Private Banks","2015-02-25"
"Federal Bank Ltd",200072,54150,254222,10338.19,246710,"(C) Major Private Banks","2015-03-04"
"Federal Bank Ltd",202871,54889,257760,9970.66,250056,"(C) Major Private Banks","2015-03-11"
"Federal Bank Ltd",205510,55350,260860,9985.7,253227,"(C) Major Private Banks","2015-03-18"
"Federal Bank Ltd",208848,55880,264728,9933.7,256573,"(C) Major Private Banks","2015-03-25"
"Federal Bank Ltd",211166,56250,267416,10477.32,259521,"(C) Major Private Banks","2015-04-01"
"Federal Bank Ltd",212792,56436,269228,10274.07,261111,"(C) Major Private Banks","2015-04-08"
"Federal Bank Ltd",214158,56677,270835,10119.77,262667,"(C) Major Private Banks","2015-04-15"
"Federal Bank Ltd",215947,56909,272856,9995.83,264656,"(C) Major Private Banks","2015-04-22"
"Federal Bank Ltd",217743,57226,274969,10158,266682,"(C) Major Private Banks","2015-04-29"
"Federal Bank Ltd",218723,57416,276139,10321.06,267829,"(C) Major Private Banks","2015-05-06"
"Federal Bank Ltd",220249,57567,277816,10443.05,269427,"(C) Major Private Banks","2015-05-13"
"Federal Bank Ltd",221775,57824,279599,10493.39,270996,"(C) Major Private Banks","2015-05-20"
"Federal Bank Ltd",225285,59115,284400,10467.92,275441,"(C) Major Private Banks","2015-06-03"
"Federal Bank Ltd",227143,59358,286501,10493.45,277254,"(C) Major Private Banks","2015-06-10"
"Federal Bank Ltd",228796,59583,288379,10509.08,278726,"(C) Major Private Banks","2015-06-17"
"Federal Bank Ltd",230950,59871,290821,10546.4,280446,"(C) Major Private Banks","2015-06-24"
"Federal Bank Ltd",233165,60162,293327,10777.23,282634,"(C) Major Private Banks","2015-07-01"
"Federal Bank Ltd",236031,60502,296533,10770.07,284963,"(C) Major Private Banks","2015-07-08"
"Federal Bank Ltd",239367,60935,300302,11000.79,287918,"(C) Major Private Banks","2015-07-15"
"Federal Bank Ltd",242878,61219,304097,10775.73,290552,"(C) Major Private Banks","2015-07-22"
"Federal Bank Ltd",248754,61668,310422,10689.88,294591,"(C) Major Private Banks","2015-07-29"
"Federal Bank Ltd",255826,62296,318122,10857.9,300408,"(C) Major Private Banks","2015-08-05"
"Federal Bank Ltd",261364,63060,324424,10760.13,305234,"(C) Major Private Banks","2015-08-12"
"Federal Bank Ltd",265636,63377,329013,10667.02,307576,"(C) Major Private Banks","2015-08-19"
"Federal Bank Ltd",268953,63770,332723,10858.6,310386,"(C) Major Private Banks","2015-08-26"
"Federal Bank Ltd",270703,64027,334730,10783.47,311590,"(C) Major Private Banks","2015-09-02"
"Federal Bank Ltd",273120,64390,337510,11227.59,313705,"(C) Major Private Banks","2015-09-09"
"Federal Bank Ltd",275175,64721,339896,11097.85,315427,"(C) Major Private Banks","2015-09-16"
"Federal Bank Ltd",277164,65141,342305,11069.01,317127,"(C) Major Private Banks","2015-09-23"
"Federal Bank Ltd",280584,65608,346192,11340.6,320517,"(C) Major Private Banks","2015-10-07"
"Federal Bank Ltd",282631,65841,348472,11340.66,322477,"(C) Major Private Banks","2015-10-14"
"Federal Bank Ltd",285967,66245,352212,11278.06,325126,"(C) Major Private Banks","2015-10-21"
"Federal Bank Ltd",288284,66386,354670,11106.49,326891,"(C) Major Private Banks","2015-10-28"
"Federal Bank Ltd",292841,66727,359568,11385.77,330431,"(C) Major Private Banks","2015-11-04"
"Federal Bank Ltd",294871,66946,361817,11362.39,332168,"(C) Major Private Banks","2015-11-11"
"Federal Bank Ltd",296699,67084,363783,11481.45,333642,"(C) Major Private Banks","2015-11-18"
"Federal Bank Ltd",298327,67307,365634,11447.11,335170,"(C) Major Private Banks","2015-11-25"
"Federal Bank Ltd",299346,67506,366852,11630.91,336132,"(C) Major Private Banks","2015-12-02"
"Federal Bank Ltd",300892,67699,368591,11805.93,337295,"(C) Major Private Banks","2015-12-09"
"Federal Bank Ltd",302479,67852,370331,11838.94,338888,"(C) Major Private Banks","2015-12-16"
"Federal Bank Ltd",303617,68009,371626,11758.93,339811,"(C) Major Private Banks","2015-12-23"
"Federal Bank Ltd",304988,68165,373153,11812.34,340897,"(C) Major Private Banks","2015-12-30"
"Federal Bank Ltd",307815,68449,376264,11843.59,343349,"(C) Major Private Banks","2016-01-06"
"Federal Bank Ltd",311580,68703,380283,11936.73,346811,"(C) Major Private Banks","2016-01-13"
"Federal Bank Ltd",315485,68932,384417,11976.62,350796,"(C) Major Private Banks","2016-01-20"
"Federal Bank Ltd",318399,69193,387592,11812.39,353224,"(C) Major Private Banks","2016-01-27"
"Federal Bank Ltd",324195,69705,393900,12076.29,358720,"(C) Major Private Banks","2016-02-10"
"Federal Bank Ltd",328197,69973,398170,12223.61,361888,"(C) Major Private Banks","2016-02-17"
"Federal Bank Ltd",334880,70343,405223,12174.77,369096,"(C) Major Private Banks","2016-02-24"
"Federal Bank Ltd",339548,70662,410210,12538.11,374097,"(C) Major Private Banks","2016-03-02"
"Federal Bank Ltd",342298,70856,413154,13307.06,374402,"(C) Major Private Banks","2016-03-09"
"Federal Bank Ltd",344473,71067,415540,13304.53,376818,"(C) Major Private Banks","2016-03-16"
"Federal Bank Ltd",346501,71231,417732,13293.3,378860,"(C) Major Private Banks","2016-03-23"
"Federal Bank Ltd",347605,71362,418967,13543.56,380038,"(C) Major Private Banks","2016-03-30"
"Federal Bank Ltd",348916,71488,420404,13335.88,381444,"(C) Major Private Banks","2016-04-06"
"Federal Bank Ltd",350003,71609,421612,13277.3,382463,"(C) Major Private Banks","2016-04-13"
"Federal Bank Ltd",351327,71707,423034,13265.92,383661,"(C) Major Private Banks","2016-04-20"
"Federal Bank Ltd",352392,71849,424241,13615.61,384642,"(C) Major Private Banks","2016-04-27"
"Federal Bank Ltd",353653,72070,425723,13789.45,385807,"(C) Major Private Banks","2016-05-04"
"Federal Bank Ltd",354916,72310,427226,13796.84,386979,"(C) Major Private Banks","2016-05-11"
"Federal Bank Ltd",355609,72368,427977,13891.97,387437,"(C) Major Private Banks","2016-05-18"
"Federal Bank Ltd",356339,72443,428782,13753.56,388158,"(C) Major Private Banks","2016-05-25"
"Federal Bank Ltd",357016,72486,429502,13890.3,388944,"(C) Major Private Banks","2016-06-01"
"Federal Bank Ltd",165926,47153,213079,9544.03,203873,"(C) Major Private Banks","2015-01-21"
"Federal Bank Ltd",223490,58144,281634,10334.15,272928,"(C) Major Private Banks","2015-05-27"
"Federal Bank Ltd",278660,65379,344039,11335.31,318519,"(C) Major Private Banks","2015-09-30"
"Federal Bank Ltd",321210,69455,390665,11977.19,355946,"(C) Major Private Banks","2016-02-03"
"Federal Bank Ltd",357794,72586,430380,13983.18,389742,"(C) Major Private Banks","2016-06-08"
"Federal Bank Ltd",338081,63226,401307,7716.08,362092,"(C) Major Private Banks","2016-10-12"
"Federal Bank Ltd",379194,79593,458787,19928.19,406119,"(C) Major Private Banks","2017-02-15"
"Federal Bank Ltd",385509,80741,466250,18176.96,412316,"(C) Major Private Banks","2017-06-21"
"Federal Bank Ltd",396253,81178,477431,18364.87,419539,"(C) Major Private Banks","2017-10-25"
"Federal Bank Ltd",399377,81451,480828,19001.08,421347,"(C) Major Private Banks","2018-02-28"
"Federal Bank Ltd",400768,81151,481919,19832.27,423297,"(C) Major Private Banks","2018-07-11"
"Federal Bank Ltd",359130,72749,431879,13760.56,390969,"(C) Major Private Banks","2016-06-15"
"Federal Bank Ltd",360607,72891,433498,13715.93,392196,"(C) Major Private Banks","2016-06-22"
"Federal Bank Ltd",362108,73052,435160,13780.88,393395,"(C) Major Private Banks","2016-06-29"
"Federal Bank Ltd",363461,73201,436662,13911.22,394498,"(C) Major Private Banks","2016-07-06"
