Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Grand Total",18111741,15382627,33494368,95912.55,10464277,"Summary","2014-09-24"
"Grand Total",4227956,2845740,7073696,10466.93,1752696,"Summary","2014-10-01"
"Grand Total",15639221,14226602,29865823,13532.77,14555609,"Summary","2014-10-08"
"Grand Total",22818577,21374236,44192813,35155.37,22256132,"Summary","2014-10-15"
"Grand Total",21278554,20754323,42032877,32867.35,22303160,"Summary","2014-10-22"
"Grand Total",38627048,26889209,65516257,394816.48,30450583,"Summary","2014-10-29"
"Grand Total",41702406,28802468,70504874,497526.4,34790274,"Summary","2014-11-05"
"Grand Total",43422111,29880945,73303056,555495.72,35954812,"Summary","2014-11-12"
"Grand Total",45878321,31430901,77309222,602372.31,42610478,"Summary","2014-11-19"
"Grand Total",48267251,32955556,81222807,626951.58,46868571,"Summary","2014-11-26"
"Grand Total",49251362,33641415,82892777,633059.09,52224254,"Summary","2014-12-03"
"Grand Total",53127472,36171455,89298927,692422.6,59946626,"Summary","2014-12-10"
"Grand Total",56550387,38224680,94775067,727170.64,67175666,"Summary","2014-12-17"
"Grand Total",56250347,39191474,95441821,694540.57,74065710,"Summary","2014-12-24"
"Grand Total",62348872,42133597,104482469,835340.12,84630731,"Summary","2014-12-31"
"Grand Total",64715214,43749179,108464393,854471.38,89633976,"Summary","2015-01-07"
"Grand Total",67402722,45735011,113137733,889920.29,96852890,"Summary","2015-01-14"
"Grand Total",73677111,49429908,123107019,1021748.29,108569557,"Summary","2015-01-28"
"Grand Total",76029057,51119945,127149002,1071309.54,112276734,"Summary","2015-02-04"
"Grand Total",77747353,52312151,130059504,1133348.85,114967244,"Summary","2015-02-11"
"Grand Total",79204558,53388312,132592870,1187702.12,117707501,"Summary","2015-02-18"
"Grand Total",80861606,54598393,135459999,1244511.16,120303032,"Summary","2015-02-25"
"Grand Total",82416316,55689950,138106266,1295528.95,123135177,"Summary","2015-03-04"
"Grand Total",83584344,56487133,140071477,1338428.85,124852651,"Summary","2015-03-11"
"Grand Total",85023364,57445697,142469061,1403662.34,127424727,"Summary","2015-03-18"
"Grand Total",86772337,58595703,145368040,1464064.61,129917010,"Summary","2015-03-25"
"Grand Total",87844803,59318676,147163479,1567029.41,131482725,"Summary","2015-04-01"
"Grand Total",88701219,59758037,148459256,1571140.02,132551580,"Summary","2015-04-08"
"Grand Total",89670505,60295536,149966041,1579834.18,134021790,"Summary","2015-04-15"
"Grand Total",90743659,60786833,151530492,1596537.54,135846514,"Summary","2015-04-22"
"Grand Total",91721119,61294244,153015363,1619239.37,137153566,"Summary","2015-04-29"
"Grand Total",92644265,61827250,154471515,1653337.97,138364210,"Summary","2015-05-06"
"Grand Total",93542624,62322710,155865334,1691890.55,139556903,"Summary","2015-05-13"
"Grand Total",94599125,63013570,157612695,1721970.29,140917512,"Summary","2015-05-20"
"Grand Total",96130344,63820796,159951140,1799544.03,143363772,"Summary","2015-06-03"
"Grand Total",97070677,64293624,161364301,1829678.18,144341634,"Summary","2015-06-10"
"Grand Total",97941172,64766099,162707271,1868454.63,145421748,"Summary","2015-06-17"
"Grand Total",98974838,65303378,164278216,1901542.41,146654782,"Summary","2015-06-24"
"Grand Total",99847571,65843414,165690985,1958069.86,147670638,"Summary","2015-07-01"
"Grand Total",100952679,66359424,167312103,1999052.15,148676878,"Summary","2015-07-08"
"Grand Total",102132332,67089796,169222128,2028836.92,150478505,"Summary","2015-07-15"
"Grand Total",103159224,67598600,170757824,2047381.81,151477126,"Summary","2015-07-22"
"Grand Total",104441760,68420657,172862417,2076932.93,152630029,"Summary","2015-07-29"
"Grand Total",105488593,68971097,174459690,2203268.35,154339984,"Summary","2015-08-05"
"Grand Total",106328213,69345705,175673918,2239399.17,155607067,"Summary","2015-08-12"
"Grand Total",107362026,69997506,177359532,2264734.83,156515302,"Summary","2015-08-19"
"Grand Total",108439080,70563177,179002257,2290067.97,157361372,"Summary","2015-08-26"
"Grand Total",109408007,71005409,180413416,2325500.41,158217658,"Summary","2015-09-02"
"Grand Total",110287451,71505760,181793211,2369984.29,159084938,"Summary","2015-09-09"
"Grand Total",111214026,72166414,183380440,2407137.61,159810485,"Summary","2015-09-16"
"Grand Total",112104106,72577959,184682065,2436295.41,160230756,"Summary","2015-09-23"
"Grand Total",113653551,73314222,186967773,2514696.87,161674032,"Summary","2015-10-07"
"Grand Total",114733931,73892947,188626878,2569356.56,162640463,"Summary","2015-10-14"
"Grand Total",115326584,74241915,189568499,2589959.56,163350153,"Summary","2015-10-21"
"Grand Total",115775071,74464462,190239533,2591355.66,163751882,"Summary","2015-10-28"
"Grand Total",116466630,74882069,191348699,2635509.94,164253270,"Summary","2015-11-04"
"Grand Total",116912493,75200852,192113345,2681936.41,165106816,"Summary","2015-11-11"
"Grand Total",117332711,75401061,192733772,2693960.48,165365841,"Summary","2015-11-18"
"Grand Total",117750529,75686645,193437174,2695645.43,166017452,"Summary","2015-11-25"
"Grand Total",118190649,75958813,194149462,2728305.54,166127088,"Summary","2015-12-02"
"Grand Total",118879332,76275937,195155269,2769576.23,166696426,"Summary","2015-12-09"
"Grand Total",119455923,76568592,196024515,2801238.33,167344503,"Summary","2015-12-16"
"Grand Total",120228931,77006541,197235472,2869964.9,167990962,"Summary","2015-12-23"
"Grand Total",121039913,77344620,198384533,2922556.25,168451374,"Summary","2015-12-30"
"Grand Total",122245512,77957919,200203431,2980906.84,169140863,"Summary","2016-01-06"
"Grand Total",123518699,78423363,201942062,3010845.19,170502625,"Summary","2016-01-13"
"Grand Total",124709328,79108259,203817587,3063828.66,171350634,"Summary","2016-01-20"
"Grand Total",125264608,79414082,204678690,3079646.31,171981828,"Summary","2016-01-27"
"Grand Total",126949145,80201808,207150953,3237876.09,172917559,"Summary","2016-02-10"
"Grand Total",127934111,80807800,208741911,3273072.12,173636056,"Summary","2016-02-17"
"Grand Total",128708860,81297680,210006540,3307488.9,174564867,"Summary","2016-02-24"
"Grand Total",129382501,81672268,211054769,3353210.11,174940351,"Summary","2016-03-02"
"Grand Total",130107833,82107533,212215366,3426007.45,175685387,"Summary","2016-03-09"
"Grand Total",130751587,82383121,213134708,3484165.35,176266481,"Summary","2016-03-16"
"Grand Total",131207657,82626629,213834286,3521692.2,176831204,"Summary","2016-03-23"
"Grand Total",131707034,82568440,214275474,3567200.72,177529672,"Summary","2016-03-30"
"Grand Total",132109132,83028707,215137839,3660004.3,177824295,"Summary","2016-04-06"
"Grand Total",132414894,83220360,215635254,3672403.19,178139446,"Summary","2016-04-13"
"Grand Total",132727337,83395844,216123181,3675930.16,177823954,"Summary","2016-04-20"
"Grand Total",133033365,83719158,216752523,3679555.41,178895861,"Summary","2016-04-27"
"Grand Total",133452667,83954719,217407386,3744507.2,179358706,"Summary","2016-05-04"
"Grand Total",133937772,84201354,218139126,3761657.94,179712823,"Summary","2016-05-11"
"Grand Total",134306674,84349151,218655825,3777500.59,179914864,"Summary","2016-05-18"
"Grand Total",134721506,84570794,219292300,3804765.47,180148295,"Summary","2016-05-25"
"Grand Total",135248931,84888865,220137796,3841179.82,180867750,"Summary","2016-06-01"
"Grand Total",70307874,47630009,117937883,998680.26,103863247,"Summary","2015-01-21"
"Grand Total",95309161,63313769,158622930,1752033.85,142376630,"Summary","2015-05-27"
"Grand Total",112585751,72837000,185422751,2493922.57,160630533,"Summary","2015-09-30"
"Grand Total",126302290,79981652,206283942,3139966.99,172647705,"Summary","2016-02-03"
"Grand Total",135651574,85124966,220776540,3854068.18,181184685,"Summary","2016-06-08"
"Grand Total",153612348,96904163,250516511,4448011.89,192176679,"Summary","2016-10-12"
"Grand Total",167253432,109096445,276349877,6520446.11,214918964,"Summary","2017-02-15"
"Grand Total",172931537,116559662,289491199,6440466.79,224005058,"Summary","2017-06-21"
"Grand Total",182014642,123191043,305205685,6708569.7,229508468,"Summary","2017-10-25"
"Grand Total",183479748,128529671,312009419,7557209.19,235589610,"Summary","2018-02-28"
"Grand Total",187844883,132370144,320215027,7937117.06,240921418,"Summary","2018-07-11"
"Grand Total",135917219,85292398,221209617,3877978.67,181470587,"Summary","2016-06-15"
"Grand Total",136369753,85464178,221833931,3915285.88,181745108,"Summary","2016-06-22"
"Grand Total",136929866,85952521,222882387,3925157.26,182185072,"Summary","2016-06-29"
"Grand Total",137484899,86212988,223697887,3993888.85,182365476,"Summary","2016-07-06"
"Grand Total",138264826,86566211,224831037,4027211.82,182853515,"Summary","2016-07-13"
"Grand Total",139032606,86993145,226025751,4060091.14,183287793,"Summary","2016-07-20"
"Grand Total",139264880,87239314,226504194,4075082.23,183918278,"Summary","2016-07-27"
"Grand Total",140412289,87686222,228098511,4079485.46,184103648,"Summary","2016-08-03"
"Grand Total",144917535,91257155,236174690,4172330.07,188136628,"Summary","2016-08-10"
"Grand Total",145705055,91730364,237435419,4166410.61,188647296,"Summary","2016-08-17"
"Grand Total",146920021,92344352,239264373,4178953.1,189245698,"Summary","2016-08-24"
"Grand Total",147921866,93086518,241008384,4209423.83,190003740,"Summary","2016-08-31"
"Grand Total",148971634,93714742,242686376,4250469.64,190631911,"Summary","2016-09-07"
"Grand Total",149900181,94484560,244384741,4312825.01,190478242,"Summary","2016-09-14"
"Grand Total",151014281,95085342,246099623,4334783.65,191086486,"Summary","2016-09-21"
"Grand Total",151833153,95524744,247357897,4353266.58,190942160,"Summary","2016-09-28"
"Grand Total",153257103,96581684,249838787,4422126.94,191914311,"Summary","2016-10-05"
"Grand Total",154514877,97329275,251844152,4477455.66,192717804,"Summary","2016-10-19"
"Grand Total",155342684,97821583,253164267,4486727.78,193894958,"Summary","2016-10-26"
"Grand Total",156184783,98304453,254489236,4530248.39,194443473,"Summary","2016-11-02"
"Grand Total",156748761,98368044,255116805,4563660.93,194366422,"Summary","2016-11-09"
"Grand Total",156802204,99009502,255811706,6425215.6,194929304,"Summary","2016-11-16"
"Grand Total",157370988,99393497,256764485,7283472.34,195202334,"Summary","2016-11-23"
"Grand Total",157536423,100311091,257847514,7432155.26,193562832,"Summary","2016-11-30"
"Grand Total",157575211,100653505,258228716,7460949.6,201582045,"Summary","2016-12-07"
"Grand Total",158352904,101429744,259782648,7412311.55,203959388,"Summary","2016-12-14"
"Grand Total",158598812,101723287,260322099,7155790.47,199301288,"Summary","2016-12-21"
