Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"HDFC Bank Ltd",58630,258251,316881,804.46,20746,"(C) Major Private Banks","2014-09-24"
"HDFC Bank Ltd",85530,381491,467021,209.62,54451,"(C) Major Private Banks","2014-10-15"
"HDFC Bank Ltd",94632,424679,519311,206.42,84672,"(C) Major Private Banks","2014-10-22"
"HDFC Bank Ltd",101017,446653,547670,11364.97,92141,"(C) Major Private Banks","2014-10-29"
"HDFC Bank Ltd",108279,462788,571067,13559.72,101904,"(C) Major Private Banks","2014-11-05"
"HDFC Bank Ltd",113965,476428,590393,21269.22,109344,"(C) Major Private Banks","2014-11-12"
"HDFC Bank Ltd",120653,492744,613397,21879.93,118521,"(C) Major Private Banks","2014-11-19"
"HDFC Bank Ltd",122556,499496,622052,20346.47,342647,"(C) Major Private Banks","2014-11-26"
"HDFC Bank Ltd",125556,509297,634853,20695.32,394544,"(C) Major Private Banks","2014-12-03"
"HDFC Bank Ltd",128276,517204,645480,21538.62,583893,"(C) Major Private Banks","2014-12-10"
"HDFC Bank Ltd",133558,536869,670427,24549.31,625812,"(C) Major Private Banks","2014-12-17"
"HDFC Bank Ltd",141376,581374,722750,25955.71,698927,"(C) Major Private Banks","2014-12-24"
"HDFC Bank Ltd",146362,616748,763110,29089.51,739286,"(C) Major Private Banks","2014-12-31"
"HDFC Bank Ltd",149464,630493,779957,27671.56,756133,"(C) Major Private Banks","2015-01-07"
"HDFC Bank Ltd",157039,670424,827463,26675.32,826785,"(C) Major Private Banks","2015-01-14"
"HDFC Bank Ltd",168720,749373,918093,28035.24,917415,"(C) Major Private Banks","2015-01-28"
"HDFC Bank Ltd",172213,772008,944221,33516.54,943543,"(C) Major Private Banks","2015-02-04"
"HDFC Bank Ltd",174210,781074,955284,30988.91,954606,"(C) Major Private Banks","2015-02-11"
"HDFC Bank Ltd",188950,858908,1047858,32483.51,1047180,"(C) Major Private Banks","2015-02-18"
"HDFC Bank Ltd",201782,933077,1134859,36056.23,1134181,"(C) Major Private Banks","2015-02-25"
"HDFC Bank Ltd",204209,952569,1156778,36634.65,1156100,"(C) Major Private Banks","2015-03-04"
"HDFC Bank Ltd",206394,966030,1172424,35855.95,1171746,"(C) Major Private Banks","2015-03-11"
"HDFC Bank Ltd",211272,991638,1202910,37581.75,1202232,"(C) Major Private Banks","2015-03-18"
"HDFC Bank Ltd",225526,1083131,1308657,41328.88,1307979,"(C) Major Private Banks","2015-03-25"
"HDFC Bank Ltd",231087,1099665,1330752,42634.24,1330074,"(C) Major Private Banks","2015-04-01"
"HDFC Bank Ltd",233793,1107994,1341787,40195.49,1341109,"(C) Major Private Banks","2015-04-08"
"HDFC Bank Ltd",235238,1109941,1345179,39307.68,1344501,"(C) Major Private Banks","2015-04-15"
"HDFC Bank Ltd",237856,1115976,1353832,38982.46,1353154,"(C) Major Private Banks","2015-04-22"
"HDFC Bank Ltd",240081,1120337,1360418,41368.8,1359740,"(C) Major Private Banks","2015-04-29"
"HDFC Bank Ltd",242092,1124462,1366554,41804.74,1365876,"(C) Major Private Banks","2015-05-06"
"HDFC Bank Ltd",244024,1127340,1371364,41225.12,1370686,"(C) Major Private Banks","2015-05-13"
"HDFC Bank Ltd",258810,1176487,1435297,43283.76,1434619,"(C) Major Private Banks","2015-05-20"
