Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"ICICI Bank Ltd",194386,60837,255223,148.21,4442,"(C) Major Private Banks","2014-09-24"
"ICICI Bank Ltd",263777,73611,337388,230.12,4563,"(C) Major Private Banks","2014-10-08"
"ICICI Bank Ltd",283494,79482,362976,179.16,41639,"(C) Major Private Banks","2014-10-15"
"ICICI Bank Ltd",333259,85438,418697,258.2,89660,"(C) Major Private Banks","2014-10-22"
"ICICI Bank Ltd",359495,88874,448369,705.92,117348,"(C) Major Private Banks","2014-10-29"
"ICICI Bank Ltd",373940,93985,467925,1016.69,200433,"(C) Major Private Banks","2014-11-05"
"ICICI Bank Ltd",387834,97407,485241,770.08,350500,"(C) Major Private Banks","2014-11-12"
"ICICI Bank Ltd",408029,101064,509093,654.85,490335,"(C) Major Private Banks","2014-11-19"
"ICICI Bank Ltd",412630,104249,516879,644.85,514974,"(C) Major Private Banks","2014-11-26"
"ICICI Bank Ltd",423474,107721,531195,755.83,530172,"(C) Major Private Banks","2014-12-03"
"ICICI Bank Ltd",436687,110560,547247,758.87,544874,"(C) Major Private Banks","2014-12-10"
"ICICI Bank Ltd",456879,113368,570247,878.1,565557,"(C) Major Private Banks","2014-12-17"
"ICICI Bank Ltd",461177,116128,577305,961.82,576497,"(C) Major Private Banks","2014-12-24"
"ICICI Bank Ltd",522012,122590,644602,961.46,619613,"(C) Major Private Banks","2014-12-31"
"ICICI Bank Ltd",531741,135345,667086,1221.75,660595,"(C) Major Private Banks","2015-01-07"
"ICICI Bank Ltd",732991,146442,879433,1596.61,696859,"(C) Major Private Banks","2015-01-14"
"ICICI Bank Ltd",1780717,283844,2064561,13817.2,2029536,"(C) Major Private Banks","2015-01-28"
"ICICI Bank Ltd",1787293,288596,2075889,14328.08,2035928,"(C) Major Private Banks","2015-02-04"
"ICICI Bank Ltd",1791339,291534,2082873,14529.27,2040387,"(C) Major Private Banks","2015-02-11"
"ICICI Bank Ltd",1796682,294205,2090887,14523.8,2044333,"(C) Major Private Banks","2015-02-18"
"ICICI Bank Ltd",1804778,297712,2102490,14503.35,2049339,"(C) Major Private Banks","2015-02-25"
"ICICI Bank Ltd",1812846,300437,2113283,14814.13,2053311,"(C) Major Private Banks","2015-03-04"
"ICICI Bank Ltd",1815067,302268,2117335,14814.49,2074846,"(C) Major Private Banks","2015-03-11"
"ICICI Bank Ltd",1828540,304434,2132974,15232.31,2104024,"(C) Major Private Banks","2015-03-18"
"ICICI Bank Ltd",1846635,306414,2153049,15232.83,2126457,"(C) Major Private Banks","2015-03-25"
"ICICI Bank Ltd",1860530,307475,2168005,15876.43,2128029,"(C) Major Private Banks","2015-04-01"
"ICICI Bank Ltd",1866887,309419,2176306,15677.64,2136330,"(C) Major Private Banks","2015-04-08"
"ICICI Bank Ltd",1878002,310447,2188449,15462.93,2165317,"(C) Major Private Banks","2015-04-15"
"ICICI Bank Ltd",1884699,311440,2196139,15519.75,2167089,"(C) Major Private Banks","2015-04-22"
"ICICI Bank Ltd",1901762,312537,2214299,15174.79,2197620,"(C) Major Private Banks","2015-04-29"
"ICICI Bank Ltd",1919708,313291,2232999,15127.24,2198845,"(C) Major Private Banks","2015-05-06"
"ICICI Bank Ltd",1936797,313542,2250339,15821.24,2250339,"(C) Major Private Banks","2015-05-13"
"ICICI Bank Ltd",1953534,314716,2268250,15880.19,2268250,"(C) Major Private Banks","2015-05-20"
"ICICI Bank Ltd",1986463,316241,2302704,16204.52,2283649,"(C) Major Private Banks","2015-06-03"
"ICICI Bank Ltd",2005786,317082,2322868,16313.38,2293228,"(C) Major Private Banks","2015-06-10"
"ICICI Bank Ltd",2013823,317598,2331421,19217.76,2296337,"(C) Major Private Banks","2015-06-17"
