Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"IDBI Bank Ltd.",226058,226935,452993,233.02,126239,"(A) Public Sector Banks","2014-09-24"
"IDBI Bank Ltd.",251454,252713,504167,312.45,173091,"(A) Public Sector Banks","2014-10-15"
"IDBI Bank Ltd.",269052,269691,538743,656.96,270422,"(A) Public Sector Banks","2014-10-29"
"IDBI Bank Ltd.",280148,281950,562098,737.64,333740,"(A) Public Sector Banks","2014-11-05"
"IDBI Bank Ltd.",289607,292691,582298,843.25,374663,"(A) Public Sector Banks","2014-11-12"
"IDBI Bank Ltd.",303543,305612,609155,963.11,442933,"(A) Public Sector Banks","2014-11-19"
"IDBI Bank Ltd.",316569,317228,633797,1063.22,477814,"(A) Public Sector Banks","2014-11-26"
"IDBI Bank Ltd.",338303,335061,673364,1162.99,556447,"(A) Public Sector Banks","2014-12-03"
"IDBI Bank Ltd.",354161,347268,701429,1299.8,610306,"(A) Public Sector Banks","2014-12-10"
"IDBI Bank Ltd.",367556,354475,722031,1443.36,628158,"(A) Public Sector Banks","2014-12-17"
"IDBI Bank Ltd.",382736,365586,748322,1567.78,644276,"(A) Public Sector Banks","2014-12-24"
"IDBI Bank Ltd.",391968,371373,763341,1734.15,665253,"(A) Public Sector Banks","2014-12-31"
"IDBI Bank Ltd.",405025,380656,785681,1909.87,712036,"(A) Public Sector Banks","2015-01-07"
"IDBI Bank Ltd.",422292,391199,813491,2157.7,790681,"(A) Public Sector Banks","2015-01-14"
"IDBI Bank Ltd.",437803,402190,839993,2412.68,814672,"(A) Public Sector Banks","2015-01-28"
"IDBI Bank Ltd.",452722,411553,864275,2603.06,841973,"(A) Public Sector Banks","2015-02-04"
"IDBI Bank Ltd.",459580,414158,873738,2867.03,849706,"(A) Public Sector Banks","2015-02-11"
"IDBI Bank Ltd.",465455,419074,884529,3022.39,857997,"(A) Public Sector Banks","2015-02-18"
"IDBI Bank Ltd.",470014,422678,892692,3209.34,865456,"(A) Public Sector Banks","2015-02-25"
"IDBI Bank Ltd.",475189,426672,901861,3393.91,873240,"(A) Public Sector Banks","2015-03-04"
"IDBI Bank Ltd.",479529,429217,908746,3649.59,878488,"(A) Public Sector Banks","2015-03-11"
"IDBI Bank Ltd.",483699,432117,915816,3729.78,883524,"(A) Public Sector Banks","2015-03-18"
"IDBI Bank Ltd.",489153,434325,923478,3842.47,888717,"(A) Public Sector Banks","2015-03-25"
"IDBI Bank Ltd.",493029,436298,929327,4139.29,892983,"(A) Public Sector Banks","2015-04-01"
"IDBI Bank Ltd.",494749,437066,931815,4104.91,896134,"(A) Public Sector Banks","2015-04-08"
"IDBI Bank Ltd.",496377,438306,934683,4216.66,898252,"(A) Public Sector Banks","2015-04-15"
