Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Indian Bank",863709,553175,1416884,685.83,868542,"(A) Public Sector Banks","2014-09-24"
"Indian Bank",940544,598693,1539237,666.55,1426828,"(A) Public Sector Banks","2014-10-08"
"Indian Bank",986649,622057,1608706,673.63,1595782,"(A) Public Sector Banks","2014-10-15"
"Indian Bank",1026941,641726,1668667,611.32,1623325,"(A) Public Sector Banks","2014-10-22"
"Indian Bank",1065510,655990,1721500,3657.4,1673750,"(A) Public Sector Banks","2014-10-29"
"Indian Bank",207048,34831,241879,583.57,0,"(B) Regional Rural Bank","2014-10-29"
"Indian Bank",1097882,669113,1766995,4651.53,1687501,"(A) Public Sector Banks","2014-11-05"
"Indian Bank",211624,35251,246875,624.83,0,"(B) Regional Rural Bank","2014-11-05"
"Indian Bank",1125178,680839,1806017,5028.45,1773063,"(A) Public Sector Banks","2014-11-12"
"Indian Bank",215496,35367,250863,640.76,0,"(B) Regional Rural Bank","2014-11-12"
"Indian Bank",1163483,697409,1860892,5549.72,1778859,"(A) Public Sector Banks","2014-11-19"
"Indian Bank",219846,35765,255611,688.8,0,"(B) Regional Rural Bank","2014-11-19"
"Indian Bank",1207745,716104,1923849,6013.47,1833965,"(A) Public Sector Banks","2014-11-26"
"Indian Bank",226528,35917,262445,752.91,0,"(B) Regional Rural Bank","2014-11-26"
"Indian Bank",1239063,732939,1972002,6537.37,1887390,"(A) Public Sector Banks","2014-12-03"
"Indian Bank",231914,36095,268009,790.19,0,"(B) Regional Rural Bank","2014-12-03"
"Indian Bank",1275045,753388,2028433,7326.27,1942939,"(A) Public Sector Banks","2014-12-10"
"Indian Bank",239327,36828,276155,865.44,0,"(B) Regional Rural Bank","2014-12-10"
"Indian Bank",1321239,777026,2098265,7928.62,2043664,"(A) Public Sector Banks","2014-12-17"
"Indian Bank",249274,37991,287265,915.92,0,"(B) Regional Rural Bank","2014-12-17"
"Indian Bank",1371387,800884,2172271,8419.8,2050844,"(A) Public Sector Banks","2014-12-24"
"Indian Bank",255866,38110,293976,962.65,3000,"(B) Regional Rural Bank","2014-12-24"
"Indian Bank",1405364,819938,2225302,9100.94,2172768,"(A) Public Sector Banks","2014-12-31"
"Indian Bank",260579,38196,298775,1053.29,114706,"(B) Regional Rural Bank","2014-12-31"
"Indian Bank",1437648,837303,2274951,9891.18,2226578,"(A) Public Sector Banks","2015-01-07"
"Indian Bank",267785,38282,306067,1121.9,124217,"(B) Regional Rural Bank","2015-01-07"
"Indian Bank",1461525,853296,2314821,10421.18,2280154,"(A) Public Sector Banks","2015-01-14"
"Indian Bank",271616,38489,310105,1145.71,139217,"(B) Regional Rural Bank","2015-01-14"
"Indian Bank",1511841,888550,2400391,11359.34,2313385,"(A) Public Sector Banks","2015-01-28"
"Indian Bank",278546,38851,317397,1256.67,150348,"(B) Regional Rural Bank","2015-01-28"
"Indian Bank",1542890,905624,2448514,12254.63,2313385,"(A) Public Sector Banks","2015-02-04"
"Indian Bank",282438,38974,321412,1335.24,150348,"(B) Regional Rural Bank","2015-02-04"
"Indian Bank",1561294,913117,2474411,13120.9,2368896,"(A) Public Sector Banks","2015-02-11"
"Indian Bank",284198,39056,323254,1405.12,150348,"(B) Regional Rural Bank","2015-02-11"
"Indian Bank",1574230,917154,2491384,13655.87,2369757,"(A) Public Sector Banks","2015-02-18"
"Indian Bank",285903,39140,325043,1514.59,150348,"(B) Regional Rural Bank","2015-02-18"
"Indian Bank",1590635,921986,2512621,14149.39,2370110,"(A) Public Sector Banks","2015-02-25"
"Indian Bank",293721,39201,332922,1605.29,150348,"(B) Regional Rural Bank","2015-02-25"
"Indian Bank",1603967,925214,2529181,14900.14,2456693,"(A) Public Sector Banks","2015-03-04"
"Indian Bank",301623,39265,340888,1680.67,150348,"(B) Regional Rural Bank","2015-03-04"
"Indian Bank",1613789,928101,2541890,15655.31,2456693,"(A) Public Sector Banks","2015-03-11"
"Indian Bank",306817,39315,346132,1755.38,150348,"(B) Regional Rural Bank","2015-03-11"
"Indian Bank",1628103,932261,2560364,16288.66,2521434,"(A) Public Sector Banks","2015-03-18"
"Indian Bank",313969,39356,353325,1803.53,277955,"(B) Regional Rural Bank","2015-03-18"
"Indian Bank",1641065,935147,2576212,16717.04,2521434,"(A) Public Sector Banks","2015-03-25"
"Indian Bank",316627,69440,386067,1878.73,277955,"(B) Regional Rural Bank","2015-03-25"
"Indian Bank",1650440,936714,2587154,17211.09,2521434,"(A) Public Sector Banks","2015-04-01"
"Indian Bank",317143,69440,386583,1957.19,279084,"(B) Regional Rural Bank","2015-04-01"
"Indian Bank",1656159,938117,2594276,17501.21,2526322,"(A) Public Sector Banks","2015-04-08"
"Indian Bank",317362,69468,386830,2002.81,279084,"(B) Regional Rural Bank","2015-04-08"
"Indian Bank",1663109,939394,2602503,17604.44,2534708,"(A) Public Sector Banks","2015-04-15"
"Indian Bank",317596,69475,387071,1968.32,279084,"(B) Regional Rural Bank","2015-04-15"
"Indian Bank",1672733,941002,2613735,17792.25,2584441,"(A) Public Sector Banks","2015-04-22"
"Indian Bank",318065,69460,387525,1965.92,279084,"(B) Regional Rural Bank","2015-04-22"
"Indian Bank",1682726,942331,2625057,17931.28,2595735,"(A) Public Sector Banks","2015-04-29"
"Indian Bank",318496,69448,387944,2014.13,279084,"(B) Regional Rural Bank","2015-04-29"
"Indian Bank",1688116,943191,2631307,18337.34,2599980,"(A) Public Sector Banks","2015-05-06"
"Indian Bank",319154,69428,388582,2025.57,279084,"(B) Regional Rural Bank","2015-05-06"
"Indian Bank",1696469,944954,2641423,18948.25,2610077,"(A) Public Sector Banks","2015-05-13"
"Indian Bank",320119,69403,389522,2055.09,279084,"(B) Regional Rural Bank","2015-05-13"
"Indian Bank",1704866,947106,2651972,19106.75,2620602,"(A) Public Sector Banks","2015-05-20"
"Indian Bank",321070,69420,390490,2091.3,280087,"(B) Regional Rural Bank","2015-05-20"
"Indian Bank",1720468,950002,2670470,19431.68,2639064,"(A) Public Sector Banks","2015-06-03"
"Indian Bank",322323,69325,391648,2170.07,280087,"(B) Regional Rural Bank","2015-06-03"
