Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Indian Overseas Bank",385808,854401,1240209,462.32,390804,"(A) Public Sector Banks","2014-09-24"
"Indian Overseas Bank",469640,1008302,1477942,481.68,732843,"(A) Public Sector Banks","2014-10-15"
"Indian Overseas Bank",507149,1076143,1583292,496.2,859413,"(A) Public Sector Banks","2014-10-22"
"Indian Overseas Bank",536906,1136122,1673028,806.17,1042020,"(A) Public Sector Banks","2014-10-29"
"Indian Overseas Bank",245372,8955,254327,1254.68,0,"(B) Regional Rural Bank","2014-10-29"
"Indian Overseas Bank",563020,1184085,1747105,824.83,1075041,"(A) Public Sector Banks","2014-11-05"
"Indian Overseas Bank",257686,8963,266649,1460.1,0,"(B) Regional Rural Bank","2014-11-05"
"Indian Overseas Bank",591734,1226636,1818370,891.84,1075058,"(A) Public Sector Banks","2014-11-12"
"Indian Overseas Bank",270182,8980,279162,1547.46,0,"(B) Regional Rural Bank","2014-11-12"
"Indian Overseas Bank",622955,1278677,1901632,915.95,1245925,"(A) Public Sector Banks","2014-11-19"
"Indian Overseas Bank",284351,9013,293364,1716.87,0,"(B) Regional Rural Bank","2014-11-19"
"Indian Overseas Bank",658169,1338611,1996780,941.34,1531823,"(A) Public Sector Banks","2014-11-26"
"Indian Overseas Bank",299597,9030,308627,1987.94,0,"(B) Regional Rural Bank","2014-11-26"
"Indian Overseas Bank",689123,1388101,2077224,963.31,1586846,"(A) Public Sector Banks","2014-12-03"
"Indian Overseas Bank",312746,9034,321780,2149.56,76,"(B) Regional Rural Bank","2014-12-03"
"Indian Overseas Bank",715612,1438917,2154529,996.97,1651778,"(A) Public Sector Banks","2014-12-10"
"Indian Overseas Bank",328083,6570,334653,2308.22,76,"(B) Regional Rural Bank","2014-12-10"
"Indian Overseas Bank",754120,1507342,2261462,1038.72,1708204,"(A) Public Sector Banks","2014-12-17"
"Indian Overseas Bank",343698,9093,352791,2588.17,76,"(B) Regional Rural Bank","2014-12-17"
"Indian Overseas Bank",784309,1563866,2348175,1080.07,1984303,"(A) Public Sector Banks","2014-12-24"
"Indian Overseas Bank",362617,9114,371731,2673.36,76,"(B) Regional Rural Bank","2014-12-24"
"Indian Overseas Bank",806290,1599560,2405850,1111.67,2289281,"(A) Public Sector Banks","2014-12-31"
"Indian Overseas Bank",377764,9120,386884,3007.87,998,"(B) Regional Rural Bank","2014-12-31"
"Indian Overseas Bank",833904,1645293,2479197,1140.49,2310647,"(A) Public Sector Banks","2015-01-07"
"Indian Overseas Bank",395741,9120,404861,3164.7,998,"(B) Regional Rural Bank","2015-01-07"
"Indian Overseas Bank",868501,1712489,2580990,1173.51,2402647,"(A) Public Sector Banks","2015-01-14"
"Indian Overseas Bank",419725,9126,428851,3409.71,5898,"(B) Regional Rural Bank","2015-01-14"
"Indian Overseas Bank",921918,1808849,2730767,1224.8,2600391,"(A) Public Sector Banks","2015-01-28"
"Indian Overseas Bank",470089,9129,479218,3740.95,5898,"(B) Regional Rural Bank","2015-01-28"
"Indian Overseas Bank",941723,1844898,2786621,1248.47,2640339,"(A) Public Sector Banks","2015-02-04"
"Indian Overseas Bank",491838,9130,500968,3988.6,5898,"(B) Regional Rural Bank","2015-02-04"
"Indian Overseas Bank",958106,1873092,2831198,1270.81,2705730,"(A) Public Sector Banks","2015-02-11"
"Indian Overseas Bank",512810,9134,521944,4191.52,5898,"(B) Regional Rural Bank","2015-02-11"
"Indian Overseas Bank",972207,1899459,2871666,17524.86,2740396,"(A) Public Sector Banks","2015-02-18"
"Indian Overseas Bank",528783,9135,537918,4422.69,119913,"(B) Regional Rural Bank","2015-02-18"
"Indian Overseas Bank",983226,1918383,2901609,18507.18,2783208,"(A) Public Sector Banks","2015-02-25"
"Indian Overseas Bank",547754,9135,556889,4709.02,119913,"(B) Regional Rural Bank","2015-02-25"
"Indian Overseas Bank",992054,1931671,2923725,19535.14,2819849,"(A) Public Sector Banks","2015-03-04"
"Indian Overseas Bank",562181,9136,571317,4873.54,119913,"(B) Regional Rural Bank","2015-03-04"
"Indian Overseas Bank",1007254,1954752,2962006,20615.02,2844324,"(A) Public Sector Banks","2015-03-11"
"Indian Overseas Bank",574591,9143,583734,4992.97,119913,"(B) Regional Rural Bank","2015-03-11"
"Indian Overseas Bank",1020966,1971839,2992805,21866.7,2901064,"(A) Public Sector Banks","2015-03-18"
"Indian Overseas Bank",591641,9150,600791,5246.25,119913,"(B) Regional Rural Bank","2015-03-18"
"Indian Overseas Bank",1034530,1989113,3023643,22966.8,2916191,"(A) Public Sector Banks","2015-03-25"
"Indian Overseas Bank",607348,9155,616503,5663.01,119913,"(B) Regional Rural Bank","2015-03-25"
"Indian Overseas Bank",1045079,2001310,3046389,24459.23,2973230,"(A) Public Sector Banks","2015-04-01"
"Indian Overseas Bank",615379,9156,624535,6127.87,129182,"(B) Regional Rural Bank","2015-04-01"
"Indian Overseas Bank",1051341,2007656,3058997,24822.64,2981062,"(A) Public Sector Banks","2015-04-08"
"Indian Overseas Bank",625075,9156,634231,6077.82,141016,"(B) Regional Rural Bank","2015-04-08"
"Indian Overseas Bank",1061094,2016223,3077317,25366.1,3003585,"(A) Public Sector Banks","2015-04-15"
"Indian Overseas Bank",637682,9156,646838,6192.47,162568,"(B) Regional Rural Bank","2015-04-15"
"Indian Overseas Bank",1073809,2027518,3101327,26083.24,3012680,"(A) Public Sector Banks","2015-04-22"
"Indian Overseas Bank",651356,9156,660512,6431.64,162568,"(B) Regional Rural Bank","2015-04-22"
"Indian Overseas Bank",1085698,2038320,3124018,26609.92,3029223,"(A) Public Sector Banks","2015-04-29"
"Indian Overseas Bank",664414,9156,673570,6595.82,162568,"(B) Regional Rural Bank","2015-04-29"
"Indian Overseas Bank",1093003,2044302,3137305,27233.89,3066284,"(A) Public Sector Banks","2015-05-06"
"Indian Overseas Bank",674054,9157,683211,6696.15,162568,"(B) Regional Rural Bank","2015-05-06"
"Indian Overseas Bank",1100809,2053607,3154416,28184.34,3083006,"(A) Public Sector Banks","2015-05-13"
"Indian Overseas Bank",684184,9159,693343,6938.43,162568,"(B) Regional Rural Bank","2015-05-13"
"Indian Overseas Bank",1110116,2064134,3174250,28657.4,3111458,"(A) Public Sector Banks","2015-05-20"
"Indian Overseas Bank",695687,9160,704847,7089.58,162568,"(B) Regional Rural Bank","2015-05-20"
"Indian Overseas Bank",1127587,2085543,3213130,29936.66,3153137,"(A) Public Sector Banks","2015-06-03"
"Indian Overseas Bank",716235,9176,725411,7223.49,162568,"(B) Regional Rural Bank","2015-06-03"
"Indian Overseas Bank",1136400,2095334,3231734,30362.28,3165480,"(A) Public Sector Banks","2015-06-10"
"Indian Overseas Bank",724254,9229,733483,7507.86,162568,"(B) Regional Rural Bank","2015-06-10"
"Indian Overseas Bank",1146617,2106737,3253354,30964.15,3173216,"(A) Public Sector Banks","2015-06-17"
"Indian Overseas Bank",732661,9286,741947,7653.63,162568,"(B) Regional Rural Bank","2015-06-17"
"Indian Overseas Bank",1159633,2120915,3280548,31497.39,3188551,"(A) Public Sector Banks","2015-06-24"
"Indian Overseas Bank",741515,9387,750902,7924.2,162568,"(B) Regional Rural Bank","2015-06-24"
"Indian Overseas Bank",1173092,2134562,3307654,32158.41,3207738,"(A) Public Sector Banks","2015-07-01"
"Indian Overseas Bank",748244,9447,757691,8104.52,162568,"(B) Regional Rural Bank","2015-07-01"
"Indian Overseas Bank",1194364,2155142,3349506,33169.59,3266358,"(A) Public Sector Banks","2015-07-08"
"Indian Overseas Bank",765984,9449,775433,8398.15,162568,"(B) Regional Rural Bank","2015-07-08"
"Indian Overseas Bank",1223160,2183272,3406432,34117.01,3313921,"(A) Public Sector Banks","2015-07-15"
"Indian Overseas Bank",768757,9449,778206,8596.11,162568,"(B) Regional Rural Bank","2015-07-15"
"Indian Overseas Bank",1241490,2203874,3445364,34467.46,3330190,"(A) Public Sector Banks","2015-07-22"
"Indian Overseas Bank",773106,9496,782602,8742.36,162568,"(B) Regional Rural Bank","2015-07-22"
"Indian Overseas Bank",1262630,2228013,3490643,34987.05,3394707,"(A) Public Sector Banks","2015-07-29"
"Indian Overseas Bank",780266,9508,789774,8897.36,162759,"(B) Regional Rural Bank","2015-07-29"
"Indian Overseas Bank",1273317,2240768,3514085,35964.55,3414634,"(A) Public Sector Banks","2015-08-05"
"Indian Overseas Bank",785409,9513,794922,9337.89,162759,"(B) Regional Rural Bank","2015-08-05"
"Indian Overseas Bank",1288046,2258122,3546168,36855.09,3438126,"(A) Public Sector Banks","2015-08-12"
"Indian Overseas Bank",791595,9522,801117,9631.68,162759,"(B) Regional Rural Bank","2015-08-12"
"Indian Overseas Bank",1299222,2272517,3571739,37327.6,3461412,"(A) Public Sector Banks","2015-08-19"
"Indian Overseas Bank",797103,9569,806672,9815.12,162759,"(B) Regional Rural Bank","2015-08-19"
"Indian Overseas Bank",1311083,2287235,3598318,37815.61,3479878,"(A) Public Sector Banks","2015-08-26"
"Indian Overseas Bank",803088,9607,812695,10281.9,162759,"(B) Regional Rural Bank","2015-08-26"
"Indian Overseas Bank",1323182,2300057,3623239,38691.65,3507667,"(A) Public Sector Banks","2015-09-02"
"Indian Overseas Bank",807488,9655,817143,10408.36,162759,"(B) Regional Rural Bank","2015-09-02"
"Indian Overseas Bank",1330205,2307780,3637985,39283.58,3522411,"(A) Public Sector Banks","2015-09-09"
"Indian Overseas Bank",811416,9669,821085,10544.35,162759,"(B) Regional Rural Bank","2015-09-09"
"Indian Overseas Bank",1339387,2319129,3658516,39665.57,3542285,"(A) Public Sector Banks","2015-09-16"
"Indian Overseas Bank",814914,9682,824596,10826.31,162759,"(B) Regional Rural Bank","2015-09-16"
"Indian Overseas Bank",1348164,2329684,3677848,40222.61,3563207,"(A) Public Sector Banks","2015-09-23"
"Indian Overseas Bank",818255,9685,827940,10959.85,162759,"(B) Regional Rural Bank","2015-09-23"
