Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"IndusInd Bank Ltd",6596,20742,27338,6.4,20825,"(C) Major Private Banks","2014-10-15"
"IndusInd Bank Ltd",7745,33768,41513,4.98,23657,"(C) Major Private Banks","2014-10-22"
"IndusInd Bank Ltd",8110,46438,54548,38.14,28489,"(C) Major Private Banks","2014-10-29"
"IndusInd Bank Ltd",8378,48319,56697,54.14,55700,"(C) Major Private Banks","2014-11-05"
"IndusInd Bank Ltd",8845,49591,58436,104.84,57033,"(C) Major Private Banks","2014-11-12"
"IndusInd Bank Ltd",9456,59818,69274,103.65,58987,"(C) Major Private Banks","2014-11-19"
"IndusInd Bank Ltd",9980,67601,77581,95.34,60506,"(C) Major Private Banks","2014-11-26"
"IndusInd Bank Ltd",10420,69420,79840,131.81,75921,"(C) Major Private Banks","2014-12-03"
"IndusInd Bank Ltd",10800,70604,81404,182.26,79507,"(C) Major Private Banks","2014-12-10"
"IndusInd Bank Ltd",11179,75963,87142,175.35,81117,"(C) Major Private Banks","2014-12-17"
"IndusInd Bank Ltd",11746,78532,90278,158.98,83951,"(C) Major Private Banks","2014-12-24"
"IndusInd Bank Ltd",12298,93656,105954,156.32,94391,"(C) Major Private Banks","2014-12-31"
"IndusInd Bank Ltd",12913,102957,115870,485.6,99595,"(C) Major Private Banks","2015-01-07"
"IndusInd Bank Ltd",13519,111557,125076,444.51,119443,"(C) Major Private Banks","2015-01-14"
"IndusInd Bank Ltd",14630,122556,137186,414.72,135566,"(C) Major Private Banks","2015-01-28"
"IndusInd Bank Ltd",15006,124603,139609,478.64,138496,"(C) Major Private Banks","2015-02-04"
"IndusInd Bank Ltd",15303,126192,141495,570.91,140445,"(C) Major Private Banks","2015-02-11"
"IndusInd Bank Ltd",15545,127453,142998,546.69,142231,"(C) Major Private Banks","2015-02-18"
"IndusInd Bank Ltd",15743,129583,145326,512.15,144443,"(C) Major Private Banks","2015-02-25"
"IndusInd Bank Ltd",15966,131184,147150,584.38,146396,"(C) Major Private Banks","2015-03-04"
"IndusInd Bank Ltd",16126,136435,152561,703.32,147586,"(C) Major Private Banks","2015-03-11"
"IndusInd Bank Ltd",16316,148043,164359,638.49,160251,"(C) Major Private Banks","2015-03-18"
"IndusInd Bank Ltd",16412,156569,172981,599.4,171883,"(C) Major Private Banks","2015-03-25"
"IndusInd Bank Ltd",16556,158016,174572,648.29,172376,"(C) Major Private Banks","2015-04-01"
"IndusInd Bank Ltd",16815,159570,176385,773.97,174714,"(C) Major Private Banks","2015-04-08"
"IndusInd Bank Ltd",16932,160056,176988,751.29,176051,"(C) Major Private Banks","2015-04-15"
"IndusInd Bank Ltd",17054,161198,178252,680.11,177207,"(C) Major Private Banks","2015-04-22"
"IndusInd Bank Ltd",17186,163086,180272,643.1,178388,"(C) Major Private Banks","2015-04-29"
"IndusInd Bank Ltd",17266,164852,182118,740.56,180022,"(C) Major Private Banks","2015-05-06"
"IndusInd Bank Ltd",17378,170035,187413,857.95,182421,"(C) Major Private Banks","2015-05-13"
"IndusInd Bank Ltd",17523,175613,193136,815.42,187219,"(C) Major Private Banks","2015-05-20"
"IndusInd Bank Ltd",18197,180523,198720,754.33,197357,"(C) Major Private Banks","2015-06-03"
"IndusInd Bank Ltd",18347,182107,200454,940.94,199079,"(C) Major Private Banks","2015-06-10"
"IndusInd Bank Ltd",18550,183970,202520,865.53,201115,"(C) Major Private Banks","2015-06-17"
"IndusInd Bank Ltd",18723,186036,204759,795.44,202793,"(C) Major Private Banks","2015-06-24"
"IndusInd Bank Ltd",19050,189265,208315,853.71,206851,"(C) Major Private Banks","2015-07-01"
