Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Jammu & Kashmir Bank Ltd",205203,49195,254398,0.03,21,"(C) Major Private Banks","2014-11-05"
"Jammu & Kashmir Bank Ltd",216455,51139,267594,0.03,21,"(C) Major Private Banks","2014-11-12"
"Jammu & Kashmir Bank Ltd",223721,51788,275509,0.03,21,"(C) Major Private Banks","2014-11-19"
"Jammu & Kashmir Bank Ltd",229613,52808,282421,0.03,0,"(C) Major Private Banks","2014-11-26"
"Jammu & Kashmir Bank Ltd",350499,49605,400104,5307.89,0,"(C) Major Private Banks","2014-12-10"
"Jammu & Kashmir Bank Ltd",398837,52542,451379,5716.62,0,"(C) Major Private Banks","2014-12-17"
"Jammu & Kashmir Bank Ltd",455875,56735,512610,6384.32,46665,"(C) Major Private Banks","2014-12-24"
"Jammu & Kashmir Bank Ltd",486400,59850,546250,6934.3,94624,"(C) Major Private Banks","2014-12-31"
"Jammu & Kashmir Bank Ltd",540051,66165,606216,7635.15,94624,"(C) Major Private Banks","2015-01-07"
"Jammu & Kashmir Bank Ltd",32680,6716,39396,294.73,0,"(B) Regional Rural Bank","2015-01-14"
"Jammu & Kashmir Bank Ltd",666353,85812,752165,8771.56,244200,"(C) Major Private Banks","2015-01-14"
"Jammu & Kashmir Bank Ltd",41816,8390,50206,362.85,0,"(B) Regional Rural Bank","2015-01-28"
"Jammu & Kashmir Bank Ltd",783444,95147,878591,9350.61,477000,"(C) Major Private Banks","2015-01-28"
"Jammu & Kashmir Bank Ltd",44505,8927,53432,717.05,0,"(B) Regional Rural Bank","2015-02-04"
"Jammu & Kashmir Bank Ltd",834917,101515,936432,9974.32,5e+05,"(C) Major Private Banks","2015-02-04"
"Jammu & Kashmir Bank Ltd",47201,9230,56431,744.15,0,"(B) Regional Rural Bank","2015-02-11"
"Jammu & Kashmir Bank Ltd",864703,103648,968351,10542.28,499873,"(C) Major Private Banks","2015-02-11"
"Jammu & Kashmir Bank Ltd",48637,9483,58120,744.15,0,"(B) Regional Rural Bank","2015-02-18"
