Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Karur Vysya Bank",3392,36906,40298,12.49,16922,"(C) Major Private Banks","2014-09-24"
"Karur Vysya Bank",3666,40301,43967,14.71,36018,"(C) Major Private Banks","2014-10-08"
"Karur Vysya Bank",3872,44186,48058,22.76,38078,"(C) Major Private Banks","2014-10-15"
"Karur Vysya Bank",4003,47389,51392,26.84,39630,"(C) Major Private Banks","2014-10-22"
"Karur Vysya Bank",4169,49549,53718,96.77,42744,"(C) Major Private Banks","2014-10-29"
"Karur Vysya Bank",4250,50881,55131,109.29,42744,"(C) Major Private Banks","2014-11-05"
"Karur Vysya Bank",4326,52143,56469,92.96,48035,"(C) Major Private Banks","2014-11-12"
"Karur Vysya Bank",4406,54013,58419,105.9,49711,"(C) Major Private Banks","2014-11-19"
"Karur Vysya Bank",4461,56674,61135,122.54,51996,"(C) Major Private Banks","2014-11-26"
"Karur Vysya Bank",4523,58880,63403,128.13,55758,"(C) Major Private Banks","2014-12-03"
"Karur Vysya Bank",4695,62202,66897,128.37,55756,"(C) Major Private Banks","2014-12-10"
"Karur Vysya Bank",4922,68826,73748,157.89,61557,"(C) Major Private Banks","2014-12-17"
"Karur Vysya Bank",5428,73726,79154,159.04,66966,"(C) Major Private Banks","2014-12-24"
"Karur Vysya Bank",5670,77925,83595,199.65,75695,"(C) Major Private Banks","2014-12-31"
"Karur Vysya Bank",5772,79941,85713,211.4,81366,"(C) Major Private Banks","2015-01-07"
"Karur Vysya Bank",6014,82392,88406,243.6,83176,"(C) Major Private Banks","2015-01-14"
"Karur Vysya Bank",6594,85090,91684,292.18,87978,"(C) Major Private Banks","2015-01-28"
"Karur Vysya Bank",6880,86619,93499,295.29,89948,"(C) Major Private Banks","2015-02-04"
"Karur Vysya Bank",7232,88418,95650,347.59,91412,"(C) Major Private Banks","2015-02-11"
"Karur Vysya Bank",7833,89984,97817,401.12,93803,"(C) Major Private Banks","2015-02-18"
"Karur Vysya Bank",8363,91742,100105,391.93,95670,"(C) Major Private Banks","2015-02-25"
"Karur Vysya Bank",9175,93130,102305,416.84,97771,"(C) Major Private Banks","2015-03-04"
"Karur Vysya Bank",9611,94306,103917,455.98,99249,"(C) Major Private Banks","2015-03-11"
"Karur Vysya Bank",10076,95790,105866,446.92,100666,"(C) Major Private Banks","2015-03-18"
"Karur Vysya Bank",10284,96687,106971,487.31,103829,"(C) Major Private Banks","2015-03-25"
"Karur Vysya Bank",10428,98074,108502,519.17,104889,"(C) Major Private Banks","2015-04-01"
"Karur Vysya Bank",10520,98780,109300,571.73,105349,"(C) Major Private Banks","2015-04-08"
"Karur Vysya Bank",10637,99435,110072,573.79,105944,"(C) Major Private Banks","2015-04-15"
"Karur Vysya Bank",10935,100202,111137,541.31,107079,"(C) Major Private Banks","2015-04-22"
"Karur Vysya Bank",11159,100959,112118,572.48,107804,"(C) Major Private Banks","2015-04-29"
"Karur Vysya Bank",11300,101470,112770,774.86,107981,"(C) Major Private Banks","2015-05-06"
"Karur Vysya Bank",11601,102183,113784,570.24,109052,"(C) Major Private Banks","2015-05-13"
"Karur Vysya Bank",11939,102936,114875,602.74,110112,"(C) Major Private Banks","2015-05-20"
"Karur Vysya Bank",12675,104210,116885,565.1,111930,"(C) Major Private Banks","2015-06-03"
"Karur Vysya Bank",13074,104647,117721,634.41,112536,"(C) Major Private Banks","2015-06-10"
"Karur Vysya Bank",13698,105296,118994,664.78,113600,"(C) Major Private Banks","2015-06-17"
"Karur Vysya Bank",14036,105970,120006,714.58,114902,"(C) Major Private Banks","2015-06-24"
"Karur Vysya Bank",14311,106448,120759,695.86,115568,"(C) Major Private Banks","2015-07-01"
"Karur Vysya Bank",14509,106708,121217,703.44,115566,"(C) Major Private Banks","2015-07-08"
"Karur Vysya Bank",14736,107085,121821,658.72,115836,"(C) Major Private Banks","2015-07-15"
"Karur Vysya Bank",14979,107436,122415,669.2,116451,"(C) Major Private Banks","2015-07-22"
"Karur Vysya Bank",15146,107815,122961,683.06,117224,"(C) Major Private Banks","2015-07-29"
"Karur Vysya Bank",15202,108164,123366,658.71,117342,"(C) Major Private Banks","2015-08-05"
"Karur Vysya Bank",15353,108595,123948,686.23,117795,"(C) Major Private Banks","2015-08-12"
"Karur Vysya Bank",15475,108928,124403,708.45,117794,"(C) Major Private Banks","2015-08-19"
"Karur Vysya Bank",15682,109298,124980,752.41,118602,"(C) Major Private Banks","2015-08-26"
"Karur Vysya Bank",15817,109580,125397,759.27,118791,"(C) Major Private Banks","2015-09-02"
"Karur Vysya Bank",16100,109905,126005,768.22,118946,"(C) Major Private Banks","2015-09-09"
"Karur Vysya Bank",16260,110346,126606,788.06,119033,"(C) Major Private Banks","2015-09-16"
"Karur Vysya Bank",16420,110643,127063,811.24,119454,"(C) Major Private Banks","2015-09-23"
"Karur Vysya Bank",16709,111273,127982,791.7,119968,"(C) Major Private Banks","2015-10-07"
"Karur Vysya Bank",16845,111562,128407,784.35,120310,"(C) Major Private Banks","2015-10-14"
"Karur Vysya Bank",16955,111803,128758,920.27,120476,"(C) Major Private Banks","2015-10-21"
"Karur Vysya Bank",17017,112037,129054,903.95,120559,"(C) Major Private Banks","2015-10-28"
"Karur Vysya Bank",17120,112380,129500,945.48,120747,"(C) Major Private Banks","2015-11-04"
"Karur Vysya Bank",17156,112657,129813,933.94,120869,"(C) Major Private Banks","2015-11-11"
"Karur Vysya Bank",17227,112938,130165,954.24,120967,"(C) Major Private Banks","2015-11-18"
"Karur Vysya Bank",17398,113206,130604,911.09,120966,"(C) Major Private Banks","2015-11-25"
"Karur Vysya Bank",17468,113434,130902,933.47,121195,"(C) Major Private Banks","2015-12-02"
"Karur Vysya Bank",17575,113691,131266,951.83,121326,"(C) Major Private Banks","2015-12-09"
"Karur Vysya Bank",17680,114214,131894,1008.74,121462,"(C) Major Private Banks","2015-12-16"
"Karur Vysya Bank",17772,114735,132507,984.22,121875,"(C) Major Private Banks","2015-12-23"
"Karur Vysya Bank",17840,114824,132664,1077.67,121899,"(C) Major Private Banks","2015-12-30"
"Karur Vysya Bank",17936,115537,133473,1109.92,122445,"(C) Major Private Banks","2016-01-06"
