Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Kotak Mahindra Bank Ltd",14116,9338,23454,3.14,0,"(C) Major Private Banks","2014-09-24"
"Kotak Mahindra Bank Ltd",17153,12643,29796,8.21,0,"(C) Major Private Banks","2014-10-08"
"Kotak Mahindra Bank Ltd",19457,13677,33134,18.04,0,"(C) Major Private Banks","2014-10-15"
"Kotak Mahindra Bank Ltd",20766,14797,35563,35.72,34239,"(C) Major Private Banks","2014-10-29"
"Kotak Mahindra Bank Ltd",21239,15285,36524,43.74,35899,"(C) Major Private Banks","2014-11-05"
"Kotak Mahindra Bank Ltd",21653,15655,37308,68.73,36200,"(C) Major Private Banks","2014-11-12"
"Kotak Mahindra Bank Ltd",22186,16146,38332,88.78,37157,"(C) Major Private Banks","2014-11-19"
"Kotak Mahindra Bank Ltd",22915,17049,39964,101.15,38351,"(C) Major Private Banks","2014-11-26"
"Kotak Mahindra Bank Ltd",23395,17463,40858,116.19,39837,"(C) Major Private Banks","2014-12-03"
"Kotak Mahindra Bank Ltd",24009,17924,41933,117.1,40082,"(C) Major Private Banks","2014-12-10"
"Kotak Mahindra Bank Ltd",24587,18345,42932,180.77,40208,"(C) Major Private Banks","2014-12-17"
"Kotak Mahindra Bank Ltd",25814,21305,47119,201.82,46566,"(C) Major Private Banks","2014-12-24"
"Kotak Mahindra Bank Ltd",27009,22775,49784,202.37,48596,"(C) Major Private Banks","2014-12-31"
"Kotak Mahindra Bank Ltd",29072,24865,53937,211.94,53225,"(C) Major Private Banks","2015-01-07"
"Kotak Mahindra Bank Ltd",30705,26006,56711,284.55,56246,"(C) Major Private Banks","2015-01-14"
"Kotak Mahindra Bank Ltd",54877,45403,100280,310.08,89713,"(C) Major Private Banks","2015-01-28"
"Kotak Mahindra Bank Ltd",54877,45403,100280,330.3,90376,"(C) Major Private Banks","2015-02-04"
"Kotak Mahindra Bank Ltd",50011,50269,100280,375.86,90376,"(C) Major Private Banks","2015-02-11"
"Kotak Mahindra Bank Ltd",50011,50269,100280,401.29,90376,"(C) Major Private Banks","2015-02-18"
"Kotak Mahindra Bank Ltd",51458,54383,105841,471.45,99392,"(C) Major Private Banks","2015-02-25"
"Kotak Mahindra Bank Ltd",53117,58308,111425,535.37,103900,"(C) Major Private Banks","2015-03-04"
"Kotak Mahindra Bank Ltd",53470,58576,112046,561.85,104389,"(C) Major Private Banks","2015-03-11"
"Kotak Mahindra Bank Ltd",54079,58975,113054,591.47,105287,"(C) Major Private Banks","2015-03-18"
"Kotak Mahindra Bank Ltd",54172,59079,113251,605.24,105445,"(C) Major Private Banks","2015-03-25"
"Kotak Mahindra Bank Ltd",54353,59214,113567,634.35,105999,"(C) Major Private Banks","2015-04-01"
"Kotak Mahindra Bank Ltd",79818,84261,164079,870.33,106456,"(C) Major Private Banks","2015-04-08"
"Kotak Mahindra Bank Ltd",80435,84581,165016,928.14,107177,"(C) Major Private Banks","2015-04-15"
"Kotak Mahindra Bank Ltd",80897,86307,167204,902.77,109156,"(C) Major Private Banks","2015-04-22"
"Kotak Mahindra Bank Ltd",81252,86513,167765,936.56,109328,"(C) Major Private Banks","2015-04-29"
"Kotak Mahindra Bank Ltd",81711,86772,168483,934.46,109606,"(C) Major Private Banks","2015-05-06"
"Kotak Mahindra Bank Ltd",82256,87155,169411,928.47,110371,"(C) Major Private Banks","2015-05-13"
"Kotak Mahindra Bank Ltd",82234,87095,169329,944.83,110659,"(C) Major Private Banks","2015-05-20"
"Kotak Mahindra Bank Ltd",83069,87511,170580,987.69,110888,"(C) Major Private Banks","2015-06-03"
"Kotak Mahindra Bank Ltd",83154,87568,170722,1003.47,110936,"(C) Major Private Banks","2015-06-10"
"Kotak Mahindra Bank Ltd",83285,87770,171055,1017,111032,"(C) Major Private Banks","2015-06-17"
"Kotak Mahindra Bank Ltd",83639,87909,171548,1004.01,111177,"(C) Major Private Banks","2015-06-24"
"Kotak Mahindra Bank Ltd",84032,88021,172053,1014.94,111250,"(C) Major Private Banks","2015-07-01"
"Kotak Mahindra Bank Ltd",84215,88082,172297,2521.22,111412,"(C) Major Private Banks","2015-07-08"
"Kotak Mahindra Bank Ltd",84303,88132,172435,1083.61,111513,"(C) Major Private Banks","2015-07-15"
"Kotak Mahindra Bank Ltd",84376,88172,172548,1060.66,111601,"(C) Major Private Banks","2015-07-22"
"Kotak Mahindra Bank Ltd",85512,88859,174371,1060.74,111673,"(C) Major Private Banks","2015-07-29"
"Kotak Mahindra Bank Ltd",86124,89091,175215,1083.62,111743,"(C) Major Private Banks","2015-08-05"
"Kotak Mahindra Bank Ltd",86540,89327,175867,1122.12,111796,"(C) Major Private Banks","2015-08-12"
"Kotak Mahindra Bank Ltd",86778,89444,176222,1122.31,111849,"(C) Major Private Banks","2015-08-19"
"Kotak Mahindra Bank Ltd",87197,89579,176776,299.58,111887,"(C) Major Private Banks","2015-08-26"
"Kotak Mahindra Bank Ltd",87638,89763,177401,1108.02,112035,"(C) Major Private Banks","2015-09-02"
"Kotak Mahindra Bank Ltd",87922,89873,177795,1150.78,112079,"(C) Major Private Banks","2015-09-09"
"Kotak Mahindra Bank Ltd",88169,89976,178145,1158.59,112132,"(C) Major Private Banks","2015-09-16"
"Kotak Mahindra Bank Ltd",88390,90137,178527,1146.77,112165,"(C) Major Private Banks","2015-09-23"
"Kotak Mahindra Bank Ltd",88766,90287,179053,1177.52,112235,"(C) Major Private Banks","2015-10-07"
"Kotak Mahindra Bank Ltd",89004,90354,179358,1219.1,112282,"(C) Major Private Banks","2015-10-14"
"Kotak Mahindra Bank Ltd",89285,90507,179792,1234.79,112379,"(C) Major Private Banks","2015-10-21"
"Kotak Mahindra Bank Ltd",89428,90547,179975,1251.36,112391,"(C) Major Private Banks","2015-10-28"
"Kotak Mahindra Bank Ltd",89586,90614,180200,1302.12,112426,"(C) Major Private Banks","2015-11-04"
"Kotak Mahindra Bank Ltd",89861,90680,180541,1353.41,112467,"(C) Major Private Banks","2015-11-11"
