Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Lakshmi Vilas Bank Ltd",2851,13672,16523,33.45,0,"(C) Major Private Banks","2014-10-29"
"Lakshmi Vilas Bank Ltd",2912,14079,16991,37.3,0,"(C) Major Private Banks","2014-11-05"
"Lakshmi Vilas Bank Ltd",3138,14669,17807,35,0,"(C) Major Private Banks","2014-11-12"
"Lakshmi Vilas Bank Ltd",3588,16470,20058,38.97,0,"(C) Major Private Banks","2014-11-19"
"Lakshmi Vilas Bank Ltd",3912,17352,21264,0,0,"(C) Major Private Banks","2014-11-26"
"Lakshmi Vilas Bank Ltd",4260,18299,22559,51.66,0,"(C) Major Private Banks","2014-12-03"
"Lakshmi Vilas Bank Ltd",4358,18674,23032,59.43,0,"(C) Major Private Banks","2014-12-10"
"Lakshmi Vilas Bank Ltd",4560,19784,24344,65.3,0,"(C) Major Private Banks","2014-12-17"
"Lakshmi Vilas Bank Ltd",4888,21426,26314,73.13,10573,"(C) Major Private Banks","2014-12-24"
"Lakshmi Vilas Bank Ltd",9242,31926,41168,84.36,10573,"(C) Major Private Banks","2014-12-31"
"Lakshmi Vilas Bank Ltd",15174,45781,60955,84.35,10573,"(C) Major Private Banks","2015-01-07"
"Lakshmi Vilas Bank Ltd",15174,45781,60955,110.71,10573,"(C) Major Private Banks","2015-01-14"
"Lakshmi Vilas Bank Ltd",15174,45781,60955,134.5,20320,"(C) Major Private Banks","2015-01-28"
"Lakshmi Vilas Bank Ltd",9335,53903,63238,144.4,20320,"(C) Major Private Banks","2015-02-04"
"Lakshmi Vilas Bank Ltd",9706,55065,64771,159.71,20320,"(C) Major Private Banks","2015-02-11"
"Lakshmi Vilas Bank Ltd",10017,55791,65808,170,20320,"(C) Major Private Banks","2015-02-18"
"Lakshmi Vilas Bank Ltd",10150,56258,66408,185.24,20320,"(C) Major Private Banks","2015-02-25"
"Lakshmi Vilas Bank Ltd",10532,56514,67046,199.07,30931,"(C) Major Private Banks","2015-03-04"
"Lakshmi Vilas Bank Ltd",10747,56925,67672,210.1,48495,"(C) Major Private Banks","2015-03-11"
"Lakshmi Vilas Bank Ltd",11135,57262,68397,228.92,48495,"(C) Major Private Banks","2015-03-18"
"Lakshmi Vilas Bank Ltd",11971,57548,69519,232.96,48495,"(C) Major Private Banks","2015-03-25"
"Lakshmi Vilas Bank Ltd",12719,58030,70749,248.95,48495,"(C) Major Private Banks","2015-04-01"
"Lakshmi Vilas Bank Ltd",13545,58541,72086,258.48,48495,"(C) Major Private Banks","2015-04-08"
"Lakshmi Vilas Bank Ltd",13609,59072,72681,254.9,48495,"(C) Major Private Banks","2015-04-15"
"Lakshmi Vilas Bank Ltd",13826,59399,73225,253.68,48495,"(C) Major Private Banks","2015-04-22"
"Lakshmi Vilas Bank Ltd",14153,59714,73867,258.05,48495,"(C) Major Private Banks","2015-04-29"
"Lakshmi Vilas Bank Ltd",14372,59910,74282,276.41,48495,"(C) Major Private Banks","2015-05-06"
"Lakshmi Vilas Bank Ltd",14731,60264,74995,286,48495,"(C) Major Private Banks","2015-05-13"
"Lakshmi Vilas Bank Ltd",14905,60493,75398,287.79,48495,"(C) Major Private Banks","2015-05-20"
"Lakshmi Vilas Bank Ltd",53761,127201,180962,936.89,48495,"(C) Major Private Banks","2015-06-03"
"Lakshmi Vilas Bank Ltd",53778,127746,181524,922.49,48495,"(C) Major Private Banks","2015-06-10"
"Lakshmi Vilas Bank Ltd",53935,127932,181867,951.87,48495,"(C) Major Private Banks","2015-06-17"
"Lakshmi Vilas Bank Ltd",54038,128189,182227,994.14,48495,"(C) Major Private Banks","2015-06-24"
"Lakshmi Vilas Bank Ltd",54137,128378,182515,966.74,48495,"(C) Major Private Banks","2015-07-01"
"Lakshmi Vilas Bank Ltd",54212,128586,182798,945.3,48495,"(C) Major Private Banks","2015-07-08"
"Lakshmi Vilas Bank Ltd",54333,128680,183013,962.32,48495,"(C) Major Private Banks","2015-07-15"
"Lakshmi Vilas Bank Ltd",54540,128816,183356,948.22,48495,"(C) Major Private Banks","2015-07-22"
"Lakshmi Vilas Bank Ltd",54849,129140,183989,933.04,48495,"(C) Major Private Banks","2015-07-29"
"Lakshmi Vilas Bank Ltd",54899,129204,184103,945.14,48495,"(C) Major Private Banks","2015-08-05"
"Lakshmi Vilas Bank Ltd",54967,129384,184351,967.34,48495,"(C) Major Private Banks","2015-08-12"
"Lakshmi Vilas Bank Ltd",55130,129553,184683,976.89,48495,"(C) Major Private Banks","2015-08-19"
"Lakshmi Vilas Bank Ltd",55230,129650,184880,1.85,48495,"(C) Major Private Banks","2015-08-26"
"Lakshmi Vilas Bank Ltd",49629,88527,138156,959.85,48495,"(C) Major Private Banks","2015-09-02"
"Lakshmi Vilas Bank Ltd",51952,89204,141156,972.83,48495,"(C) Major Private Banks","2015-09-09"
"Lakshmi Vilas Bank Ltd",52690,91164,143854,973.79,48495,"(C) Major Private Banks","2015-09-16"
"Lakshmi Vilas Bank Ltd",53475,91174,144649,991.03,48495,"(C) Major Private Banks","2015-09-23"
"Lakshmi Vilas Bank Ltd",53677,96518,150195,1009.81,48495,"(C) Major Private Banks","2015-10-07"
"Lakshmi Vilas Bank Ltd",55240,97185,152425,1036.37,48495,"(C) Major Private Banks","2015-10-14"
"Lakshmi Vilas Bank Ltd",55990,97778,153768,1042.41,48495,"(C) Major Private Banks","2015-10-21"
"Lakshmi Vilas Bank Ltd",56044,97991,154035,1050.86,48495,"(C) Major Private Banks","2015-10-28"
"Lakshmi Vilas Bank Ltd",56135,98117,154252,1018.76,48495,"(C) Major Private Banks","2015-11-04"
"Lakshmi Vilas Bank Ltd",56205,98274,154479,1048.96,48495,"(C) Major Private Banks","2015-11-11"
"Lakshmi Vilas Bank Ltd",56245,98363,154608,1083.96,48495,"(C) Major Private Banks","2015-11-18"
"Lakshmi Vilas Bank Ltd",56628,98540,155168,1051.86,48495,"(C) Major Private Banks","2015-11-25"
"Lakshmi Vilas Bank Ltd",56628,98540,155168,1051.86,48495,"(C) Major Private Banks","2015-12-02"
"Lakshmi Vilas Bank Ltd",56872,98944,155816,1043.07,48495,"(C) Major Private Banks","2015-12-09"
"Lakshmi Vilas Bank Ltd",56906,99094,156000,1036.93,48495,"(C) Major Private Banks","2015-12-16"
"Lakshmi Vilas Bank Ltd",57172,99251,156423,1053.8,146956,"(C) Major Private Banks","2015-12-23"
"Lakshmi Vilas Bank Ltd",57226,99485,156711,1057.22,146956,"(C) Major Private Banks","2015-12-30"
"Lakshmi Vilas Bank Ltd",57320,99583,156903,1049.8,146956,"(C) Major Private Banks","2016-01-06"
"Lakshmi Vilas Bank Ltd",57386,99950,157336,1060.92,146956,"(C) Major Private Banks","2016-01-13"
"Lakshmi Vilas Bank Ltd",57425,100080,157505,1095.68,146956,"(C) Major Private Banks","2016-01-20"
"Lakshmi Vilas Bank Ltd",57449,100303,157752,1129.4,146956,"(C) Major Private Banks","2016-01-27"
"Lakshmi Vilas Bank Ltd",57633,101088,158721,1074.1,146956,"(C) Major Private Banks","2016-02-10"
"Lakshmi Vilas Bank Ltd",57732,101358,159090,1087.53,146956,"(C) Major Private Banks","2016-02-17"
"Lakshmi Vilas Bank Ltd",57797,101493,159290,1130.98,146956,"(C) Major Private Banks","2016-02-24"
"Lakshmi Vilas Bank Ltd",57797,101493,159290,1130.98,146956,"(C) Major Private Banks","2016-03-02"
"Lakshmi Vilas Bank Ltd",57965,101822,159787,1139.06,156341,"(C) Major Private Banks","2016-03-09"
"Lakshmi Vilas Bank Ltd",58030,101939,159969,1168.94,156341,"(C) Major Private Banks","2016-03-16"
"Lakshmi Vilas Bank Ltd",58082,102122,160204,1199.72,156812,"(C) Major Private Banks","2016-03-23"
"Lakshmi Vilas Bank Ltd",58128,102265,160393,1224.91,156812,"(C) Major Private Banks","2016-03-30"
"Lakshmi Vilas Bank Ltd",58167,102369,160536,1199.14,156812,"(C) Major Private Banks","2016-04-06"
"Lakshmi Vilas Bank Ltd",58201,102444,160645,1162.26,157501,"(C) Major Private Banks","2016-04-13"
"Lakshmi Vilas Bank Ltd",58279,102619,160898,1164.4,157501,"(C) Major Private Banks","2016-04-20"
"Lakshmi Vilas Bank Ltd",58279,102619,160898,1164.4,157501,"(C) Major Private Banks","2016-04-27"
"Lakshmi Vilas Bank Ltd",58427,102778,161205,1237.35,157966,"(C) Major Private Banks","2016-05-04"
"Lakshmi Vilas Bank Ltd",58496,102879,161375,1279.39,157966,"(C) Major Private Banks","2016-05-11"
"Lakshmi Vilas Bank Ltd",58524,102918,161442,1307.62,157966,"(C) Major Private Banks","2016-05-18"
"Lakshmi Vilas Bank Ltd",58545,103057,161602,1271.45,157966,"(C) Major Private Banks","2016-05-25"
"Lakshmi Vilas Bank Ltd",58624,103146,161770,1225.15,157966,"(C) Major Private Banks","2016-06-01"
"Lakshmi Vilas Bank Ltd",15174,45781,60955,110.71,10573,"(C) Major Private Banks","2015-01-21"
"Lakshmi Vilas Bank Ltd",15389,60826,76215,294.13,48495,"(C) Major Private Banks","2015-05-27"
"Lakshmi Vilas Bank Ltd",53475,91174,144649,991.03,48495,"(C) Major Private Banks","2015-09-30"
"Lakshmi Vilas Bank Ltd",57449,100303,157752,1129.4,146956,"(C) Major Private Banks","2016-02-03"
"Lakshmi Vilas Bank Ltd",58879,103347,162226,1232.02,158641,"(C) Major Private Banks","2016-06-08"
"Lakshmi Vilas Bank Ltd",61241,107052,168293,1300.53,165512,"(C) Major Private Banks","2016-10-12"
"Lakshmi Vilas Bank Ltd",61977,110665,172642,2018.63,170125,"(C) Major Private Banks","2017-02-15"
"Lakshmi Vilas Bank Ltd",49160,127585,176745,1596.82,175260,"(C) Major Private Banks","2017-06-21"
"Lakshmi Vilas Bank Ltd",49786,130408,180194,1546.02,178934,"(C) Major Private Banks","2017-10-25"
"Lakshmi Vilas Bank Ltd",38596,97182,135778,1575.53,125451,"(C) Major Private Banks","2018-02-28"
"Lakshmi Vilas Bank Ltd",38742,99792,138534,1706.03,124377,"(C) Major Private Banks","2018-07-11"
"Lakshmi Vilas Bank Ltd",58879,103347,162226,1232.02,158641,"(C) Major Private Banks","2016-06-15"
