Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Oriental Bank of Commerce",611187,468934,1080121,1619.58,116799,"(A) Public Sector Banks","2014-09-24"
"Oriental Bank of Commerce",687386,515288,1202674,1603.92,431155,"(A) Public Sector Banks","2014-10-08"
"Oriental Bank of Commerce",731758,541935,1273693,2577.28,509214,"(A) Public Sector Banks","2014-10-15"
"Oriental Bank of Commerce",790671,580467,1371138,32730.56,624934,"(A) Public Sector Banks","2014-10-29"
"Oriental Bank of Commerce",822529,599402,1421931,38976.36,703817,"(A) Public Sector Banks","2014-11-05"
"Oriental Bank of Commerce",845311,612873,1458184,43121.8,733689,"(A) Public Sector Banks","2014-11-12"
"Oriental Bank of Commerce",885949,635625,1521574,47129.21,1015588,"(A) Public Sector Banks","2014-11-19"
"Oriental Bank of Commerce",925780,659342,1585122,51015.52,1040005,"(A) Public Sector Banks","2014-11-26"
"Oriental Bank of Commerce",957466,678835,1636301,54847.13,1156024,"(A) Public Sector Banks","2014-12-03"
"Oriental Bank of Commerce",998377,701680,1700057,59587.45,1212333,"(A) Public Sector Banks","2014-12-10"
"Oriental Bank of Commerce",1065068,730934,1796002,62921.12,1352803,"(A) Public Sector Banks","2014-12-17"
"Oriental Bank of Commerce",1038312,727764,1766076,67570.39,1542000,"(A) Public Sector Banks","2014-12-24"
"Oriental Bank of Commerce",1079784,749457,1829241,81600.19,1605966,"(A) Public Sector Banks","2014-12-31"
"Oriental Bank of Commerce",1113644,771709,1885353,78070.63,1752304,"(A) Public Sector Banks","2015-01-07"
"Oriental Bank of Commerce",1135451,808391,1943842,82656.41,1879484,"(A) Public Sector Banks","2015-01-14"
"Oriental Bank of Commerce",1206449,857144,2063593,87211.44,1995002,"(A) Public Sector Banks","2015-01-28"
"Oriental Bank of Commerce",1236075,875854,2111929,91776.02,2024151,"(A) Public Sector Banks","2015-02-04"
"Oriental Bank of Commerce",1265308,892742,2158050,96369,2076090,"(A) Public Sector Banks","2015-02-11"
"Oriental Bank of Commerce",1284752,908295,2193047,100650.41,2146354,"(A) Public Sector Banks","2015-02-18"
"Oriental Bank of Commerce",1306214,922183,2228397,103312.3,2190198,"(A) Public Sector Banks","2015-02-25"
"Oriental Bank of Commerce",1328675,934987,2263662,105911.86,2216375,"(A) Public Sector Banks","2015-03-04"
"Oriental Bank of Commerce",1345032,945425,2290457,109392.64,2258003,"(A) Public Sector Banks","2015-03-11"
"Oriental Bank of Commerce",1369878,961307,2331185,117373.27,2290244,"(A) Public Sector Banks","2015-03-18"
"Oriental Bank of Commerce",1394522,975110,2369632,122245.57,2319935,"(A) Public Sector Banks","2015-03-25"
"Oriental Bank of Commerce",1411183,985467,2396650,136388.39,2342186,"(A) Public Sector Banks","2015-04-01"
"Oriental Bank of Commerce",1423552,991728,2415280,135048,2390290,"(A) Public Sector Banks","2015-04-08"
"Oriental Bank of Commerce",1418741,987788,2406529,126967.98,2361969,"(A) Public Sector Banks","2015-04-15"
"Oriental Bank of Commerce",1433854,996144,2429998,128356.6,2381471,"(A) Public Sector Banks","2015-04-22"
"Oriental Bank of Commerce",1448545,1005890,2454435,129240.06,2407148,"(A) Public Sector Banks","2015-04-29"
"Oriental Bank of Commerce",1461708,1014147,2475855,133304.39,2434418,"(A) Public Sector Banks","2015-05-06"
"Oriental Bank of Commerce",1481839,1026494,2508333,137175.99,2475972,"(A) Public Sector Banks","2015-05-13"
"Oriental Bank of Commerce",1501846,1037822,2539668,140134.84,2487764,"(A) Public Sector Banks","2015-05-20"
"Oriental Bank of Commerce",1538759,1063498,2602257,149625.04,2570810,"(A) Public Sector Banks","2015-06-03"
"Oriental Bank of Commerce",1555895,1074274,2630169,151542.64,2601550,"(A) Public Sector Banks","2015-06-10"
"Oriental Bank of Commerce",1578319,1083896,2662215,157253.15,2631956,"(A) Public Sector Banks","2015-06-17"
"Oriental Bank of Commerce",1595739,1094614,2690353,160283.51,2656041,"(A) Public Sector Banks","2015-06-24"
"Oriental Bank of Commerce",1607623,1103107,2710730,174511.4,2682724,"(A) Public Sector Banks","2015-07-01"
"Oriental Bank of Commerce",1628397,1116882,2745279,171818.73,2712321,"(A) Public Sector Banks","2015-07-08"
"Oriental Bank of Commerce",1644306,1126883,2771189,173856.95,2738559,"(A) Public Sector Banks","2015-07-15"
"Oriental Bank of Commerce",1660615,1136458,2797073,175478.16,2769254,"(A) Public Sector Banks","2015-07-22"
"Oriental Bank of Commerce",1679570,1149633,2829203,176780.05,2801699,"(A) Public Sector Banks","2015-07-29"
"Oriental Bank of Commerce",1699341,1161440,2860781,180677.79,2832541,"(A) Public Sector Banks","2015-08-05"
"Oriental Bank of Commerce",1719145,1174054,2893199,185023.95,2860442,"(A) Public Sector Banks","2015-08-12"
"Oriental Bank of Commerce",1735362,1183012,2918374,185658.89,2882258,"(A) Public Sector Banks","2015-08-19"
"Oriental Bank of Commerce",1753776,1197090,2950866,188932.78,2921552,"(A) Public Sector Banks","2015-08-26"
"Oriental Bank of Commerce",1767567,1207416,2974983,191602.82,2949681,"(A) Public Sector Banks","2015-09-02"
"Oriental Bank of Commerce",1787050,1220189,3007239,196937.24,2985533,"(A) Public Sector Banks","2015-09-09"
"Oriental Bank of Commerce",1804587,1232903,3037490,199892.24,3010928,"(A) Public Sector Banks","2015-09-16"
"Oriental Bank of Commerce",1824663,1244936,3069599,201197.21,3044079,"(A) Public Sector Banks","2015-09-23"
"Oriental Bank of Commerce",1852354,1262769,3115123,210470.18,3092474,"(A) Public Sector Banks","2015-10-07"
"Oriental Bank of Commerce",1869415,1273229,3142644,212508.6,3115939,"(A) Public Sector Banks","2015-10-14"
"Oriental Bank of Commerce",1885414,1283565,3168979,212849.3,3136221,"(A) Public Sector Banks","2015-10-21"
"Oriental Bank of Commerce",1894801,1289739,3184540,212743.58,3148872,"(A) Public Sector Banks","2015-10-28"
"Oriental Bank of Commerce",1911793,1300474,3212267,219657.13,3171183,"(A) Public Sector Banks","2015-11-04"
"Oriental Bank of Commerce",1923600,1307740,3231340,224943.38,3186354,"(A) Public Sector Banks","2015-11-11"
"Oriental Bank of Commerce",1933895,1313970,3247865,225183.76,3200929,"(A) Public Sector Banks","2015-11-18"
"Oriental Bank of Commerce",1947650,1322022,3269672,225393.91,3219352,"(A) Public Sector Banks","2015-11-25"
"Oriental Bank of Commerce",1961812,1330985,3292797,229670.96,3238876,"(A) Public Sector Banks","2015-12-02"
"Oriental Bank of Commerce",1978041,1341172,3319213,236655.41,3260503,"(A) Public Sector Banks","2015-12-09"
"Oriental Bank of Commerce",1992948,1351787,3344735,238956.02,3283100,"(A) Public Sector Banks","2015-12-16"
"Oriental Bank of Commerce",2008672,1362804,3371476,243610.26,3307586,"(A) Public Sector Banks","2015-12-23"
"Oriental Bank of Commerce",2024308,1372493,3396801,250578.15,3331599,"(A) Public Sector Banks","2015-12-30"
"Oriental Bank of Commerce",2042901,1383499,3426400,260491.36,3358536,"(A) Public Sector Banks","2016-01-06"
"Oriental Bank of Commerce",2057202,1392789,3449991,265296.07,3380359,"(A) Public Sector Banks","2016-01-13"
"Oriental Bank of Commerce",2066006,1399005,3465011,265267.16,3392755,"(A) Public Sector Banks","2016-01-20"
"Oriental Bank of Commerce",2086369,1408959,3495328,269026.12,3418168,"(A) Public Sector Banks","2016-01-27"
"Oriental Bank of Commerce",2111824,1447144,3558968,280440.09,3476185,"(A) Public Sector Banks","2016-02-10"
"Oriental Bank of Commerce",2126659,1456455,3583114,282624.8,3495970,"(A) Public Sector Banks","2016-02-17"
"Oriental Bank of Commerce",2144958,1469512,3614470,285218.51,3528314,"(A) Public Sector Banks","2016-02-24"
"Oriental Bank of Commerce",2147894,1471381,3619275,285610.94,3531241,"(A) Public Sector Banks","2016-03-02"
"Oriental Bank of Commerce",2159390,1478664,3638054,289753.36,3547469,"(A) Public Sector Banks","2016-03-09"
"Oriental Bank of Commerce",2174692,1487816,3662508,296536.94,3567731,"(A) Public Sector Banks","2016-03-16"
"Oriental Bank of Commerce",2177619,1489626,3667245,297865.1,3575503,"(A) Public Sector Banks","2016-03-23"
"Oriental Bank of Commerce",2180363,1491399,3671762,299219.03,3579232,"(A) Public Sector Banks","2016-03-30"
"Oriental Bank of Commerce",2180026,1491435,3671461,304017.04,3568202,"(A) Public Sector Banks","2016-04-06"
"Oriental Bank of Commerce",2183228,1492479,3675707,306856.34,3569003,"(A) Public Sector Banks","2016-04-13"
"Oriental Bank of Commerce",2184857,1493405,3678262,303862.42,3569979,"(A) Public Sector Banks","2016-04-20"
"Oriental Bank of Commerce",2187959,1494681,3682640,302302.28,3570879,"(A) Public Sector Banks","2016-04-27"
"Oriental Bank of Commerce",2191940,1496343,3688283,305484.85,3571169,"(A) Public Sector Banks","2016-05-04"
"Oriental Bank of Commerce",2196614,1497818,3694432,308585.21,3571756,"(A) Public Sector Banks","2016-05-11"
"Oriental Bank of Commerce",2200369,1499639,3700008,308139.84,3571666,"(A) Public Sector Banks","2016-05-18"
"Oriental Bank of Commerce",2204776,1501335,3706111,307502.8,3572822,"(A) Public Sector Banks","2016-05-25"
"Oriental Bank of Commerce",2212412,1500051,3712463,308383.98,3573969,"(A) Public Sector Banks","2016-06-01"
"Oriental Bank of Commerce",1167638,829296,1996934,85308.84,1935427,"(A) Public Sector Banks","2015-01-21"
"Oriental Bank of Commerce",1519674,1049820,2569494,143241,2541644,"(A) Public Sector Banks","2015-05-27"
"Oriental Bank of Commerce",1837086,1253912,3090998,222690.75,3068282,"(A) Public Sector Banks","2015-09-30"
"Oriental Bank of Commerce",2091830,1436556,3528386,273676.01,3448601,"(A) Public Sector Banks","2016-02-03"
"Oriental Bank of Commerce",2216950,1501775,3718725,312377.69,3575723,"(A) Public Sector Banks","2016-06-08"
"Oriental Bank of Commerce",2292356,1532112,3824468,321734.59,3632754,"(A) Public Sector Banks","2016-10-12"
"Oriental Bank of Commerce",2204136,1724730,3928866,438658.69,3677081,"(A) Public Sector Banks","2017-02-15"
"Oriental Bank of Commerce",2276735,1757866,4034601,409905.11,3709552,"(A) Public Sector Banks","2017-06-21"
"Oriental Bank of Commerce",2352022,1800119,4152141,408147.64,3756417,"(A) Public Sector Banks","2017-10-25"
"Oriental Bank of Commerce",2395977,1829841,4225818,425511.04,3782650,"(A) Public Sector Banks","2018-02-28"
"Oriental Bank of Commerce",2458406,1866674,4325080,445327.06,3820472,"(A) Public Sector Banks","2018-07-11"
"Oriental Bank of Commerce",2220216,1504099,3724315,312043.18,3577267,"(A) Public Sector Banks","2016-06-15"
"Oriental Bank of Commerce",2224924,1505848,3730772,310389.73,3618462,"(A) Public Sector Banks","2016-06-22"
"Oriental Bank of Commerce",2228239,1507321,3735560,308172.65,3618274,"(A) Public Sector Banks","2016-06-29"
