Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Private Sector Banks",359258,471164,830422,1090.87,55489,"Summary","2014-09-24"
"Private Sector Banks",469494,292553,762047,825.93,80854,"Summary","2014-10-08"
"Private Sector Banks",587399,717318,1304717,841.28,203361,"Summary","2014-10-15"
"Private Sector Banks",609575,764498,1374073,946.01,334108,"Summary","2014-10-22"
"Private Sector Banks",670273,875442,1545715,22308.47,431858,"Summary","2014-10-29"
"Private Sector Banks",950416,982096,1932512,26051.01,591085,"Summary","2014-11-05"
"Private Sector Banks",990514,1014063,2004577,33742.34,773133,"Summary","2014-11-12"
"Private Sector Banks",1039225,1060920,2100145,34318.32,942009,"Summary","2014-11-19"
"Private Sector Banks",1067353,1097612,2164965,32893.84,1208127,"Summary","2014-11-26"
"Private Sector Banks",861253,1073543,1934796,33732.02,1320187,"Summary","2014-12-03"
"Private Sector Banks",1236445,1150103,2386548,40274.25,1593677,"Summary","2014-12-10"
"Private Sector Banks",1319873,1203842,2523715,44023.31,1700195,"Summary","2014-12-17"
"Private Sector Banks",1400812,1282797,2683609,46270.4,1939841,"Summary","2014-12-24"
"Private Sector Banks",1511376,1370159,2881535,49903.87,2195593,"Summary","2014-12-31"
"Private Sector Banks",1597146,1449414,3046560,50035.06,2289569,"Summary","2015-01-07"
"Private Sector Banks",1965583,1674411,3639994,50896.25,2736153,"Summary","2015-01-14"
"Private Sector Banks",3188813,1975091,5163904,64921.2,4517807,"Summary","2015-01-28"
"Private Sector Banks",3253732,2036082,5289814,72109.39,4606243,"Summary","2015-02-04"
"Private Sector Banks",3292627,2066904,5359531,71658.58,4642353,"Summary","2015-02-11"
"Private Sector Banks",3345510,2165576,5511086,73382.06,4973272,"Summary","2015-02-18"
"Private Sector Banks",3395596,2262743,5658339,77674.99,5090881,"Summary","2015-02-25"
"Private Sector Banks",3436151,2299161,5735312,79872.81,5144748,"Summary","2015-03-04"
"Private Sector Banks",3464646,2328145,5792791,79845.33,5209112,"Summary","2015-03-11"
"Private Sector Banks",3507339,2374335,5881674,82384.78,5367663,"Summary","2015-03-18"
"Private Sector Banks",3559942,2481925,6041867,86756.21,5517324,"Summary","2015-03-25"
"Private Sector Banks",3598756,2507924,6106680,90813.06,5549767,"Summary","2015-04-01"
"Private Sector Banks",3646643,2548010,6194653,88413.24,5576342,"Summary","2015-04-08"
"Private Sector Banks",3671170,2555402,6226572,87431.64,5614938,"Summary","2015-04-15"
"Private Sector Banks",3694168,2569419,6263587,87127.6,5634326,"Summary","2015-04-22"
"Private Sector Banks",3726330,2580595,6306925,89592.15,5676794,"Summary","2015-04-29"
"Private Sector Banks",3755639,2589711,6345350,91043.31,5692383,"Summary","2015-05-06"
"Private Sector Banks",3783817,2601365,6385182,91995.6,5760023,"Summary","2015-05-13"
"Private Sector Banks",3824093,2660177,6484270,94281.41,5850649,"Summary","2015-05-20"
"Private Sector Banks",3923253,2761053,6684306,101305.7,5916699,"Summary","2015-06-03"
"Private Sector Banks",3951407,2768003,6719410,103451.48,5935250,"Summary","2015-06-10"
"Private Sector Banks",3969398,2776230,6745628,106861.12,5950068,"Summary","2015-06-17"
"Private Sector Banks",3992425,2781422,6773847,105956,6022921,"Summary","2015-06-24"
"Private Sector Banks",4015649,2791799,6807448,107608.02,6065619,"Summary","2015-07-01"
"Private Sector Banks",4035067,2804887,6839954,111668.62,6089494,"Summary","2015-07-08"
"Private Sector Banks",4061646,2814343,6875989,109592.88,6101736,"Summary","2015-07-15"
"Private Sector Banks",4080180,2820621,6900801,108488.73,6113204,"Summary","2015-07-22"
"Private Sector Banks",4106596,2831110,6937706,107756.07,6127465,"Summary","2015-07-29"
"Private Sector Banks",4134078,2841257,6975335,107500.68,6170497,"Summary","2015-08-05"
"Private Sector Banks",4155707,2849630,7005337,108907.32,6186118,"Summary","2015-08-12"
"Private Sector Banks",4180445,2856455,7036900,108180.24,6195132,"Summary","2015-08-19"
