Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Public Sector Banks",17394862,14845177,32240039,93390.3,10402669,"Summary","2014-09-24"
"Public Sector Banks",4029772,2754484,6784256,10466.93,1703977,"Summary","2014-10-01"
"Public Sector Banks",14856505,13855257,28711762,11133.84,14468061,"Summary","2014-10-08"
"Public Sector Banks",22088030,20609465,42697495,34272.27,21924436,"Summary","2014-10-15"
"Public Sector Banks",19923405,19779051,39702456,29121.22,21852910,"Summary","2014-10-22"
"Public Sector Banks",28574563,24190468,52765031,314628.43,28918571,"Summary","2014-10-29"
"Public Sector Banks",30833241,26068406,56901647,419927.65,32997113,"Summary","2014-11-05"
"Public Sector Banks",32021638,27040384,59062022,464556.53,33859690,"Summary","2014-11-12"
"Public Sector Banks",33759705,28409062,62168767,494604.39,39856807,"Summary","2014-11-19"
"Public Sector Banks",35469451,29774121,65243572,509823.01,43615330,"Summary","2014-11-26"
"Public Sector Banks",36166563,30410575,66577138,503350.28,48648882,"Summary","2014-12-03"
"Public Sector Banks",38880468,32704542,71585010,546830.58,55065020,"Summary","2014-12-10"
"Public Sector Banks",41133558,34479947,75613505,571632.59,60924531,"Summary","2014-12-17"
"Public Sector Banks",41795238,35254465,77049703,551963.3,65888375,"Summary","2014-12-24"
"Public Sector Banks",45119636,37971427,83091063,657867.45,73130361,"Summary","2014-12-31"
"Public Sector Banks",46807919,39410062,86217981,672297.12,77009578,"Summary","2015-01-07"
"Public Sector Banks",48574913,41074856,89649769,698157.34,82565961,"Summary","2015-01-14"
"Public Sector Banks",52261449,44209250,96470699,800920.3,89348979,"Summary","2015-01-28"
"Public Sector Banks",54018407,45748043,99766450,834558.63,92423911,"Summary","2015-02-04"
"Public Sector Banks",55276734,46839053,102115787,890405.25,94653352,"Summary","2015-02-11"
"Public Sector Banks",56286827,47756902,104043729,932757.03,96571500,"Summary","2015-02-18"
"Public Sector Banks",57449586,48794968,106244554,975379.22,98738635,"Summary","2015-02-25"
"Public Sector Banks",58565702,49757277,108322979,1013613.13,101169045,"Summary","2015-03-04"
"Public Sector Banks",59404690,50475133,109879823,1049295.75,102604519,"Summary","2015-03-11"
"Public Sector Banks",60434513,51287682,111722195,1102461.73,104527405,"Summary","2015-03-18"
"Public Sector Banks",61755429,52249580,114005009,1145416.12,106696406,"Summary","2015-03-25"
"Public Sector Banks",62535017,52909928,115444945,1218505.25,108110088,"Summary","2015-04-01"
"Public Sector Banks",63100171,53281990,116382161,1221560.08,109092981,"Summary","2015-04-08"
"Public Sector Banks",63760576,53781810,117542386,1222114.67,109994884,"Summary","2015-04-15"
"Public Sector Banks",64458482,54211191,118669673,1235864.71,111130002,"Summary","2015-04-22"
"Public Sector Banks",65070940,54669626,119740566,1251399.22,112015782,"Summary","2015-04-29"
"Public Sector Banks",65642473,55142624,120785097,1277408.41,112934775,"Summary","2015-05-06"
"Public Sector Banks",66278683,55593423,121872106,1308742.05,113865275,"Summary","2015-05-13"
"Public Sector Banks",67045252,56191453,123236705,1329650.65,114943954,"Summary","2015-05-20"
"Public Sector Banks",68027481,56826062,124853543,1386756.71,116663249,"Summary","2015-06-03"
"Public Sector Banks",68672460,57261088,125933548,1407543.87,117530940,"Summary","2015-06-10"
"Public Sector Banks",69305844,57689633,126995477,1435745.58,118478771,"Summary","2015-06-17"
"Public Sector Banks",70021698,58180231,128201929,1464021.55,119512387,"Summary","2015-06-24"
"Public Sector Banks",70719134,58686168,129405302,1512869.32,120408987,"Summary","2015-07-01"
"Public Sector Banks",71532016,59156595,130688611,1542829.78,121199620,"Summary","2015-07-08"
"Public Sector Banks",72362783,59831414,132194197,1569868.37,122485548,"Summary","2015-07-15"
"Public Sector Banks",73092101,60295912,133388013,1584579.44,123249962,"Summary","2015-07-22"
"Public Sector Banks",74070299,61061886,135132185,1605548.21,124249144,"Summary","2015-07-29"
"Public Sector Banks",74813937,61561041,136374978,1727311.53,125420940,"Summary","2015-08-05"
"Public Sector Banks",75342325,61889061,137231386,1755684.36,126227320,"Summary","2015-08-12"
"Public Sector Banks",76124391,62502892,138627283,1775839.1,126990641,"Summary","2015-08-19"
"Public Sector Banks",76917989,63023640,139941629,1793166.31,127652028,"Summary","2015-08-26"
"Public Sector Banks",77565426,63462843,141028269,1820709.51,128257533,"Summary","2015-09-02"
"Public Sector Banks",78230402,63927143,142157545,1862671.27,128809406,"Summary","2015-09-09"
"Public Sector Banks",78937810,64552471,143490281,1890836.31,129425767,"Summary","2015-09-16"
"Public Sector Banks",79556419,64921381,144477800,1912912.35,129986131,"Summary","2015-09-23"
"Public Sector Banks",80724567,65596662,146321229,1969502.65,131283965,"Summary","2015-10-07"
"Public Sector Banks",81536976,66150912,147687888,2019515.23,132147412,"Summary","2015-10-14"
"Public Sector Banks",81901564,66464031,148365595,2035434.24,132574894,"Summary","2015-10-21"
"Public Sector Banks",82213071,66665004,148878075,2034784.6,132912634,"Summary","2015-10-28"
"Public Sector Banks",82677119,67047223,149724342,2069674.93,133384192,"Summary","2015-11-04"
"Public Sector Banks",83011648,67346156,150357804,2107829.37,133968057,"Summary","2015-11-11"
