Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Punjab & Sind Bank",381827,240786,622613,1062.31,338403,"(A) Public Sector Banks","2014-09-24"
"Punjab & Sind Bank",447598,272882,720480,973.76,533851,"(A) Public Sector Banks","2014-10-15"
"Punjab & Sind Bank",473583,284620,758203,1004.69,572910,"(A) Public Sector Banks","2014-10-22"
"Punjab & Sind Bank",512775,298447,811222,17115.08,602759,"(A) Public Sector Banks","2014-10-29"
"Punjab & Sind Bank",8429,1453,9882,0,0,"(B) Regional Rural Bank","2014-10-29"
"Punjab & Sind Bank",530804,306778,837582,19132.44,633487,"(A) Public Sector Banks","2014-11-05"
"Punjab & Sind Bank",8566,1522,10088,0,0,"(B) Regional Rural Bank","2014-11-05"
"Punjab & Sind Bank",547806,314544,862350,21009.75,642872,"(A) Public Sector Banks","2014-11-12"
"Punjab & Sind Bank",8620,1555,10175,0,0,"(B) Regional Rural Bank","2014-11-12"
"Punjab & Sind Bank",568969,323758,892727,23243.45,686032,"(A) Public Sector Banks","2014-11-19"
"Punjab & Sind Bank",8713,1608,10321,0,684,"(B) Regional Rural Bank","2014-11-19"
"Punjab & Sind Bank",594055,334062,928117,25407.14,743667,"(A) Public Sector Banks","2014-11-26"
"Punjab & Sind Bank",8756,1639,10395,0,1029,"(B) Regional Rural Bank","2014-11-26"
"Punjab & Sind Bank",616424,343435,959859,25846.58,788469,"(A) Public Sector Banks","2014-12-03"
"Punjab & Sind Bank",9204,1898,11102,0,4290,"(B) Regional Rural Bank","2014-12-03"
"Punjab & Sind Bank",638936,355295,994231,28584.06,864518,"(A) Public Sector Banks","2014-12-10"
"Punjab & Sind Bank",9262,1929,11191,22.89,4360,"(B) Regional Rural Bank","2014-12-10"
"Punjab & Sind Bank",663614,369029,1032643,30547.63,915241,"(A) Public Sector Banks","2014-12-17"
"Punjab & Sind Bank",9274,1937,11211,28.03,11199,"(B) Regional Rural Bank","2014-12-17"
"Punjab & Sind Bank",681356,378046,1059402,32363.44,953025,"(A) Public Sector Banks","2014-12-24"
"Punjab & Sind Bank",9277,1939,11216,39.72,11199,"(B) Regional Rural Bank","2014-12-24"
"Punjab & Sind Bank",699445,388583,1088028,35472.89,971808,"(A) Public Sector Banks","2014-12-31"
"Punjab & Sind Bank",9285,1945,11230,42.28,11199,"(B) Regional Rural Bank","2014-12-31"
"Punjab & Sind Bank",718181,398316,1116497,36302.06,1016998,"(A) Public Sector Banks","2015-01-07"
"Punjab & Sind Bank",9288,1946,11234,49.61,11199,"(B) Regional Rural Bank","2015-01-07"
"Punjab & Sind Bank",739535,403787,1143322,38486.67,1050380,"(A) Public Sector Banks","2015-01-14"
"Punjab & Sind Bank",9340,1980,11320,55.92,11210,"(B) Regional Rural Bank","2015-01-14"
"Punjab & Sind Bank",767661,414732,1182393,39598.32,1098739,"(A) Public Sector Banks","2015-01-28"
