Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Punjab National Bank",2225853,690332,2916185,71885.09,465269,"(A) Public Sector Banks","2014-09-24"
"Punjab National Bank",2721344,728270,3449614,77524.31,1353333,"(A) Public Sector Banks","2014-10-29"
"Punjab National Bank",978367,200476,1178843,9284.25,122885,"(B) Regional Rural Bank","2014-10-29"
"Punjab National Bank",2883062,736281,3619343,77531.45,1652331,"(A) Public Sector Banks","2014-11-05"
"Punjab National Bank",1008189,208580,1216769,10013.64,125768,"(B) Regional Rural Bank","2014-11-05"
"Punjab National Bank",3000399,762906,3763305,77545.74,1723239,"(A) Public Sector Banks","2014-11-12"
"Punjab National Bank",1048267,214846,1263113,11328.85,129288,"(B) Regional Rural Bank","2014-11-12"
"Punjab National Bank",3173982,799193,3973175,77547.95,1787569,"(A) Public Sector Banks","2014-11-19"
"Punjab National Bank",1093877,226847,1320724,16482.12,134471,"(B) Regional Rural Bank","2014-11-19"
"Punjab National Bank",3366043,845602,4211645,77559.84,1870465,"(A) Public Sector Banks","2014-11-26"
"Punjab National Bank",1143099,236450,1379549,19645.95,138630,"(B) Regional Rural Bank","2014-11-26"
"Punjab National Bank",3551467,886202,4437669,77572.34,1926184,"(A) Public Sector Banks","2014-12-03"
"Punjab National Bank",1190388,243055,1433443,21744.46,142209,"(B) Regional Rural Bank","2014-12-03"
"Punjab National Bank",3830994,938787,4769781,77592.38,1978794,"(A) Public Sector Banks","2014-12-10"
"Punjab National Bank",1239041,251198,1490239,23993.43,146595,"(B) Regional Rural Bank","2014-12-10"
"Punjab National Bank",4230753,1018393,5249146,77616.64,3087337,"(A) Public Sector Banks","2014-12-17"
"Punjab National Bank",1333368,264836,1598204,24456.47,151495,"(B) Regional Rural Bank","2014-12-17"
"Punjab National Bank",4516401,1078822,5595223,77634.01,3388995,"(A) Public Sector Banks","2014-12-24"
"Punjab National Bank",1388903,274786,1663689,25693.12,561224,"(B) Regional Rural Bank","2014-12-24"
"Punjab National Bank",4755648,1131161,5886809,77647.88,4017809,"(A) Public Sector Banks","2014-12-31"
"Punjab National Bank",1429109,281512,1710621,24981.62,561224,"(B) Regional Rural Bank","2014-12-31"
"Punjab National Bank",4986166,1187922,6174088,77659.16,4752608,"(A) Public Sector Banks","2015-01-07"
"Punjab National Bank",1500401,286466,1786867,25624.07,561224,"(B) Regional Rural Bank","2015-01-07"
"Punjab National Bank",5242135,1240024,6482159,77675.58,5422186,"(A) Public Sector Banks","2015-01-14"
"Punjab National Bank",1563374,290725,1854099,25863.18,561224,"(B) Regional Rural Bank","2015-01-14"
"Punjab National Bank",5707863,1356377,7064240,77689.28,6160320,"(A) Public Sector Banks","2015-01-28"
"Punjab National Bank",1726224,300636,2026860,26785.92,561224,"(B) Regional Rural Bank","2015-01-28"
"Punjab National Bank",5887957,1397184,7285141,77699.47,6385223,"(A) Public Sector Banks","2015-02-04"
"Punjab National Bank",1781545,303396,2084941,27662.75,561224,"(B) Regional Rural Bank","2015-02-04"
"Punjab National Bank",6056807,1433176,7489983,77707.29,6563999,"(A) Public Sector Banks","2015-02-11"
"Punjab National Bank",1825951,306208,2132159,28170.87,561224,"(B) Regional Rural Bank","2015-02-11"
"Punjab National Bank",6216403,1474267,7690670,77701.11,6899577,"(A) Public Sector Banks","2015-02-18"
