Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"RBL Bank Ltd",26897,12169,39066,2.36,13379,"(C) Major Private Banks","2014-09-24"
"RBL Bank Ltd",30481,13967,44448,0,13379,"(C) Major Private Banks","2014-10-08"
"RBL Bank Ltd",34236,15988,50224,1.08,13379,"(C) Major Private Banks","2014-10-15"
"RBL Bank Ltd",46115,23297,69412,58.69,28143,"(C) Major Private Banks","2014-11-05"
"RBL Bank Ltd",48839,25021,73860,51.24,28143,"(C) Major Private Banks","2014-11-12"
"RBL Bank Ltd",53708,26153,79861,46.42,28143,"(C) Major Private Banks","2014-11-19"
"RBL Bank Ltd",59987,29381,89368,53.92,28143,"(C) Major Private Banks","2014-11-26"
"RBL Bank Ltd",59998,29425,89423,49.94,39761,"(C) Major Private Banks","2014-12-03"
"RBL Bank Ltd",60025,29425,89450,49.94,41261,"(C) Major Private Banks","2014-12-10"
"RBL Bank Ltd",60025,29425,89450,49.94,52366,"(C) Major Private Banks","2014-12-17"
"RBL Bank Ltd",60061,29450,89511,51.94,61366,"(C) Major Private Banks","2014-12-24"
"RBL Bank Ltd",60061,29450,89511,51.94,72986,"(C) Major Private Banks","2014-12-31"
"RBL Bank Ltd",60061,29450,89511,52.46,72986,"(C) Major Private Banks","2015-01-07"
"RBL Bank Ltd",60061,29450,89511,52.46,72986,"(C) Major Private Banks","2015-01-14"
"RBL Bank Ltd",59531,30455,89986,111.77,89986,"(C) Major Private Banks","2015-01-28"
"RBL Bank Ltd",59531,31987,91518,111.77,91518,"(C) Major Private Banks","2015-02-04"
"RBL Bank Ltd",59531,31987,91518,111.77,91518,"(C) Major Private Banks","2015-02-11"
"RBL Bank Ltd",59531,31987,91518,111.77,91518,"(C) Major Private Banks","2015-02-18"
"RBL Bank Ltd",59787,35520,95307,113.57,95307,"(C) Major Private Banks","2015-02-25"
"RBL Bank Ltd",59787,35520,95307,113.57,95307,"(C) Major Private Banks","2015-03-04"
"RBL Bank Ltd",59787,35520,95307,113.57,95307,"(C) Major Private Banks","2015-03-11"
"RBL Bank Ltd",59787,35520,95307,113.57,95307,"(C) Major Private Banks","2015-03-18"
"RBL Bank Ltd",59787,35520,95307,113.57,95307,"(C) Major Private Banks","2015-03-25"
"RBL Bank Ltd",59787,35520,95307,113.57,95307,"(C) Major Private Banks","2015-04-01"
"RBL Bank Ltd",59787,35520,95307,113.57,95307,"(C) Major Private Banks","2015-04-08"
"RBL Bank Ltd",59787,35520,95307,113.57,95307,"(C) Major Private Banks","2015-04-15"
