Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Regional Rural Banks Sub Total",357621,66286,423907,1431.38,6119,"(B) Regional Rural Bank","2014-09-24"
"Regional Rural Banks Sub Total",198184,91256,289440,0,48719,"(B) Regional Rural Bank","2014-10-01"
"Regional Rural Banks Sub Total",313222,78792,392014,1573,6694,"(B) Regional Rural Bank","2014-10-08"
"Regional Rural Banks Sub Total",143148,47453,190601,41.82,128335,"(B) Regional Rural Bank","2014-10-15"
"Regional Rural Banks Sub Total",745574,210774,956348,2800.12,116142,"(B) Regional Rural Bank","2014-10-22"
"Regional Rural Banks Sub Total",9382212,1823299,11205511,57879.58,1100154,"(B) Regional Rural Bank","2014-10-29"
"Regional Rural Banks Sub Total",9918749,1751966,11670715,51547.74,1202076,"(B) Regional Rural Bank","2014-11-05"
"Regional Rural Banks Sub Total",10409959,1826498,12236457,57196.85,1321989,"(B) Regional Rural Bank","2014-11-12"
"Regional Rural Banks Sub Total",11079391,1960919,13040310,73449.6,1811662,"(B) Regional Rural Bank","2014-11-19"
"Regional Rural Banks Sub Total",11730447,2083823,13814270,84234.73,2045114,"(B) Regional Rural Bank","2014-11-26"
"Regional Rural Banks Sub Total",12223546,2157297,14380843,95976.79,2255185,"(B) Regional Rural Bank","2014-12-03"
"Regional Rural Banks Sub Total",13010559,2316810,15327369,105317.77,3287929,"(B) Regional Rural Bank","2014-12-10"
"Regional Rural Banks Sub Total",14096956,2540891,16637847,111514.74,4550940,"(B) Regional Rural Bank","2014-12-17"
"Regional Rural Banks Sub Total",13054297,2654212,15708509,96306.87,6237494,"(B) Regional Rural Bank","2014-12-24"
"Regional Rural Banks Sub Total",15717860,2792011,18509871,127568.8,9304777,"(B) Regional Rural Bank","2014-12-31"
"Regional Rural Banks Sub Total",16310149,2889703,19199852,132139.2,10334829,"(B) Regional Rural Bank","2015-01-07"
"Regional Rural Banks Sub Total",16862226,2985744,19847970,140866.7,11550776,"(B) Regional Rural Bank","2015-01-14"
"Regional Rural Banks Sub Total",18226849,3245567,21472416,155906.79,14702771,"(B) Regional Rural Bank","2015-01-28"
"Regional Rural Banks Sub Total",18756918,3335820,22092738,164641.52,15246580,"(B) Regional Rural Bank","2015-02-04"
"Regional Rural Banks Sub Total",19177992,3406194,22584186,171285.02,15671539,"(B) Regional Rural Bank","2015-02-11"
"Regional Rural Banks Sub Total",19572221,3465834,23038055,181563.03,16162729,"(B) Regional Rural Bank","2015-02-18"
"Regional Rural Banks Sub Total",20016424,3540682,23557106,191456.95,16473516,"(B) Regional Rural Bank","2015-02-25"
"Regional Rural Banks Sub Total",20414463,3633512,24047975,202043.01,16821384,"(B) Regional Rural Bank","2015-03-04"
"Regional Rural Banks Sub Total",20715008,3683855,24398863,209287.77,17039020,"(B) Regional Rural Bank","2015-03-11"
"Regional Rural Banks Sub Total",21081512,3783680,24865192,218815.83,17529659,"(B) Regional Rural Bank","2015-03-18"
"Regional Rural Banks Sub Total",21456966,3864198,25321164,231892.28,17703280,"(B) Regional Rural Bank","2015-03-25"
"Regional Rural Banks Sub Total",21711030,3900824,25611854,257711.1,17822870,"(B) Regional Rural Bank","2015-04-01"
"Regional Rural Banks Sub Total",21954405,3928037,25882442,261166.7,17882257,"(B) Regional Rural Bank","2015-04-08"
"Regional Rural Banks Sub Total",22238759,3958324,26197083,270287.87,18411968,"(B) Regional Rural Bank","2015-04-15"
"Regional Rural Banks Sub Total",22591009,4006223,26597232,273545.23,19082186,"(B) Regional Rural Bank","2015-04-22"
"Regional Rural Banks Sub Total",22923849,4044023,26967872,278248,19460990,"(B) Regional Rural Bank","2015-04-29"
"Regional Rural Banks Sub Total",23246153,4094915,27341068,284886.25,19737052,"(B) Regional Rural Bank","2015-05-06"
"Regional Rural Banks Sub Total",23480124,4127922,27608046,291152.9,19931605,"(B) Regional Rural Bank","2015-05-13"
"Regional Rural Banks Sub Total",23729780,4161940,27891720,298038.23,20122909,"(B) Regional Rural Bank","2015-05-20"
"Regional Rural Banks Sub Total",24179610,4233681,28413291,311481.62,20783824,"(B) Regional Rural Bank","2015-06-03"
"Regional Rural Banks Sub Total",24446810,4264533,28711343,318682.83,20875444,"(B) Regional Rural Bank","2015-06-10"
"Regional Rural Banks Sub Total",24665930,4300236,28966166,325847.93,20992909,"(B) Regional Rural Bank","2015-06-17"
"Regional Rural Banks Sub Total",24960715,4341725,29302440,331564.86,21119474,"(B) Regional Rural Bank","2015-06-24"
