Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"South Indian Bank Ltd",7894,39490,47384,203.24,8297,"(C) Major Private Banks","2014-10-29"
"South Indian Bank Ltd",8382,41257,49639,229.44,8977,"(C) Major Private Banks","2014-11-05"
"South Indian Bank Ltd",8774,43333,52107,274.14,20501,"(C) Major Private Banks","2014-11-12"
"South Indian Bank Ltd",9119,46464,55583,274.84,22373,"(C) Major Private Banks","2014-11-19"
"South Indian Bank Ltd",9572,49687,59259,293.65,24442,"(C) Major Private Banks","2014-11-26"
"South Indian Bank Ltd",10022,52020,62042,326.13,26327,"(C) Major Private Banks","2014-12-03"
"South Indian Bank Ltd",10617,55581,66198,364.56,28620,"(C) Major Private Banks","2014-12-10"
"South Indian Bank Ltd",11376,59224,70600,392.25,30978,"(C) Major Private Banks","2014-12-17"
"South Indian Bank Ltd",12257,62587,74844,424.37,33348,"(C) Major Private Banks","2014-12-24"
"South Indian Bank Ltd",12778,65057,77835,447.41,34907,"(C) Major Private Banks","2014-12-31"
"South Indian Bank Ltd",13435,67545,80980,504.94,37022,"(C) Major Private Banks","2015-01-07"
"South Indian Bank Ltd",14255,71825,86080,527.84,39583,"(C) Major Private Banks","2015-01-14"
"South Indian Bank Ltd",15858,80318,96176,584.31,44083,"(C) Major Private Banks","2015-01-28"
"South Indian Bank Ltd",15664,79286,94950,605.28,51577,"(C) Major Private Banks","2015-02-04"
"South Indian Bank Ltd",15655,79240,94895,648.82,54222,"(C) Major Private Banks","2015-02-11"
"South Indian Bank Ltd",17152,85571,102723,677.65,55795,"(C) Major Private Banks","2015-02-18"
"South Indian Bank Ltd",17143,85517,102660,714.14,55795,"(C) Major Private Banks","2015-02-25"
"South Indian Bank Ltd",17131,85472,102603,793.2,55795,"(C) Major Private Banks","2015-03-04"
"South Indian Bank Ltd",17118,85414,102532,819.98,55795,"(C) Major Private Banks","2015-03-11"
"South Indian Bank Ltd",17100,85356,102456,829.65,41831,"(C) Major Private Banks","2015-03-18"
"South Indian Bank Ltd",17092,85307,102399,849.06,42826,"(C) Major Private Banks","2015-03-25"
"South Indian Bank Ltd",17082,85233,102315,850.14,43427,"(C) Major Private Banks","2015-04-01"
"South Indian Bank Ltd",17079,85216,102295,868.6,43722,"(C) Major Private Banks","2015-04-08"
"South Indian Bank Ltd",17074,85191,102265,893.8,43929,"(C) Major Private Banks","2015-04-15"
