Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"State Bank of Bikaner & Jaipur",412558,574101,986659,0,230018,"(A) Public Sector Banks","2014-10-08"
"State Bank of Bikaner & Jaipur",549708,262606,812314,8341.58,252804,"(B) Regional Rural Bank","2014-10-29"
"State Bank of Bikaner & Jaipur",554457,719304,1273761,17200.24,1023704,"(A) Public Sector Banks","2014-11-05"
"State Bank of Bikaner & Jaipur",409617,14896,424513,3417.98,40093,"(B) Regional Rural Bank","2014-11-05"
"State Bank of Bikaner & Jaipur",573165,754685,1327850,18664.09,1106576,"(A) Public Sector Banks","2014-11-12"
"State Bank of Bikaner & Jaipur",435097,15376,450473,3578.44,63271,"(B) Regional Rural Bank","2014-11-12"
"State Bank of Bikaner & Jaipur",605850,783616,1389466,20719.67,1111713,"(A) Public Sector Banks","2014-11-19"
"State Bank of Bikaner & Jaipur",472651,15945,488596,3878.19,391878,"(B) Regional Rural Bank","2014-11-19"
"State Bank of Bikaner & Jaipur",628111,804576,1432687,21573.33,1243893,"(A) Public Sector Banks","2014-11-26"
"State Bank of Bikaner & Jaipur",508738,16406,525144,4054.65,396280,"(B) Regional Rural Bank","2014-11-26"
"State Bank of Bikaner & Jaipur",646206,820790,1466996,22867.43,1385352,"(A) Public Sector Banks","2014-12-03"
"State Bank of Bikaner & Jaipur",539960,16711,556671,4285.11,396747,"(B) Regional Rural Bank","2014-12-03"
"State Bank of Bikaner & Jaipur",675760,845434,1521194,23990.06,1394578,"(A) Public Sector Banks","2014-12-10"
"State Bank of Bikaner & Jaipur",574669,17929,592598,4532.82,573902,"(B) Regional Rural Bank","2014-12-10"
"State Bank of Bikaner & Jaipur",723420,899138,1622558,26125.27,1394578,"(A) Public Sector Banks","2014-12-17"
"State Bank of Bikaner & Jaipur",611376,18660,630036,4643.71,574373,"(B) Regional Rural Bank","2014-12-17"
"State Bank of Bikaner & Jaipur",765902,949983,1715885,28268.48,1394578,"(A) Public Sector Banks","2014-12-24"
"State Bank of Bikaner & Jaipur",642493,19585,662078,4783.3,574640,"(B) Regional Rural Bank","2014-12-24"
"State Bank of Bikaner & Jaipur",845746,1047240,1892986,35977.79,1394578,"(A) Public Sector Banks","2014-12-31"
"State Bank of Bikaner & Jaipur",738814,21862,760676,5094.42,574760,"(B) Regional Rural Bank","2014-12-31"
"State Bank of Bikaner & Jaipur",880661,1090346,1971007,39013.77,1453622,"(A) Public Sector Banks","2015-01-07"
"State Bank of Bikaner & Jaipur",742631,22693,765324,5369.22,574760,"(B) Regional Rural Bank","2015-01-07"
"State Bank of Bikaner & Jaipur",922495,1138598,2061093,41729.47,1532148,"(A) Public Sector Banks","2015-01-14"
"State Bank of Bikaner & Jaipur",748113,23140,771253,5777.15,717649,"(B) Regional Rural Bank","2015-01-14"
"State Bank of Bikaner & Jaipur",976193,1214032,2190225,45506.1,1856032,"(A) Public Sector Banks","2015-01-28"
"State Bank of Bikaner & Jaipur",767926,23541,791467,7013.13,718927,"(B) Regional Rural Bank","2015-01-28"
"State Bank of Bikaner & Jaipur",994225,1236419,2230644,48542.96,1885635,"(A) Public Sector Banks","2015-02-04"
"State Bank of Bikaner & Jaipur",786288,23690,809978,7450.24,719667,"(B) Regional Rural Bank","2015-02-04"
"State Bank of Bikaner & Jaipur",1004771,1246877,2251648,50093.29,1932761,"(A) Public Sector Banks","2015-02-11"
"State Bank of Bikaner & Jaipur",810616,23861,834477,7669.03,720451,"(B) Regional Rural Bank","2015-02-11"
"State Bank of Bikaner & Jaipur",1018446,1258965,2277411,50907.5,1946538,"(A) Public Sector Banks","2015-02-18"
"State Bank of Bikaner & Jaipur",830432,24354,854786,7832.33,721344,"(B) Regional Rural Bank","2015-02-18"
"State Bank of Bikaner & Jaipur",1033669,1270822,2304491,51916.66,1969315,"(A) Public Sector Banks","2015-02-25"
"State Bank of Bikaner & Jaipur",844928,25044,869972,8003.06,722422,"(B) Regional Rural Bank","2015-02-25"
"State Bank of Bikaner & Jaipur",1052205,1285923,2338128,54984.02,2008045,"(A) Public Sector Banks","2015-03-04"
"State Bank of Bikaner & Jaipur",852173,25633,877806,8229.44,862033,"(B) Regional Rural Bank","2015-03-04"
"State Bank of Bikaner & Jaipur",1065297,1295523,2360820,55344.53,2031048,"(A) Public Sector Banks","2015-03-11"
"State Bank of Bikaner & Jaipur",856989,25899,882888,8403.48,862186,"(B) Regional Rural Bank","2015-03-11"
"State Bank of Bikaner & Jaipur",1085520,1309741,2395261,56289.39,2060602,"(A) Public Sector Banks","2015-03-18"
"State Bank of Bikaner & Jaipur",861896,26078,887974,8721.05,862366,"(B) Regional Rural Bank","2015-03-18"
"State Bank of Bikaner & Jaipur",1108356,1326910,2435266,57972.98,2125093,"(A) Public Sector Banks","2015-03-25"
"State Bank of Bikaner & Jaipur",868808,26286,895094,10113.03,862652,"(B) Regional Rural Bank","2015-03-25"
"State Bank of Bikaner & Jaipur",1124726,1337103,2461829,59928.77,2155452,"(A) Public Sector Banks","2015-04-01"
"State Bank of Bikaner & Jaipur",886081,26369,912450,10815.34,862927,"(B) Regional Rural Bank","2015-04-01"
"State Bank of Bikaner & Jaipur",1136951,1347358,2484309,59880.56,2172428,"(A) Public Sector Banks","2015-04-08"
"State Bank of Bikaner & Jaipur",900393,26592,926985,10964.93,863985,"(B) Regional Rural Bank","2015-04-08"
"State Bank of Bikaner & Jaipur",1155458,1359227,2514685,59837.38,2192931,"(A) Public Sector Banks","2015-04-15"
"State Bank of Bikaner & Jaipur",925013,26737,951750,11176.88,864051,"(B) Regional Rural Bank","2015-04-15"
"State Bank of Bikaner & Jaipur",1174835,1372153,2546988,60225.19,2223408,"(A) Public Sector Banks","2015-04-22"
"State Bank of Bikaner & Jaipur",950206,26756,976962,11347.3,864070,"(B) Regional Rural Bank","2015-04-22"
"State Bank of Bikaner & Jaipur",1188546,1381845,2570391,60365.36,2249198,"(A) Public Sector Banks","2015-04-29"
"State Bank of Bikaner & Jaipur",974953,26776,1001729,11533.06,864083,"(B) Regional Rural Bank","2015-04-29"
"State Bank of Bikaner & Jaipur",1202482,1391343,2593825,62190.5,2268140,"(A) Public Sector Banks","2015-05-06"
"State Bank of Bikaner & Jaipur",994544,26915,1021459,11699.86,863927,"(B) Regional Rural Bank","2015-05-06"
"State Bank of Bikaner & Jaipur",1224897,1397543,2622440,63428.6,2290733,"(A) Public Sector Banks","2015-05-13"
