Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"State Bank of Hyderabad",327907,749894,1077801,281.55,314155,"(A) Public Sector Banks","2014-09-24"
"State Bank of Hyderabad",409699,907740,1317439,246.9,582636,"(A) Public Sector Banks","2014-10-15"
"State Bank of Hyderabad",449316,966833,1416149,194.74,961373,"(A) Public Sector Banks","2014-10-22"
"State Bank of Hyderabad",464117,987278,1451395,3525.16,1276878,"(A) Public Sector Banks","2014-10-29"
"State Bank of Hyderabad",278135,8548,286683,0,0,"(B) Regional Rural Bank","2014-10-29"
"State Bank of Hyderabad",488117,1022399,1510516,3768.84,1299033,"(A) Public Sector Banks","2014-11-05"
"State Bank of Hyderabad",290893,8863,299756,0,43974,"(B) Regional Rural Bank","2014-11-05"
"State Bank of Hyderabad",514404,1054142,1568546,4347.95,1311245,"(A) Public Sector Banks","2014-11-12"
"State Bank of Hyderabad",303417,9406,312823,0.01,45529,"(B) Regional Rural Bank","2014-11-12"
"State Bank of Hyderabad",536575,1094058,1630633,4778.7,1557136,"(A) Public Sector Banks","2014-11-19"
"State Bank of Hyderabad",323141,16841,339982,0.01,46592,"(B) Regional Rural Bank","2014-11-19"
"State Bank of Hyderabad",567626,1136297,1703923,5299.63,1655779,"(A) Public Sector Banks","2014-11-26"
"State Bank of Hyderabad",338034,17850,355884,0.01,48169,"(B) Regional Rural Bank","2014-11-26"
"State Bank of Hyderabad",596484,1172615,1769099,5571.04,1706063,"(A) Public Sector Banks","2014-12-03"
"State Bank of Hyderabad",361308,18777,380085,649.45,51363,"(B) Regional Rural Bank","2014-12-03"
"State Bank of Hyderabad",620197,1211417,1831614,6095.95,1775559,"(A) Public Sector Banks","2014-12-10"
"State Bank of Hyderabad",372080,19625,391705,678.96,53216,"(B) Regional Rural Bank","2014-12-10"
"State Bank of Hyderabad",647573,1257390,1904963,6625.67,1834514,"(A) Public Sector Banks","2014-12-17"
"State Bank of Hyderabad",430114,60152,490266,726.29,55271,"(B) Regional Rural Bank","2014-12-17"
"State Bank of Hyderabad",681299,1314510,1995809,7274.6,1847961,"(A) Public Sector Banks","2014-12-24"
"State Bank of Hyderabad",437489,74076,511565,760.09,57092,"(B) Regional Rural Bank","2014-12-24"
"State Bank of Hyderabad",696713,1340127,2036840,7637.04,1937932,"(A) Public Sector Banks","2014-12-31"
"State Bank of Hyderabad",445186,75489,520675,790.32,67631,"(B) Regional Rural Bank","2014-12-31"
"State Bank of Hyderabad",725186,1381896,2107082,8061.55,2024894,"(A) Public Sector Banks","2015-01-07"
"State Bank of Hyderabad",446572,76128,522700,792.35,67924,"(B) Regional Rural Bank","2015-01-07"
"State Bank of Hyderabad",754189,1420506,2174695,8783.88,2073521,"(A) Public Sector Banks","2015-01-14"
"State Bank of Hyderabad",446572,76128,522700,792.56,67924,"(B) Regional Rural Bank","2015-01-14"
"State Bank of Hyderabad",805892,1510566,2316458,9755.37,2186953,"(A) Public Sector Banks","2015-01-28"
"State Bank of Hyderabad",446572,76128,522700,922.77,167924,"(B) Regional Rural Bank","2015-01-28"
"State Bank of Hyderabad",836623,1554659,2391282,10408.38,2256839,"(A) Public Sector Banks","2015-02-04"
"State Bank of Hyderabad",459021,76128,535149,960.55,313165,"(B) Regional Rural Bank","2015-02-04"
"State Bank of Hyderabad",859729,1579543,2439272,11107.38,2276203,"(A) Public Sector Banks","2015-02-11"
"State Bank of Hyderabad",471793,76128,547921,1051.83,407715,"(B) Regional Rural Bank","2015-02-11"
"State Bank of Hyderabad",872178,1602862,2475040,11542.69,2301586,"(A) Public Sector Banks","2015-02-18"
"State Bank of Hyderabad",488463,76128,564591,6304.34,423472,"(B) Regional Rural Bank","2015-02-18"
"State Bank of Hyderabad",886782,1620732,2507514,12080.41,2322598,"(A) Public Sector Banks","2015-02-25"
"State Bank of Hyderabad",497349,76128,573477,6577.41,423898,"(B) Regional Rural Bank","2015-02-25"
"State Bank of Hyderabad",895144,1635303,2530447,12487.8,2497620,"(A) Public Sector Banks","2015-03-04"
"State Bank of Hyderabad",521389,77732,599121,7099.44,423898,"(B) Regional Rural Bank","2015-03-04"
"State Bank of Hyderabad",902482,1647610,2550092,12783.86,2520701,"(A) Public Sector Banks","2015-03-11"
"State Bank of Hyderabad",527332,77732,605064,7324.5,423898,"(B) Regional Rural Bank","2015-03-11"
"State Bank of Hyderabad",913972,1661678,2575650,13537.21,2542773,"(A) Public Sector Banks","2015-03-18"
"State Bank of Hyderabad",542006,77732,619738,7760.66,423898,"(B) Regional Rural Bank","2015-03-18"
"State Bank of Hyderabad",919167,1670725,2589892,13885.55,2552402,"(A) Public Sector Banks","2015-03-25"
"State Bank of Hyderabad",548092,77732,625824,8303.6,423898,"(B) Regional Rural Bank","2015-03-25"
"State Bank of Hyderabad",925191,1678861,2604052,14161.01,2558684,"(A) Public Sector Banks","2015-04-01"
"State Bank of Hyderabad",560143,77732,637875,10298.33,423898,"(B) Regional Rural Bank","2015-04-01"
"State Bank of Hyderabad",926598,1682750,2609348,14370.18,2565065,"(A) Public Sector Banks","2015-04-08"
"State Bank of Hyderabad",570211,77732,647943,9764.87,423898,"(B) Regional Rural Bank","2015-04-08"
"State Bank of Hyderabad",930191,1686692,2616883,14577.46,2573662,"(A) Public Sector Banks","2015-04-15"
"State Bank of Hyderabad",574435,77732,652167,9340.86,508374,"(B) Regional Rural Bank","2015-04-15"
"State Bank of Hyderabad",933658,1694183,2627841,15136.25,2581126,"(A) Public Sector Banks","2015-04-22"
"State Bank of Hyderabad",586816,77732,664548,9429.31,508374,"(B) Regional Rural Bank","2015-04-22"
"State Bank of Hyderabad",921891,1686013,2607904,15412.67,2594394,"(A) Public Sector Banks","2015-04-29"
"State Bank of Hyderabad",590998,77732,668730,9489.88,508374,"(B) Regional Rural Bank","2015-04-29"
"State Bank of Hyderabad",938435,1708094,2646529,15683.56,2598988,"(A) Public Sector Banks","2015-05-06"
"State Bank of Hyderabad",601051,77732,678783,9544.01,508374,"(B) Regional Rural Bank","2015-05-06"
"State Bank of Hyderabad",943874,1715191,2659065,16393.71,2607628,"(A) Public Sector Banks","2015-05-13"
"State Bank of Hyderabad",605515,77732,683247,9845.78,508374,"(B) Regional Rural Bank","2015-05-13"
"State Bank of Hyderabad",946819,1719432,2666251,16991.41,2613517,"(A) Public Sector Banks","2015-05-20"
"State Bank of Hyderabad",605515,77732,683247,9845.78,508374,"(B) Regional Rural Bank","2015-05-20"
"State Bank of Hyderabad",950272,1729132,2679404,17550.52,2626577,"(A) Public Sector Banks","2015-06-03"
"State Bank of Hyderabad",605515,77732,683247,9845.78,508374,"(B) Regional Rural Bank","2015-06-03"
"State Bank of Hyderabad",952482,1732072,2684554,17521.24,2628975,"(A) Public Sector Banks","2015-06-10"
"State Bank of Hyderabad",605515,77732,683247,9845.78,508374,"(B) Regional Rural Bank","2015-06-10"
"State Bank of Hyderabad",952482,1732072,2684554,17521.24,2628975,"(A) Public Sector Banks","2015-06-17"
"State Bank of Hyderabad",605515,77732,683247,9845.78,508374,"(B) Regional Rural Bank","2015-06-17"
"State Bank of Hyderabad",959213,1740207,2699420,17798.09,2640954,"(A) Public Sector Banks","2015-06-24"
"State Bank of Hyderabad",605515,77732,683247,9845.78,508374,"(B) Regional Rural Bank","2015-06-24"
"State Bank of Hyderabad",962113,1742784,2704897,17966.89,2643621,"(A) Public Sector Banks","2015-07-01"
"State Bank of Hyderabad",605515,77732,683247,9845.78,508374,"(B) Regional Rural Bank","2015-07-01"
"State Bank of Hyderabad",964315,1745402,2709717,18311.9,2647590,"(A) Public Sector Banks","2015-07-08"
"State Bank of Hyderabad",605515,77732,683247,9845.78,508374,"(B) Regional Rural Bank","2015-07-08"
"State Bank of Hyderabad",966196,1747717,2713913,18467.85,2649824,"(A) Public Sector Banks","2015-07-15"
"State Bank of Hyderabad",660083,80180,740263,12576.91,508374,"(B) Regional Rural Bank","2015-07-15"
"State Bank of Hyderabad",968062,1750378,2718440,18467.85,2683726,"(A) Public Sector Banks","2015-07-22"
"State Bank of Hyderabad",660083,80180,740263,12576.91,508374,"(B) Regional Rural Bank","2015-07-22"
"State Bank of Hyderabad",970276,1753430,2723706,18566.57,2687569,"(A) Public Sector Banks","2015-07-29"
"State Bank of Hyderabad",660083,80180,740263,12576.91,508374,"(B) Regional Rural Bank","2015-07-29"
"State Bank of Hyderabad",972359,1757373,2729732,18981.52,2691200,"(A) Public Sector Banks","2015-08-05"
"State Bank of Hyderabad",660083,80180,740263,12576.91,508374,"(B) Regional Rural Bank","2015-08-05"
"State Bank of Hyderabad",973194,1759439,2732633,19340.74,2694837,"(A) Public Sector Banks","2015-08-12"
"State Bank of Hyderabad",660083,80180,740263,12576.91,508374,"(B) Regional Rural Bank","2015-08-12"
"State Bank of Hyderabad",975388,1763724,2739112,19247.37,2698323,"(A) Public Sector Banks","2015-08-19"
"State Bank of Hyderabad",660083,80180,740263,12576.91,508374,"(B) Regional Rural Bank","2015-08-19"
"State Bank of Hyderabad",975388,1763724,2739112,19248.54,2700072,"(A) Public Sector Banks","2015-08-26"
"State Bank of Hyderabad",660083,80180,740263,12576.91,508374,"(B) Regional Rural Bank","2015-08-26"
"State Bank of Hyderabad",975388,1763724,2739112,19404.08,2699756,"(A) Public Sector Banks","2015-09-02"
"State Bank of Hyderabad",699354,82955,782309,13755.41,508374,"(B) Regional Rural Bank","2015-09-02"
"State Bank of Hyderabad",979567,1772302,2751869,19929.35,2699474,"(A) Public Sector Banks","2015-09-09"
"State Bank of Hyderabad",699354,82955,782309,13755.41,508374,"(B) Regional Rural Bank","2015-09-09"
"State Bank of Hyderabad",979567,1772302,2751869,20141.32,2698974,"(A) Public Sector Banks","2015-09-16"
"State Bank of Hyderabad",699354,82955,782309,13755.41,508374,"(B) Regional Rural Bank","2015-09-16"
"State Bank of Hyderabad",982588,1777978,2760566,20352.82,2698228,"(A) Public Sector Banks","2015-09-23"
"State Bank of Hyderabad",714487,84047,798534,14586.41,508374,"(B) Regional Rural Bank","2015-09-23"
"State Bank of Hyderabad",983422,1781093,2764515,20756.95,2710009,"(A) Public Sector Banks","2015-10-07"
