Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"State Bank of India",2980000,4139554,7119554,2739.08,2329992,"(A) Public Sector Banks","2014-09-24"
"State Bank of India",3674485,5249691,8924176,2090.61,3397761,"(A) Public Sector Banks","2014-10-08"
"State Bank of India",4108487,5894424,10002911,2302.35,4364380,"(A) Public Sector Banks","2014-10-15"
"State Bank of India",4509439,6442657,10952096,2142.47,5229792,"(A) Public Sector Banks","2014-10-22"
"State Bank of India",4786505,6806013,11592518,12144.47,5817120,"(A) Public Sector Banks","2014-10-29"
"State Bank of India",1298391,201956,1500347,6666.48,35932,"(B) Regional Rural Bank","2014-10-29"
"State Bank of India",5071942,7222147,12294089,12214.88,6433407,"(A) Public Sector Banks","2014-11-05"
"State Bank of India",1498068,246107,1744175,8333.64,78606,"(B) Regional Rural Bank","2014-11-05"
"State Bank of India",5338044,7638907,12976951,13438.99,7032104,"(A) Public Sector Banks","2014-11-12"
"State Bank of India",1590183,262313,1852496,9045.92,84780,"(B) Regional Rural Bank","2014-11-12"
"State Bank of India",5734289,8205041,13939330,13524.11,7854893,"(A) Public Sector Banks","2014-11-19"
"State Bank of India",1724968,281132,2006100,10082.79,96315,"(B) Regional Rural Bank","2014-11-19"
"State Bank of India",6093361,8735694,14829055,13621.74,8608132,"(A) Public Sector Banks","2014-11-26"
"State Bank of India",1830951,303387,2134338,12805.17,128666,"(B) Regional Rural Bank","2014-11-26"
"State Bank of India",6457982,9303318,15761300,13684.68,9412958,"(A) Public Sector Banks","2014-12-03"
"State Bank of India",1961219,329458,2290677,13896.01,162631,"(B) Regional Rural Bank","2014-12-03"
"State Bank of India",6860641,9951475,16812116,13763.48,10332809,"(A) Public Sector Banks","2014-12-10"
"State Bank of India",2104775,354645,2459420,14767.58,187442,"(B) Regional Rural Bank","2014-12-10"
"State Bank of India",7331552,10640527,17972079,13827.56,11390914,"(A) Public Sector Banks","2014-12-17"
"State Bank of India",2308949,391481,2700430,15957.21,234248,"(B) Regional Rural Bank","2014-12-17"
"State Bank of India",7855907,11407568,19263475,13892.77,15178491,"(A) Public Sector Banks","2014-12-24"
"State Bank of India",2599113,438297,3037410,16832.06,246761,"(B) Regional Rural Bank","2014-12-24"
"State Bank of India",8347709,12162439,20510148,13955.96,16363626,"(A) Public Sector Banks","2014-12-31"
"State Bank of India",2757892,473034,3230926,17609.57,262910,"(B) Regional Rural Bank","2014-12-31"
"State Bank of India",8750536,12753736,21504272,14042.5,17492892,"(A) Public Sector Banks","2015-01-07"
"State Bank of India",2933613,508622,3442235,18159.74,280044,"(B) Regional Rural Bank","2015-01-07"
"State Bank of India",9272060,13535777,22807837,14100.08,20035957,"(A) Public Sector Banks","2015-01-14"
"State Bank of India",3135888,545313,3681201,19159.29,340067,"(B) Regional Rural Bank","2015-01-14"
"State Bank of India",10178426,14833973,25012399,73805.31,22133873,"(A) Public Sector Banks","2015-01-28"
"State Bank of India",3489527,600504,4090031,21226.97,1528292,"(B) Regional Rural Bank","2015-01-28"
"State Bank of India",10768862,15663747,26432609,73846.74,23482418,"(A) Public Sector Banks","2015-02-04"
"State Bank of India",3612529,617631,4230160,22495.63,1537462,"(B) Regional Rural Bank","2015-02-04"
"State Bank of India",11165261,16230168,27395429,88347.12,24390600,"(A) Public Sector Banks","2015-02-11"
"State Bank of India",3706731,630572,4337303,23144.5,1558298,"(B) Regional Rural Bank","2015-02-11"
"State Bank of India",11483664,16686573,28170237,88383.63,25118392,"(A) Public Sector Banks","2015-02-18"
"State Bank of India",3800944,649811,4450755,24298.71,1655863,"(B) Regional Rural Bank","2015-02-18"
"State Bank of India",11941613,17302896,29244509,104519.73,26128012,"(A) Public Sector Banks","2015-02-25"
