Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"State Bank of Mysore",333888,114619,448507,228.34,305440,"(A) Public Sector Banks","2014-10-08"
"State Bank of Mysore",354264,119991,474255,229.87,338687,"(A) Public Sector Banks","2014-10-15"
"State Bank of Mysore",115257,46927,162184,0,127321,"(B) Regional Rural Bank","2014-10-15"
"State Bank of Mysore",370845,124230,495075,241.99,371268,"(A) Public Sector Banks","2014-10-22"
"State Bank of Mysore",391366,129938,521304,270.33,500343,"(A) Public Sector Banks","2014-11-05"
"State Bank of Mysore",173608,56006,229614,0.99,148000,"(B) Regional Rural Bank","2014-11-05"
"State Bank of Mysore",400319,132085,532404,269.82,503180,"(A) Public Sector Banks","2014-11-12"
"State Bank of Mysore",181337,58027,239364,1.01,148000,"(B) Regional Rural Bank","2014-11-12"
"State Bank of Mysore",414234,137668,551902,276.61,518958,"(A) Public Sector Banks","2014-11-19"
"State Bank of Mysore",175917,75085,251002,1.14,155953,"(B) Regional Rural Bank","2014-11-19"
"State Bank of Mysore",432759,145391,578150,280.15,541634,"(A) Public Sector Banks","2014-11-26"
"State Bank of Mysore",193220,71265,264485,1.31,172169,"(B) Regional Rural Bank","2014-11-26"
"State Bank of Mysore",444272,152690,596962,282.97,561047,"(A) Public Sector Banks","2014-12-03"
"State Bank of Mysore",203764,73488,277252,1404.77,172544,"(B) Regional Rural Bank","2014-12-03"
"State Bank of Mysore",459898,157341,617239,287.15,575742,"(A) Public Sector Banks","2014-12-10"
"State Bank of Mysore",210274,74171,284445,1524.15,174456,"(B) Regional Rural Bank","2014-12-10"
"State Bank of Mysore",477413,160864,638277,292.98,594744,"(A) Public Sector Banks","2014-12-17"
"State Bank of Mysore",226077,74836,300913,1804.75,190042,"(B) Regional Rural Bank","2014-12-17"
"State Bank of Mysore",487654,165409,653063,298.31,612016,"(A) Public Sector Banks","2014-12-24"
"State Bank of Mysore",241163,74836,315999,1828.92,197554,"(B) Regional Rural Bank","2014-12-24"
"State Bank of Mysore",492534,168506,661040,303.09,621243,"(A) Public Sector Banks","2014-12-31"
"State Bank of Mysore",248655,74836,323491,1789.38,208766,"(B) Regional Rural Bank","2014-12-31"
"State Bank of Mysore",505268,172195,677463,319.84,636362,"(A) Public Sector Banks","2015-01-07"
"State Bank of Mysore",252093,74883,326976,1472.68,284833,"(B) Regional Rural Bank","2015-01-07"
"State Bank of Mysore",524399,175174,699573,329.36,658110,"(A) Public Sector Banks","2015-01-14"
"State Bank of Mysore",253327,74883,328210,1372.68,300245,"(B) Regional Rural Bank","2015-01-14"
"State Bank of Mysore",556309,188553,744862,334.8,701635,"(A) Public Sector Banks","2015-01-28"
"State Bank of Mysore",263121,77495,340616,1227.19,300645,"(B) Regional Rural Bank","2015-01-28"
"State Bank of Mysore",575103,196010,771113,337.9,726142,"(A) Public Sector Banks","2015-02-04"
"State Bank of Mysore",267068,77951,345019,1232.19,300745,"(B) Regional Rural Bank","2015-02-04"
