Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"State Bank of Patiala",265890,526273,792163,526.92,552222,"(A) Public Sector Banks","2014-10-15"
"State Bank of Patiala",27891,526,28417,41.82,1014,"(B) Regional Rural Bank","2014-10-15"
"State Bank of Patiala",285788,551030,836818,22272.95,674453,"(A) Public Sector Banks","2014-10-29"
"State Bank of Patiala",28981,558,29539,59.09,1076,"(B) Regional Rural Bank","2014-10-29"
"State Bank of Patiala",296222,564625,860847,23073.62,767312,"(A) Public Sector Banks","2014-11-05"
"State Bank of Patiala",29569,559,30128,83.28,1080,"(B) Regional Rural Bank","2014-11-05"
"State Bank of Patiala",301459,573270,874729,23082.73,779782,"(A) Public Sector Banks","2014-11-12"
"State Bank of Patiala",29762,559,30321,83.94,1080,"(B) Regional Rural Bank","2014-11-12"
"State Bank of Patiala",307040,582582,889622,23098.37,816565,"(A) Public Sector Banks","2014-11-19"
"State Bank of Patiala",29888,559,30447,84.19,1080,"(B) Regional Rural Bank","2014-11-19"
"State Bank of Patiala",312964,592222,905186,23109.15,836410,"(A) Public Sector Banks","2014-11-26"
"State Bank of Patiala",29998,559,30557,89.13,1191,"(B) Regional Rural Bank","2014-11-26"
"State Bank of Patiala",319414,603492,922906,23130.41,853982,"(A) Public Sector Banks","2014-12-03"
"State Bank of Patiala",31053,559,31612,90.4,26926,"(B) Regional Rural Bank","2014-12-03"
"State Bank of Patiala",326478,615550,942028,23160.51,879883,"(A) Public Sector Banks","2014-12-10"
"State Bank of Patiala",31169,589,31758,141.79,27761,"(B) Regional Rural Bank","2014-12-10"
"State Bank of Patiala",335032,631099,966131,23175.39,912112,"(A) Public Sector Banks","2014-12-17"
"State Bank of Patiala",32177,603,32780,291.2,27879,"(B) Regional Rural Bank","2014-12-17"
"State Bank of Patiala",342026,646802,988828,23187.44,948109,"(A) Public Sector Banks","2014-12-24"
"State Bank of Patiala",33137,614,33751,317.38,28011,"(B) Regional Rural Bank","2014-12-24"
"State Bank of Patiala",347429,658404,1005833,23196.64,964927,"(A) Public Sector Banks","2014-12-31"
"State Bank of Patiala",33665,614,34279,359.42,28104,"(B) Regional Rural Bank","2014-12-31"
"State Bank of Patiala",354052,669150,1023202,23206.17,981898,"(A) Public Sector Banks","2015-01-07"
"State Bank of Patiala",34240,617,34857,402.41,31995,"(B) Regional Rural Bank","2015-01-07"
"State Bank of Patiala",362659,681840,1044499,23215.4,1002720,"(A) Public Sector Banks","2015-01-14"
"State Bank of Patiala",34602,617,35219,442.73,32341,"(B) Regional Rural Bank","2015-01-14"
"State Bank of Patiala",375410,702744,1078154,23231.25,1035494,"(A) Public Sector Banks","2015-01-28"
"State Bank of Patiala",36221,628,36849,437.09,34213,"(B) Regional Rural Bank","2015-01-28"
"State Bank of Patiala",379202,708977,1088179,23236.33,1043840,"(A) Public Sector Banks","2015-02-04"
"State Bank of Patiala",36607,632,37239,441.79,34484,"(B) Regional Rural Bank","2015-02-04"
"State Bank of Patiala",383228,714616,1097844,23241.02,1053111,"(A) Public Sector Banks","2015-02-11"
"State Bank of Patiala",37081,635,37716,457.22,35011,"(B) Regional Rural Bank","2015-02-11"
"State Bank of Patiala",386086,719678,1105764,23245.03,1060660,"(A) Public Sector Banks","2015-02-18"
"State Bank of Patiala",37560,641,38201,488.49,35463,"(B) Regional Rural Bank","2015-02-18"
"State Bank of Patiala",388257,724469,1112726,23249.04,1067146,"(A) Public Sector Banks","2015-02-25"
"State Bank of Patiala",38121,646,38767,492.93,36135,"(B) Regional Rural Bank","2015-02-25"
"State Bank of Patiala",390999,729332,1120331,23253.18,1074320,"(A) Public Sector Banks","2015-03-04"
