Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"State Bank of Travancore",26285,239474,265759,16480.64,48829,"(A) Public Sector Banks","2014-10-15"
"State Bank of Travancore",27494,243049,270543,16422.12,62084,"(A) Public Sector Banks","2014-10-22"
"State Bank of Travancore",28237,247930,276167,16683.85,93784,"(A) Public Sector Banks","2014-10-29"
"State Bank of Travancore",28643,254211,282854,17174.82,109858,"(A) Public Sector Banks","2014-11-05"
"State Bank of Travancore",29212,258161,287373,17373.45,116225,"(A) Public Sector Banks","2014-11-12"
"State Bank of Travancore",31089,264093,295182,17529.33,124538,"(A) Public Sector Banks","2014-11-19"
"State Bank of Travancore",31566,268340,299906,16047.85,133720,"(A) Public Sector Banks","2014-11-26"
"State Bank of Travancore",33014,271899,304913,16219.74,222601,"(A) Public Sector Banks","2014-12-10"
"State Bank of Travancore",33819,273888,307707,14391.42,283085,"(A) Public Sector Banks","2014-12-17"
"State Bank of Travancore",35850,276407,312257,15101.75,312257,"(A) Public Sector Banks","2014-12-24"
"State Bank of Travancore",36701,277649,314350,14887.27,314350,"(A) Public Sector Banks","2014-12-31"
"State Bank of Travancore",37817,279375,317192,14612.9,262328,"(A) Public Sector Banks","2015-01-07"
"State Bank of Travancore",38580,282043,320623,13314.85,266721,"(A) Public Sector Banks","2015-01-14"
"State Bank of Travancore",33800,289836,323636,12856.08,271518,"(A) Public Sector Banks","2015-01-28"
"State Bank of Travancore",34436,292245,326681,12196.17,272449,"(A) Public Sector Banks","2015-02-04"
"State Bank of Travancore",35248,294496,329744,11508.52,273941,"(A) Public Sector Banks","2015-02-11"
"State Bank of Travancore",35641,295912,331553,10924.2,277077,"(A) Public Sector Banks","2015-02-18"
"State Bank of Travancore",36128,296985,333113,10971.63,278141,"(A) Public Sector Banks","2015-02-25"
"State Bank of Travancore",36423,297648,334071,10216.01,279211,"(A) Public Sector Banks","2015-03-04"
"State Bank of Travancore",36672,298136,334808,10226.49,279711,"(A) Public Sector Banks","2015-03-11"
"State Bank of Travancore",36911,300430,337341,11390.32,279985,"(A) Public Sector Banks","2015-03-18"
"State Bank of Travancore",37029,297601,334630,10029.15,281946,"(A) Public Sector Banks","2015-03-25"
"State Bank of Travancore",37095,298592,335687,9279.26,281946,"(A) Public Sector Banks","2015-04-01"
"State Bank of Travancore",37141,298826,335967,8547.73,284216,"(A) Public Sector Banks","2015-04-08"
"State Bank of Travancore",37211,299321,336532,8541.09,284912,"(A) Public Sector Banks","2015-04-15"
"State Bank of Travancore",37236,300408,337644,8556.95,285078,"(A) Public Sector Banks","2015-04-22"
"State Bank of Travancore",34919,286740,321659,8118.61,285442,"(A) Public Sector Banks","2015-04-29"
"State Bank of Travancore",33811,288605,322416,7624.99,285964,"(A) Public Sector Banks","2015-05-06"
"State Bank of Travancore",33881,289672,323553,7024.5,285964,"(A) Public Sector Banks","2015-05-13"
"State Bank of Travancore",33958,290871,324829,7024.62,286137,"(A) Public Sector Banks","2015-05-20"
"State Bank of Travancore",34310,293993,328303,7851.59,286494,"(A) Public Sector Banks","2015-06-03"
"State Bank of Travancore",34481,295901,330382,7862.61,286824,"(A) Public Sector Banks","2015-06-10"
"State Bank of Travancore",34659,297708,332367,7793.56,286840,"(A) Public Sector Banks","2015-06-17"
"State Bank of Travancore",34896,300426,335322,7785.54,286859,"(A) Public Sector Banks","2015-06-24"
"State Bank of Travancore",35124,302248,337372,7877.16,287119,"(A) Public Sector Banks","2015-07-01"
"State Bank of Travancore",35525,305448,340973,7773.11,287312,"(A) Public Sector Banks","2015-07-08"
"State Bank of Travancore",36087,309452,345539,7647.95,287312,"(A) Public Sector Banks","2015-07-15"
"State Bank of Travancore",36890,315672,352562,7604.49,287411,"(A) Public Sector Banks","2015-07-22"
"State Bank of Travancore",38069,326354,364423,7611.36,287413,"(A) Public Sector Banks","2015-07-29"
"State Bank of Travancore",38973,335185,374158,8239.7,287524,"(A) Public Sector Banks","2015-08-05"
"State Bank of Travancore",39640,341667,381307,8399.14,287536,"(A) Public Sector Banks","2015-08-12"
"State Bank of Travancore",39996,346497,386493,7844.69,287540,"(A) Public Sector Banks","2015-08-19"
"State Bank of Travancore",40317,349851,390168,8207.87,288334,"(A) Public Sector Banks","2015-08-26"
"State Bank of Travancore",40470,351123,391593,8253.43,288508,"(A) Public Sector Banks","2015-09-02"
"State Bank of Travancore",40705,354043,394748,8210.2,288916,"(A) Public Sector Banks","2015-09-09"
"State Bank of Travancore",40914,356063,396977,8005.54,288916,"(A) Public Sector Banks","2015-09-16"
"State Bank of Travancore",41144,359089,400233,8008.68,289092,"(A) Public Sector Banks","2015-09-23"
"State Bank of Travancore",41599,362990,404589,8350.49,291526,"(A) Public Sector Banks","2015-10-07"
"State Bank of Travancore",41827,365469,407296,8303.7,291617,"(A) Public Sector Banks","2015-10-14"
"State Bank of Travancore",42687,372350,415037,8162.13,291979,"(A) Public Sector Banks","2015-10-21"
"State Bank of Travancore",43263,376632,419895,8151.55,300327,"(A) Public Sector Banks","2015-10-28"
