Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Syndicate Bank",1065208,643891,1709099,531.18,618289,"(A) Public Sector Banks","2014-09-24"
"Syndicate Bank",1163372,691817,1855189,2.42,618289,"(A) Public Sector Banks","2014-10-01"
"Syndicate Bank",1186045,703044,1889089,6.12,725621,"(A) Public Sector Banks","2014-10-08"
"Syndicate Bank",1278161,743003,2021164,7.67,728509,"(A) Public Sector Banks","2014-10-15"
"Syndicate Bank",1330830,769982,2100812,7.09,728509,"(A) Public Sector Banks","2014-10-22"
"Syndicate Bank",1369980,784577,2154557,8328.2,728509,"(A) Public Sector Banks","2014-10-29"
"Syndicate Bank",547609,182061,729670,5817.83,59596,"(B) Regional Rural Bank","2014-10-29"
"Syndicate Bank",1412472,800620,2213092,8695.81,829328,"(A) Public Sector Banks","2014-11-05"
"Syndicate Bank",575259,192487,767746,0.06,59596,"(B) Regional Rural Bank","2014-11-05"
"Syndicate Bank",1461283,815781,2277064,9824.9,829328,"(A) Public Sector Banks","2014-11-12"
"Syndicate Bank",604224,201741,805965,0.06,59596,"(B) Regional Rural Bank","2014-11-12"
"Syndicate Bank",1533518,842035,2375553,10082.31,1329437,"(A) Public Sector Banks","2014-11-19"
"Syndicate Bank",646191,211067,857258,7442.6,95582,"(B) Regional Rural Bank","2014-11-19"
"Syndicate Bank",1596166,869271,2465437,11404.12,1574625,"(A) Public Sector Banks","2014-11-26"
"Syndicate Bank",703771,221539,925310,7824.62,97785,"(B) Regional Rural Bank","2014-11-26"
"Syndicate Bank",1644954,888822,2533776,12393.38,2076502,"(A) Public Sector Banks","2014-12-03"
"Syndicate Bank",751899,228263,980162,7697.63,97785,"(B) Regional Rural Bank","2014-12-03"
"Syndicate Bank",1699768,912464,2612232,15163.67,2374188,"(A) Public Sector Banks","2014-12-10"
"Syndicate Bank",786525,236096,1022621,7964.93,97785,"(B) Regional Rural Bank","2014-12-10"
"Syndicate Bank",1773063,942659,2715722,16742.82,2459860,"(A) Public Sector Banks","2014-12-17"
"Syndicate Bank",819621,242568,1062189,8609.29,97785,"(B) Regional Rural Bank","2014-12-17"
"Syndicate Bank",1846862,975291,2822153,17719.35,2550780,"(A) Public Sector Banks","2014-12-24"
"Syndicate Bank",846344,249510,1095854,0.09,361946,"(B) Regional Rural Bank","2014-12-24"
"Syndicate Bank",1895099,994070,2889169,20715.8,2640446,"(A) Public Sector Banks","2014-12-31"
"Syndicate Bank",866584,255544,1122128,10323.19,882626,"(B) Regional Rural Bank","2014-12-31"
"Syndicate Bank",1944826,1012994,2957820,21145.36,2728351,"(A) Public Sector Banks","2015-01-07"
"Syndicate Bank",890207,262315,1152522,10602.64,966441,"(B) Regional Rural Bank","2015-01-07"
"Syndicate Bank",1996351,1037891,3034242,22936,2749727,"(A) Public Sector Banks","2015-01-14"
"Syndicate Bank",911215,268322,1179537,11698.79,997282,"(B) Regional Rural Bank","2015-01-14"
"Syndicate Bank",2084568,1082126,3166694,26649.73,3059589,"(A) Public Sector Banks","2015-01-28"
"Syndicate Bank",965704,284965,1250669,12810.09,1103981,"(B) Regional Rural Bank","2015-01-28"
"Syndicate Bank",2139931,1101708,3241639,30014.8,3109933,"(A) Public Sector Banks","2015-02-04"
"Syndicate Bank",979691,289096,1268787,13195.6,1132184,"(B) Regional Rural Bank","2015-02-04"
"Syndicate Bank",2168336,1113510,3281846,34536.55,3131499,"(A) Public Sector Banks","2015-02-11"
"Syndicate Bank",989754,292366,1282120,13616.57,1151636,"(B) Regional Rural Bank","2015-02-11"
"Syndicate Bank",2189510,1124714,3314224,35279.91,3138474,"(A) Public Sector Banks","2015-02-18"
"Syndicate Bank",998087,294405,1292492,13865.66,1151636,"(B) Regional Rural Bank","2015-02-18"
"Syndicate Bank",2218393,1134021,3352414,38173.8,3178880,"(A) Public Sector Banks","2015-02-25"
"Syndicate Bank",1016148,298685,1314833,15797.14,1233942,"(B) Regional Rural Bank","2015-02-25"
"Syndicate Bank",2242602,1143386,3385988,39529.82,3251311,"(A) Public Sector Banks","2015-03-04"
"Syndicate Bank",1028053,301333,1329386,14888.54,1239053,"(B) Regional Rural Bank","2015-03-04"
"Syndicate Bank",2263291,1150514,3413805,41249.17,3277568,"(A) Public Sector Banks","2015-03-11"
"Syndicate Bank",1044323,304528,1348851,15337,1260615,"(B) Regional Rural Bank","2015-03-11"
"Syndicate Bank",2291832,1157802,3449634,42674.5,3304918,"(A) Public Sector Banks","2015-03-18"
"Syndicate Bank",1057310,308596,1365906,15857.01,1278681,"(B) Regional Rural Bank","2015-03-18"
"Syndicate Bank",2316720,1163939,3480659,44034.46,3331397,"(A) Public Sector Banks","2015-03-25"
"Syndicate Bank",1066775,310995,1377770,14831.34,1290905,"(B) Regional Rural Bank","2015-03-25"
"Syndicate Bank",2328549,1168010,3496559,50499.67,3350302,"(A) Public Sector Banks","2015-04-01"
"Syndicate Bank",1097195,316714,1413909,19947.77,1325422,"(B) Regional Rural Bank","2015-04-01"
"Syndicate Bank",2338923,1170324,3509247,47950.81,3350302,"(A) Public Sector Banks","2015-04-08"
"Syndicate Bank",1101490,317526,1419016,19473.44,1327683,"(B) Regional Rural Bank","2015-04-08"
"Syndicate Bank",2353977,1173351,3527328,49435.37,3372102,"(A) Public Sector Banks","2015-04-15"
"Syndicate Bank",1111165,319116,1430281,23335.44,1327683,"(B) Regional Rural Bank","2015-04-15"
"Syndicate Bank",2370335,1177568,3547903,48191.11,3381067,"(A) Public Sector Banks","2015-04-22"
"Syndicate Bank",1140243,327781,1468024,23313.09,1338120,"(B) Regional Rural Bank","2015-04-22"
"Syndicate Bank",2381940,1181289,3563229,50566.63,3394578,"(A) Public Sector Banks","2015-04-29"
"Syndicate Bank",1166022,333409,1499431,23447.44,1354780,"(B) Regional Rural Bank","2015-04-29"
"Syndicate Bank",2390817,1183797,3574614,50777.78,3404415,"(A) Public Sector Banks","2015-05-06"
"Syndicate Bank",1173881,334499,1508380,24037.7,1381540,"(B) Regional Rural Bank","2015-05-06"
"Syndicate Bank",2403404,1188479,3591883,53004.23,3411236,"(A) Public Sector Banks","2015-05-13"
"Syndicate Bank",1180995,335892,1516887,24484.87,1403445,"(B) Regional Rural Bank","2015-05-13"
"Syndicate Bank",2417078,1194336,3611414,52506.97,3418462,"(A) Public Sector Banks","2015-05-20"
"Syndicate Bank",1180995,335892,1516887,24484.87,1403445,"(B) Regional Rural Bank","2015-05-20"
"Syndicate Bank",2444350,1204892,3649242,54357.17,3418806,"(A) Public Sector Banks","2015-06-03"
"Syndicate Bank",1203938,341618,1545556,25572.85,1403445,"(B) Regional Rural Bank","2015-06-03"
"Syndicate Bank",2455913,1209030,3664943,55000.39,3458125,"(A) Public Sector Banks","2015-06-10"
"Syndicate Bank",1213326,342972,1556298,25951.51,1425485,"(B) Regional Rural Bank","2015-06-10"
"Syndicate Bank",2467188,1213209,3680397,55090.36,3494397,"(A) Public Sector Banks","2015-06-17"
"Syndicate Bank",1220346,344069,1564415,26287.52,1469048,"(B) Regional Rural Bank","2015-06-17"
"Syndicate Bank",2480574,1217240,3697814,55856.27,3511957,"(A) Public Sector Banks","2015-06-24"
"Syndicate Bank",1227508,346042,1573550,26760.21,1469048,"(B) Regional Rural Bank","2015-06-24"
"Syndicate Bank",2495459,1224382,3719841,57691,3512364,"(A) Public Sector Banks","2015-07-01"
"Syndicate Bank",1236778,347440,1584218,27551.36,1469048,"(B) Regional Rural Bank","2015-07-01"
"Syndicate Bank",2522621,1231164,3753785,58634.97,3512365,"(A) Public Sector Banks","2015-07-08"
"Syndicate Bank",1254400,350752,1605152,27582.31,1469048,"(B) Regional Rural Bank","2015-07-08"
