Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"UCO Bank",718187,768684,1486871,1663.74,503621,"(A) Public Sector Banks","2014-09-24"
"UCO Bank",791743,846370,1638113,6628.86,619740,"(A) Public Sector Banks","2014-10-01"
"UCO Bank",814077,868417,1682494,1680.94,665302,"(A) Public Sector Banks","2014-10-08"
"UCO Bank",893439,938159,1831598,1469.03,781653,"(A) Public Sector Banks","2014-10-15"
"UCO Bank",932941,969517,1902458,831.36,390709,"(A) Public Sector Banks","2014-10-22"
"UCO Bank",191019,7273,198292,1002.59,9744,"(B) Regional Rural Bank","2014-10-22"
"UCO Bank",969136,991000,1960136,25871.41,1007516,"(A) Public Sector Banks","2014-10-29"
"UCO Bank",239739,7389,247128,1072.33,10742,"(B) Regional Rural Bank","2014-10-29"
"UCO Bank",990158,1031129,2021287,30467.98,1349910,"(A) Public Sector Banks","2014-11-05"
"UCO Bank",243959,7950,251909,1119.17,11291,"(B) Regional Rural Bank","2014-11-05"
"UCO Bank",1028161,1050907,2079068,35345,1640,"(A) Public Sector Banks","2014-11-12"
"UCO Bank",259741,7978,267719,1.28,11691,"(B) Regional Rural Bank","2014-11-12"
"UCO Bank",1060525,1089277,2149802,40733.52,1770102,"(A) Public Sector Banks","2014-11-19"
"UCO Bank",310981,8042,319023,1.42,11838,"(B) Regional Rural Bank","2014-11-19"
"UCO Bank",1087470,1122296,2209766,36646.33,2151417,"(A) Public Sector Banks","2014-11-26"
"UCO Bank",321738,8138,329876,2.72,13032,"(B) Regional Rural Bank","2014-11-26"
"UCO Bank",1177288,1215393,2392681,32441.97,2352141,"(A) Public Sector Banks","2014-12-03"
"UCO Bank",330975,8239,339214,2790.43,129107,"(B) Regional Rural Bank","2014-12-03"
"UCO Bank",1321770,1346782,2668552,28612.18,2592764,"(A) Public Sector Banks","2014-12-10"
"UCO Bank",340535,8257,348792,3017.52,141477,"(B) Regional Rural Bank","2014-12-10"
"UCO Bank",1396785,1466957,2863742,25766.58,2832335,"(A) Public Sector Banks","2014-12-17"
"UCO Bank",369024,8356,377380,3432.19,241477,"(B) Regional Rural Bank","2014-12-17"
"UCO Bank",1484223,1556767,3040990,27773.65,2941692,"(A) Public Sector Banks","2014-12-24"
"UCO Bank",399501,8530,408031,3766.19,264263,"(B) Regional Rural Bank","2014-12-24"
"UCO Bank",1528448,1610822,3139270,29825.55,3006076,"(A) Public Sector Banks","2014-12-31"
"UCO Bank",410786,8596,419382,3908.8,269599,"(B) Regional Rural Bank","2014-12-31"
"UCO Bank",1578418,1660053,3238471,32107.37,3148684,"(A) Public Sector Banks","2015-01-07"
"UCO Bank",418940,8682,427622,4220.71,288446,"(B) Regional Rural Bank","2015-01-07"
"UCO Bank",1612086,1700036,3312122,34417.71,3202734,"(A) Public Sector Banks","2015-01-14"
"UCO Bank",428329,8786,437115,4243.42,329435,"(B) Regional Rural Bank","2015-01-14"
"UCO Bank",1841589,1924268,3765857,38492.74,3377350,"(A) Public Sector Banks","2015-01-28"
"UCO Bank",447585,9015,456600,4422.42,329435,"(B) Regional Rural Bank","2015-01-28"
