Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Union Bank of India",1314401,353560,1667961,347.52,1488936,"(A) Public Sector Banks","2014-10-08"
"Union Bank of India",313222,78792,392014,1573,6694,"(B) Regional Rural Bank","2014-10-08"
"Union Bank of India",1410974,370630,1781604,336.23,1489119,"(A) Public Sector Banks","2014-10-15"
"Union Bank of India",1486567,383813,1870380,363.77,1776331,"(A) Public Sector Banks","2014-10-22"
"Union Bank of India",335132,95063,430195,1797.53,9502,"(B) Regional Rural Bank","2014-10-22"
"Union Bank of India",1987763,677956,2665719,8359.08,2016246,"(A) Public Sector Banks","2014-10-29"
"Union Bank of India",344257,99488,443745,1872.22,10515,"(B) Regional Rural Bank","2014-10-29"
"Union Bank of India",2075910,693897,2769807,9024.96,2017502,"(A) Public Sector Banks","2014-11-05"
"Union Bank of India",349045,104334,453379,2001.32,11689,"(B) Regional Rural Bank","2014-11-05"
"Union Bank of India",2130183,707456,2837639,9970.57,2332399,"(A) Public Sector Banks","2014-11-12"
"Union Bank of India",356009,105521,461530,2219.04,13449,"(B) Regional Rural Bank","2014-11-12"
"Union Bank of India",2215833,730143,2945976,11107.52,2568677,"(A) Public Sector Banks","2014-11-19"
"Union Bank of India",367232,106112,473344,2408.32,16059,"(B) Regional Rural Bank","2014-11-19"
"Union Bank of India",2310674,755700,3066374,12072.13,2692258,"(A) Public Sector Banks","2014-11-26"
"Union Bank of India",380906,106831,487737,2593.07,18318,"(B) Regional Rural Bank","2014-11-26"
"Union Bank of India",2406175,776616,3182791,12911.88,2772492,"(A) Public Sector Banks","2014-12-03"
"Union Bank of India",391607,107392,498999,2737.94,20314,"(B) Regional Rural Bank","2014-12-03"
"Union Bank of India",2488545,798916,3287461,13884.68,2916154,"(A) Public Sector Banks","2014-12-10"
"Union Bank of India",399782,107819,507601,2830.76,21906,"(B) Regional Rural Bank","2014-12-10"
"Union Bank of India",2585579,826214,3411793,15035.32,3055626,"(A) Public Sector Banks","2014-12-17"
"Union Bank of India",409722,108338,518060,3032.12,25348,"(B) Regional Rural Bank","2014-12-17"
"Union Bank of India",2692942,854596,3547538,16009.61,3164018,"(A) Public Sector Banks","2014-12-24"
"Union Bank of India",418992,108828,527820,3083.9,26886,"(B) Regional Rural Bank","2014-12-24"
"Union Bank of India",2754016,877359,3631375,17362.75,3164018,"(A) Public Sector Banks","2014-12-31"
"Union Bank of India",426224,109207,535431,3102.91,26903,"(B) Regional Rural Bank","2014-12-31"
"Union Bank of India",2820691,898146,3718837,18276.43,3318689,"(A) Public Sector Banks","2015-01-07"
"Union Bank of India",433450,109586,543036,3114.97,26926,"(B) Regional Rural Bank","2015-01-07"
"Union Bank of India",2900129,920256,3820385,19574.17,3732250,"(A) Public Sector Banks","2015-01-14"
"Union Bank of India",439931,109927,549858,3125.52,26939,"(B) Regional Rural Bank","2015-01-14"
"Union Bank of India",3038943,969391,4008334,21743.65,3834264,"(A) Public Sector Banks","2015-01-28"
"Union Bank of India",442998,110109,553107,3177.06,275470,"(B) Regional Rural Bank","2015-01-28"
"Union Bank of India",3097942,985836,4083778,22990.6,3947328,"(A) Public Sector Banks","2015-02-04"
"Union Bank of India",443156,110168,553324,3215.71,319020,"(B) Regional Rural Bank","2015-02-04"
"Union Bank of India",3155058,1001842,4156900,24675.68,4067161,"(A) Public Sector Banks","2015-02-11"
"Union Bank of India",443298,110236,553534,3239.46,341409,"(B) Regional Rural Bank","2015-02-11"
"Union Bank of India",3204956,1012105,4217061,25786.04,4065407,"(A) Public Sector Banks","2015-02-18"
