Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"United Bank of India",751228,538973,1290201,1921.21,143275,"(A) Public Sector Banks","2014-09-24"
"United Bank of India",288094,62035,350129,1181.39,5232,"(B) Regional Rural Bank","2014-09-24"
"United Bank of India",907508,658337,1565845,1170.37,1020015,"(A) Public Sector Banks","2014-10-15"
"United Bank of India",990743,708563,1699306,1149.06,1049627,"(A) Public Sector Banks","2014-10-22"
"United Bank of India",1033652,726146,1759798,20390.77,1063383,"(A) Public Sector Banks","2014-10-29"
"United Bank of India",1332924,21087,1354011,8619.81,25840,"(B) Regional Rural Bank","2014-10-29"
"United Bank of India",1099197,771789,1870986,27612.14,1124990,"(A) Public Sector Banks","2014-11-05"
"United Bank of India",1399604,25807,1425411,8497.75,29203,"(B) Regional Rural Bank","2014-11-05"
"United Bank of India",1151893,801205,1953098,29397.55,1137284,"(A) Public Sector Banks","2014-11-12"
"United Bank of India",1484368,23743,1508111,10236.64,35824,"(B) Regional Rural Bank","2014-11-12"
"United Bank of India",1211261,841009,2052270,32758.19,1257161,"(A) Public Sector Banks","2014-11-19"
"United Bank of India",1568076,25670,1593746,8021.41,41999,"(B) Regional Rural Bank","2014-11-19"
"United Bank of India",1262921,878522,2141443,35500.11,1450606,"(A) Public Sector Banks","2014-11-26"
"United Bank of India",1638782,27436,1666218,9115.3,46367,"(B) Regional Rural Bank","2014-11-26"
"United Bank of India",1312385,914053,2226438,40331.05,1503590,"(A) Public Sector Banks","2014-12-03"
"United Bank of India",1696905,28827,1725732,9952.52,49589,"(B) Regional Rural Bank","2014-12-03"
"United Bank of India",1358014,950434,2308448,43567.57,1938922,"(A) Public Sector Banks","2014-12-10"
"United Bank of India",1766154,30722,1796876,12162.08,57526,"(B) Regional Rural Bank","2014-12-10"
"United Bank of India",1419813,1004637,2424450,47348.71,2163360,"(A) Public Sector Banks","2014-12-17"
"United Bank of India",1834916,33146,1868062,12286.07,153574,"(B) Regional Rural Bank","2014-12-17"
"United Bank of India",1550102,1125066,2675168,57051.26,2532338,"(A) Public Sector Banks","2014-12-31"
"United Bank of India",2126019,38057,2164076,15030.54,1154376,"(B) Regional Rural Bank","2014-12-31"
"United Bank of India",1605932,1174013,2779945,59781.81,2563764,"(A) Public Sector Banks","2015-01-07"
"United Bank of India",2215818,39685,2255503,14592.67,1166159,"(B) Regional Rural Bank","2015-01-07"
"United Bank of India",1664830,1227276,2892106,62842.48,2748884,"(A) Public Sector Banks","2015-01-14"
"United Bank of India",2286463,41310,2327773,15473.1,1476739,"(B) Regional Rural Bank","2015-01-14"
"United Bank of India",1799319,1340498,3139817,69625.28,2961184,"(A) Public Sector Banks","2015-01-28"
"United Bank of India",2440113,44468,2484581,17386.19,1905756,"(B) Regional Rural Bank","2015-01-28"
"United Bank of India",1855461,1383352,3238813,79388.11,2979103,"(A) Public Sector Banks","2015-02-04"
"United Bank of India",2513510,45784,2559294,18618.25,1956369,"(B) Regional Rural Bank","2015-02-04"
"United Bank of India",1898268,1416160,3314428,87965.13,2810372,"(A) Public Sector Banks","2015-02-11"
"United Bank of India",2562608,46607,2609215,19738.07,2013521,"(B) Regional Rural Bank","2015-02-11"
"United Bank of India",1929794,1446364,3376158,90772.87,3010252,"(A) Public Sector Banks","2015-02-18"
"United Bank of India",2605438,47531,2652969,20918.98,2013669,"(B) Regional Rural Bank","2015-02-18"
"United Bank of India",1997688,1490080,3487768,94769.87,3024265,"(A) Public Sector Banks","2015-02-25"
"United Bank of India",2641612,48571,2690183,22004.22,2013782,"(B) Regional Rural Bank","2015-02-25"
"United Bank of India",2039753,1520940,3560693,105058.61,3035414,"(A) Public Sector Banks","2015-03-04"
"United Bank of India",2709223,49776,2758999,23470.4,2049794,"(B) Regional Rural Bank","2015-03-04"
"United Bank of India",2075785,1543101,3618886,104463.08,3041852,"(A) Public Sector Banks","2015-03-11"
"United Bank of India",2764346,50967,2815313,24737.24,2092858,"(B) Regional Rural Bank","2015-03-11"
