Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Vijaya Bank",276091,248503,524594,250.47,274301,"(A) Public Sector Banks","2014-09-24"
"Vijaya Bank",300372,270097,570469,730.83,352150,"(A) Public Sector Banks","2014-10-01"
"Vijaya Bank",326179,284171,610350,274.62,507765,"(A) Public Sector Banks","2014-10-15"
"Vijaya Bank",350874,296776,647650,243.34,524600,"(A) Public Sector Banks","2014-10-22"
"Vijaya Bank",369840,305925,675765,907.65,586968,"(A) Public Sector Banks","2014-10-29"
"Vijaya Bank",382408,314294,696702,985.18,617660,"(A) Public Sector Banks","2014-11-05"
"Vijaya Bank",398267,324263,722530,1260,652716,"(A) Public Sector Banks","2014-11-12"
"Vijaya Bank",424158,338621,762779,1519.67,665307,"(A) Public Sector Banks","2014-11-19"
"Vijaya Bank",450446,353374,803820,1679.92,708732,"(A) Public Sector Banks","2014-11-26"
"Vijaya Bank",467744,363117,830861,1800.01,737830,"(A) Public Sector Banks","2014-12-03"
"Vijaya Bank",482818,375016,857834,2117.75,783057,"(A) Public Sector Banks","2014-12-10"
"Vijaya Bank",515775,389842,905617,2335.93,817130,"(A) Public Sector Banks","2014-12-17"
"Vijaya Bank",557829,405949,963778,2578.26,962800,"(A) Public Sector Banks","2014-12-24"
"Vijaya Bank",578427,419027,997454,2806.67,997454,"(A) Public Sector Banks","2014-12-31"
"Vijaya Bank",598963,431127,1030090,3132.71,1022192,"(A) Public Sector Banks","2015-01-07"
"Vijaya Bank",618109,443782,1061891,3428.48,1048409,"(A) Public Sector Banks","2015-01-14"
"Vijaya Bank",656333,461777,1118110,3840.09,1112622,"(A) Public Sector Banks","2015-01-28"
"Vijaya Bank",686389,472772,1159161,4141.74,1153152,"(A) Public Sector Banks","2015-02-04"
"Vijaya Bank",696145,477306,1173451,4538.3,1170574,"(A) Public Sector Banks","2015-02-11"
"Vijaya Bank",701558,480614,1182172,4742.7,1180393,"(A) Public Sector Banks","2015-02-18"
"Vijaya Bank",706783,485023,1191806,4987.12,1190580,"(A) Public Sector Banks","2015-02-25"
"Vijaya Bank",710639,488212,1198851,5318.57,1197568,"(A) Public Sector Banks","2015-03-04"
"Vijaya Bank",713357,490068,1203425,5619.48,1202562,"(A) Public Sector Banks","2015-03-11"
"Vijaya Bank",718037,492636,1210673,5799.14,1209278,"(A) Public Sector Banks","2015-03-18"
"Vijaya Bank",721178,494745,1215923,6025.42,1214938,"(A) Public Sector Banks","2015-03-25"
"Vijaya Bank",723230,495726,1218956,6323.4,1218607,"(A) Public Sector Banks","2015-04-01"
"Vijaya Bank",724474,496583,1221057,6455.65,1220856,"(A) Public Sector Banks","2015-04-08"
"Vijaya Bank",726607,497700,1224307,6501.45,1223989,"(A) Public Sector Banks","2015-04-15"
"Vijaya Bank",728496,498789,1227285,6677.85,1226616,"(A) Public Sector Banks","2015-04-22"
"Vijaya Bank",730083,499932,1230015,6815.56,1229812,"(A) Public Sector Banks","2015-04-29"
"Vijaya Bank",730965,500522,1231487,6945.99,1231102,"(A) Public Sector Banks","2015-05-06"
"Vijaya Bank",732284,501415,1233699,6945.99,1233102,"(A) Public Sector Banks","2015-05-13"
"Vijaya Bank",734138,502680,1236818,7334.41,1235147,"(A) Public Sector Banks","2015-05-20"
"Vijaya Bank",738480,505640,1244120,7362.5,1243947,"(A) Public Sector Banks","2015-06-03"
"Vijaya Bank",740119,506752,1246871,7587.52,1245231,"(A) Public Sector Banks","2015-06-10"
"Vijaya Bank",741824,507907,1249731,7674.2,1248934,"(A) Public Sector Banks","2015-06-17"
"Vijaya Bank",743365,508956,1252321,7823.92,1251851,"(A) Public Sector Banks","2015-06-24"
"Vijaya Bank",744827,509948,1254775,7979.09,1254102,"(A) Public Sector Banks","2015-07-01"
"Vijaya Bank",746422,511030,1257452,8301.9,1255291,"(A) Public Sector Banks","2015-07-08"
"Vijaya Bank",747440,511675,1259115,8357.24,1257443,"(A) Public Sector Banks","2015-07-15"
"Vijaya Bank",748367,512306,1260673,8505.89,1258889,"(A) Public Sector Banks","2015-07-22"
"Vijaya Bank",750113,513507,1263620,8570.95,1262409,"(A) Public Sector Banks","2015-07-29"
"Vijaya Bank",751813,514670,1266483,8690.36,1265497,"(A) Public Sector Banks","2015-08-05"
"Vijaya Bank",753575,515852,1269427,8914.45,1268155,"(A) Public Sector Banks","2015-08-12"
"Vijaya Bank",754665,516583,1271248,8986.47,1269680,"(A) Public Sector Banks","2015-08-19"
"Vijaya Bank",755970,517467,1273437,9067.05,1271053,"(A) Public Sector Banks","2015-08-26"
"Vijaya Bank",757185,518302,1275487,9127.23,1272612,"(A) Public Sector Banks","2015-09-02"
"Vijaya Bank",758862,519391,1278253,9309.67,1276393,"(A) Public Sector Banks","2015-09-09"
"Vijaya Bank",759653,519929,1279582,9307.02,1278275,"(A) Public Sector Banks","2015-09-16"
"Vijaya Bank",760993,520846,1281839,9511.72,1279062,"(A) Public Sector Banks","2015-09-23"
"Vijaya Bank",762893,522151,1285044,9945.02,1283412,"(A) Public Sector Banks","2015-10-07"
"Vijaya Bank",763863,522771,1286634,10085.73,1285152,"(A) Public Sector Banks","2015-10-14"
"Vijaya Bank",765091,524104,1289195,10085.97,1287949,"(A) Public Sector Banks","2015-10-21"
"Vijaya Bank",765458,524370,1289828,10059.66,1289120,"(A) Public Sector Banks","2015-10-28"
"Vijaya Bank",766432,524728,1291160,10138.72,1289304,"(A) Public Sector Banks","2015-11-04"
"Vijaya Bank",767450,525527,1292977,10138.72,1291122,"(A) Public Sector Banks","2015-11-11"
"Vijaya Bank",767916,525520,1293436,10369.22,1291709,"(A) Public Sector Banks","2015-11-18"
"Vijaya Bank",768850,526111,1294961,10436.66,1292885,"(A) Public Sector Banks","2015-11-25"
"Vijaya Bank",769460,526518,1295978,10472.19,1294549,"(A) Public Sector Banks","2015-12-02"
"Vijaya Bank",770354,527144,1297498,10663.48,1295458,"(A) Public Sector Banks","2015-12-09"
"Vijaya Bank",771422,527880,1299302,10957.2,1298136,"(A) Public Sector Banks","2015-12-16"
"Vijaya Bank",772093,528316,1300409,11065.46,1299407,"(A) Public Sector Banks","2015-12-23"
"Vijaya Bank",772790,528795,1301585,11049.53,1299748,"(A) Public Sector Banks","2015-12-30"
"Vijaya Bank",774210,529751,1303961,11292.87,1302104,"(A) Public Sector Banks","2016-01-06"
"Vijaya Bank",775476,530609,1306085,11598.44,1304198,"(A) Public Sector Banks","2016-01-13"
"Vijaya Bank",776814,531516,1308330,11704.08,1305134,"(A) Public Sector Banks","2016-01-20"
"Vijaya Bank",777646,532531,1310177,11763.04,1308319,"(A) Public Sector Banks","2016-01-27"
"Vijaya Bank",779160,533523,1312683,12440.54,1311637,"(A) Public Sector Banks","2016-02-10"
"Vijaya Bank",780752,534608,1315360,12560.15,1313199,"(A) Public Sector Banks","2016-02-17"
"Vijaya Bank",782831,535780,1318611,12662.33,1315512,"(A) Public Sector Banks","2016-02-24"
"Vijaya Bank",784173,537792,1321965,12679.79,1319235,"(A) Public Sector Banks","2016-03-02"
"Vijaya Bank",820655,575532,1396187,14482.06,1392704,"(A) Public Sector Banks","2016-03-09"
"Vijaya Bank",828823,581556,1410379,14963.81,1407133,"(A) Public Sector Banks","2016-03-16"
"Vijaya Bank",833072,584741,1417813,14964.12,1415194,"(A) Public Sector Banks","2016-03-23"
"Vijaya Bank",908177,364125,1272302,15835.29,1518970,"(A) Public Sector Banks","2016-03-30"
"Vijaya Bank",913292,644440,1557732,15839.36,1535585,"(A) Public Sector Banks","2016-04-06"
"Vijaya Bank",915346,645648,1560994,15839.99,1543794,"(A) Public Sector Banks","2016-04-13"
"Vijaya Bank",915535,646025,1561560,15840.07,1548164,"(A) Public Sector Banks","2016-04-20"
"Vijaya Bank",915535,647078,1562613,14973.76,1552395,"(A) Public Sector Banks","2016-04-27"
"Vijaya Bank",915609,648153,1563762,14973.76,1557434,"(A) Public Sector Banks","2016-05-04"
"Vijaya Bank",915609,649729,1565338,14973.76,1559140,"(A) Public Sector Banks","2016-05-11"
"Vijaya Bank",915609,649729,1565338,14973.96,1559140,"(A) Public Sector Banks","2016-05-18"
"Vijaya Bank",875101,614674,1489775,14647.71,1463086,"(A) Public Sector Banks","2016-05-25"
"Vijaya Bank",869101,614674,1483775,14652.81,1463477,"(A) Public Sector Banks","2016-06-01"
"Vijaya Bank",633080,452226,1085306,3640.4,1079363,"(A) Public Sector Banks","2015-01-21"
"Vijaya Bank",735543,503867,1239410,7341.09,1239410,"(A) Public Sector Banks","2015-05-27"
"Vijaya Bank",761106,520918,1282024,9667.75,1280043,"(A) Public Sector Banks","2015-09-30"
"Vijaya Bank",777998,532747,1310745,11914.79,1309501,"(A) Public Sector Banks","2016-02-03"
"Vijaya Bank",869101,614858,1483959,14651.96,1457379,"(A) Public Sector Banks","2016-06-08"
"Vijaya Bank",832675,596492,1429167,14654.63,1407187,"(A) Public Sector Banks","2016-10-12"
"Vijaya Bank",872975,636279,1509254,21641.38,1472397,"(A) Public Sector Banks","2017-02-15"
"Vijaya Bank",823890,640039,1463929,18649.25,1463929,"(A) Public Sector Banks","2017-06-21"
"Vijaya Bank",830175,640149,1470324,18820.45,1469090,"(A) Public Sector Banks","2017-10-25"
"Vijaya Bank",824512,636803,1461315,20076.51,1459788,"(A) Public Sector Banks","2018-02-28"
"Vijaya Bank",823341,635958,1459299,21501.19,1457358,"(A) Public Sector Banks","2018-07-11"
"Vijaya Bank",863101,610904,1474005,14651.86,1458590,"(A) Public Sector Banks","2016-06-15"
"Vijaya Bank",863101,590904,1454005,14647.26,1440920,"(A) Public Sector Banks","2016-06-22"
"Vijaya Bank",826101,590904,1417005,14647.26,1394920,"(A) Public Sector Banks","2016-06-29"
"Vijaya Bank",826101,589804,1415905,14647.19,1395920,"(A) Public Sector Banks","2016-07-06"
"Vijaya Bank",826101,588798,1414899,14647.12,1396220,"(A) Public Sector Banks","2016-07-13"
"Vijaya Bank",826101,588720,1414821,14647.3,1395930,"(A) Public Sector Banks","2016-07-20"
"Vijaya Bank",825501,588720,1414221,14647.3,1396930,"(A) Public Sector Banks","2016-07-27"
"Vijaya Bank",825441,588720,1414161,14647.36,1396951,"(A) Public Sector Banks","2016-08-03"
"Vijaya Bank",825441,588673,1414114,14648.37,1396971,"(A) Public Sector Banks","2016-08-10"
"Vijaya Bank",825341,588567,1413908,14648.46,1398077,"(A) Public Sector Banks","2016-08-17"
"Vijaya Bank",825341,588537,1413878,14648.54,1398410,"(A) Public Sector Banks","2016-08-24"
"Vijaya Bank",825741,588537,1414278,14648.84,1399401,"(A) Public Sector Banks","2016-08-31"
"Vijaya Bank",825741,588635,1414376,14648.77,1399471,"(A) Public Sector Banks","2016-09-07"
"Vijaya Bank",825741,589425,1415166,14650.67,1400171,"(A) Public Sector Banks","2016-09-14"
"Vijaya Bank",825741,593425,1419166,14652.67,1402171,"(A) Public Sector Banks","2016-09-21"
"Vijaya Bank",827329,593565,1420894,14652.93,1403171,"(A) Public Sector Banks","2016-09-28"
"Vijaya Bank",829322,593568,1422890,14654.03,1404187,"(A) Public Sector Banks","2016-10-05"
"Vijaya Bank",841653,605701,1447354,14654.63,1421089,"(A) Public Sector Banks","2016-10-19"
"Vijaya Bank",844653,605701,1450354,14654.63,1427089,"(A) Public Sector Banks","2016-10-26"
"Vijaya Bank",846673,607201,1453874,14654.63,1432345,"(A) Public Sector Banks","2016-11-02"
"Vijaya Bank",848256,607201,1455457,14656.53,1434043,"(A) Public Sector Banks","2016-11-09"
"Vijaya Bank",849438,607201,1456639,24528.13,1436049,"(A) Public Sector Banks","2016-11-16"
"Vijaya Bank",852807,607201,1460008,25158.82,1439049,"(A) Public Sector Banks","2016-11-23"
"Vijaya Bank",866536,628270,1494806,24835.28,1439843,"(A) Public Sector Banks","2016-11-30"
