Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Yes Bank Ltd",1179,559,1738,0.91,1740,"(C) Major Private Banks","2014-10-15"
"Yes Bank Ltd",1391,702,2093,4.83,2099,"(C) Major Private Banks","2014-10-29"
"Yes Bank Ltd",1559,797,2356,5.92,2354,"(C) Major Private Banks","2014-11-05"
"Yes Bank Ltd",1655,884,2539,8.53,2539,"(C) Major Private Banks","2014-11-12"
"Yes Bank Ltd",1779,1006,2785,10.14,2785,"(C) Major Private Banks","2014-11-19"
"Yes Bank Ltd",2077,1132,3209,10.85,3209,"(C) Major Private Banks","2014-11-26"
"Yes Bank Ltd",2408,1241,3649,11.57,3649,"(C) Major Private Banks","2014-12-03"
"Yes Bank Ltd",2513,1353,3866,12.82,3866,"(C) Major Private Banks","2014-12-10"
"Yes Bank Ltd",2900,1706,4606,12.85,0,"(C) Major Private Banks","2014-12-17"
"Yes Bank Ltd",3372,2042,5414,13.26,0,"(C) Major Private Banks","2014-12-24"
"Yes Bank Ltd",3823,2307,6130,15.69,0,"(C) Major Private Banks","2014-12-31"
"Yes Bank Ltd",4366,2593,6959,19.57,0,"(C) Major Private Banks","2015-01-07"
"Yes Bank Ltd",4729,2904,7633,22.09,0,"(C) Major Private Banks","2015-01-14"
"Yes Bank Ltd",5230,3328,8558,27.1,0,"(C) Major Private Banks","2015-01-28"
"Yes Bank Ltd",5455,3557,9012,29.18,0,"(C) Major Private Banks","2015-02-04"
"Yes Bank Ltd",5583,3638,9221,34.02,0,"(C) Major Private Banks","2015-02-11"
"Yes Bank Ltd",5745,3748,9493,37.56,0,"(C) Major Private Banks","2015-02-18"
"Yes Bank Ltd",5838,3985,9823,36.75,0,"(C) Major Private Banks","2015-02-25"
"Yes Bank Ltd",5976,4126,10102,43.52,0,"(C) Major Private Banks","2015-03-04"
"Yes Bank Ltd",6034,4232,10266,48.7,0,"(C) Major Private Banks","2015-03-11"
"Yes Bank Ltd",6113,4420,10533,49.14,0,"(C) Major Private Banks","2015-03-18"
"Yes Bank Ltd",6250,4519,10769,51.58,0,"(C) Major Private Banks","2015-03-25"
"Yes Bank Ltd",6387,4722,11109,58.75,0,"(C) Major Private Banks","2015-04-01"
"Yes Bank Ltd",6417,4735,11152,63.58,0,"(C) Major Private Banks","2015-04-08"
"Yes Bank Ltd",6493,4759,11252,66.73,0,"(C) Major Private Banks","2015-04-15"
"Yes Bank Ltd",6541,4785,11326,66.74,0,"(C) Major Private Banks","2015-04-22"
"Yes Bank Ltd",6582,4816,11398,67.58,0,"(C) Major Private Banks","2015-04-29"
"Yes Bank Ltd",6630,4853,11483,57.21,0,"(C) Major Private Banks","2015-05-06"
"Yes Bank Ltd",6691,4947,11638,76.7,0,"(C) Major Private Banks","2015-05-13"
"Yes Bank Ltd",6781,5052,11833,78.62,0,"(C) Major Private Banks","2015-05-20"
"Yes Bank Ltd",6908,5231,12139,80.42,0,"(C) Major Private Banks","2015-06-03"
"Yes Bank Ltd",6939,5260,12199,81.9,0,"(C) Major Private Banks","2015-06-10"
"Yes Bank Ltd",6970,5289,12259,87.94,0,"(C) Major Private Banks","2015-06-17"
"Yes Bank Ltd",6988,5313,12301,90.31,0,"(C) Major Private Banks","2015-06-24"
"Yes Bank Ltd",7006,5339,12345,90.24,12157,"(C) Major Private Banks","2015-07-01"
"Yes Bank Ltd",7067,5373,12440,94.79,12252,"(C) Major Private Banks","2015-07-08"
"Yes Bank Ltd",7105,5407,12512,97.2,12324,"(C) Major Private Banks","2015-07-15"
"Yes Bank Ltd",7135,5428,12563,94.94,12375,"(C) Major Private Banks","2015-07-22"
"Yes Bank Ltd",7159,5444,12603,92.38,12415,"(C) Major Private Banks","2015-07-29"
"Yes Bank Ltd",7176,5464,12640,90.79,12452,"(C) Major Private Banks","2015-08-05"
"Yes Bank Ltd",7196,5478,12674,96.13,12486,"(C) Major Private Banks","2015-08-12"
"Yes Bank Ltd",7217,5485,12702,96.13,12488,"(C) Major Private Banks","2015-08-19"
"Yes Bank Ltd",7242,5503,12745,98.08,12557,"(C) Major Private Banks","2015-08-26"
"Yes Bank Ltd",7251,5515,12766,96.01,12578,"(C) Major Private Banks","2015-09-02"
"Yes Bank Ltd",7263,5540,12803,101.43,12615,"(C) Major Private Banks","2015-09-09"
"Yes Bank Ltd",7276,5547,12823,101.97,12635,"(C) Major Private Banks","2015-09-16"
