Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Axis Bank Ltd",56014,68474,124488,62.79,0,"(C) Major Private Banks","2014-09-24"
"City Union Bank Ltd",5823,25189,31012,57.41,0,"(C) Major Private Banks","2014-09-24"
"HDFC Bank Ltd",58630,258251,316881,804.46,20746,"(C) Major Private Banks","2014-09-24"
"ICICI Bank Ltd",194386,60837,255223,148.21,4442,"(C) Major Private Banks","2014-09-24"
"Karur Vysya Bank",3392,36906,40298,12.49,16922,"(C) Major Private Banks","2014-09-24"
"Kotak Mahindra Bank Ltd",14116,9338,23454,3.14,0,"(C) Major Private Banks","2014-09-24"
"RBL Bank Ltd",26897,12169,39066,2.36,13379,"(C) Major Private Banks","2014-09-24"
"Major Private Banks Sub Total",359258,471164,830422,1090.87,55489,"(C) Major Private Banks","2014-09-24"
"Major Private Banks Sub Total",NA,NA,NA,NA,NA,"(C) Major Private Banks","2014-10-01"
"Axis Bank Ltd",70407,100669,171076,70.69,0,"(C) Major Private Banks","2014-10-08"
"City Union Bank Ltd",6148,27285,33433,38.92,0,"(C) Major Private Banks","2014-10-08"
"Federal Bank Ltd",77862,24077,101939,463.28,26894,"(C) Major Private Banks","2014-10-08"
"ICICI Bank Ltd",263777,73611,337388,230.12,4563,"(C) Major Private Banks","2014-10-08"
"Karur Vysya Bank",3666,40301,43967,14.71,36018,"(C) Major Private Banks","2014-10-08"
"Kotak Mahindra Bank Ltd",17153,12643,29796,8.21,0,"(C) Major Private Banks","2014-10-08"
"RBL Bank Ltd",30481,13967,44448,0,13379,"(C) Major Private Banks","2014-10-08"
"Major Private Banks Sub Total",469494,292553,762047,825.93,80854,"(C) Major Private Banks","2014-10-08"
"Axis Bank Ltd",61691,106304,167995,23.6,0,"(C) Major Private Banks","2014-10-15"
"City Union Bank Ltd",6503,28434,34937,34.94,0,"(C) Major Private Banks","2014-10-15"
"Federal Bank Ltd",84841,26455,111296,344.77,33249,"(C) Major Private Banks","2014-10-15"
"HDFC Bank Ltd",85530,381491,467021,209.62,54451,"(C) Major Private Banks","2014-10-15"
"ICICI Bank Ltd",283494,79482,362976,179.16,41639,"(C) Major Private Banks","2014-10-15"
"IndusInd Bank Ltd",6596,20742,27338,6.4,20825,"(C) Major Private Banks","2014-10-15"
"Karur Vysya Bank",3872,44186,48058,22.76,38078,"(C) Major Private Banks","2014-10-15"
"Kotak Mahindra Bank Ltd",19457,13677,33134,18.04,0,"(C) Major Private Banks","2014-10-15"
"RBL Bank Ltd",34236,15988,50224,1.08,13379,"(C) Major Private Banks","2014-10-15"
"Yes Bank Ltd",1179,559,1738,0.91,1740,"(C) Major Private Banks","2014-10-15"
"Major Private Banks Sub Total",587399,717318,1304717,841.28,203361,"(C) Major Private Banks","2014-10-15"
"Axis Bank Ltd",63692,112509,176201,26.38,58801,"(C) Major Private Banks","2014-10-22"
"City Union Bank Ltd",6676,29391,36067,41.79,0,"(C) Major Private Banks","2014-10-22"
"Federal Bank Ltd",99568,31324,130892,381.41,37688,"(C) Major Private Banks","2014-10-22"
"HDFC Bank Ltd",94632,424679,519311,206.42,84672,"(C) Major Private Banks","2014-10-22"
"ICICI Bank Ltd",333259,85438,418697,258.2,89660,"(C) Major Private Banks","2014-10-22"
"IndusInd Bank Ltd",7745,33768,41513,4.98,23657,"(C) Major Private Banks","2014-10-22"
"Karur Vysya Bank",4003,47389,51392,26.84,39630,"(C) Major Private Banks","2014-10-22"
"Major Private Banks Sub Total",609575,764498,1374073,946.01,334108,"(C) Major Private Banks","2014-10-22"
"Axis Bank Ltd",64315,115077,179392,667.07,62094,"(C) Major Private Banks","2014-10-29"
"City Union Bank Ltd",7029,30836,37865,146.31,0,"(C) Major Private Banks","2014-10-29"
"Federal Bank Ltd",93236,29354,122590,9012.04,44407,"(C) Major Private Banks","2014-10-29"
"HDFC Bank Ltd",101017,446653,547670,11364.97,92141,"(C) Major Private Banks","2014-10-29"
"ICICI Bank Ltd",359495,88874,448369,705.92,117348,"(C) Major Private Banks","2014-10-29"
"IndusInd Bank Ltd",8110,46438,54548,38.14,28489,"(C) Major Private Banks","2014-10-29"
"Karur Vysya Bank",4169,49549,53718,96.77,42744,"(C) Major Private Banks","2014-10-29"
"Kotak Mahindra Bank Ltd",20766,14797,35563,35.72,34239,"(C) Major Private Banks","2014-10-29"
"Lakshmi Vilas Bank Ltd",2851,13672,16523,33.45,0,"(C) Major Private Banks","2014-10-29"
"South Indian Bank Ltd",7894,39490,47384,203.24,8297,"(C) Major Private Banks","2014-10-29"
"Yes Bank Ltd",1391,702,2093,4.83,2099,"(C) Major Private Banks","2014-10-29"
"Major Private Banks Sub Total",670273,875442,1545715,22308.47,431858,"(C) Major Private Banks","2014-10-29"
"Axis Bank Ltd",65491,120253,185744,1125.59,64368,"(C) Major Private Banks","2014-11-05"
"City Union Bank Ltd",7197,31753,38950,148.78,0,"(C) Major Private Banks","2014-11-05"
"Federal Bank Ltd",97471,30207,127678,9661.68,50542,"(C) Major Private Banks","2014-11-05"
"HDFC Bank Ltd",108279,462788,571067,13559.72,101904,"(C) Major Private Banks","2014-11-05"
"ICICI Bank Ltd",373940,93985,467925,1016.69,200433,"(C) Major Private Banks","2014-11-05"
"IndusInd Bank Ltd",8378,48319,56697,54.14,55700,"(C) Major Private Banks","2014-11-05"
"Jammu & Kashmir Bank Ltd",205203,49195,254398,0.03,21,"(C) Major Private Banks","2014-11-05"
"Karur Vysya Bank",4250,50881,55131,109.29,42744,"(C) Major Private Banks","2014-11-05"
"Kotak Mahindra Bank Ltd",21239,15285,36524,43.74,35899,"(C) Major Private Banks","2014-11-05"
"Lakshmi Vilas Bank Ltd",2912,14079,16991,37.3,0,"(C) Major Private Banks","2014-11-05"
"RBL Bank Ltd",46115,23297,69412,58.69,28143,"(C) Major Private Banks","2014-11-05"
"South Indian Bank Ltd",8382,41257,49639,229.44,8977,"(C) Major Private Banks","2014-11-05"
"Yes Bank Ltd",1559,797,2356,5.92,2354,"(C) Major Private Banks","2014-11-05"
"Major Private Banks Sub Total",950416,982096,1932512,26051.01,591085,"(C) Major Private Banks","2014-11-05"
"Axis Bank Ltd",66055,123611,189666,1188.33,66886,"(C) Major Private Banks","2014-11-12"
"City Union Bank Ltd",7587,32947,40534,188.5,0,"(C) Major Private Banks","2014-11-12"
"Federal Bank Ltd",101388,31235,132623,9690.76,53931,"(C) Major Private Banks","2014-11-12"
"HDFC Bank Ltd",113965,476428,590393,21269.22,109344,"(C) Major Private Banks","2014-11-12"
"ICICI Bank Ltd",387834,97407,485241,770.08,350500,"(C) Major Private Banks","2014-11-12"
"IndusInd Bank Ltd",8845,49591,58436,104.84,57033,"(C) Major Private Banks","2014-11-12"
"Jammu & Kashmir Bank Ltd",216455,51139,267594,0.03,21,"(C) Major Private Banks","2014-11-12"
"Karur Vysya Bank",4326,52143,56469,92.96,48035,"(C) Major Private Banks","2014-11-12"
"Kotak Mahindra Bank Ltd",21653,15655,37308,68.73,36200,"(C) Major Private Banks","2014-11-12"
"Lakshmi Vilas Bank Ltd",3138,14669,17807,35,0,"(C) Major Private Banks","2014-11-12"
"RBL Bank Ltd",48839,25021,73860,51.24,28143,"(C) Major Private Banks","2014-11-12"
"South Indian Bank Ltd",8774,43333,52107,274.14,20501,"(C) Major Private Banks","2014-11-12"
"Yes Bank Ltd",1655,884,2539,8.53,2539,"(C) Major Private Banks","2014-11-12"
"Major Private Banks Sub Total",990514,1014063,2004577,33742.34,773133,"(C) Major Private Banks","2014-11-12"
"Axis Bank Ltd",66914,128378,195292,1173.29,72504,"(C) Major Private Banks","2014-11-19"
"City Union Bank Ltd",8052,34760,42812,206.04,0,"(C) Major Private Banks","2014-11-19"
"Federal Bank Ltd",107614,32116,139730,9735.49,61472,"(C) Major Private Banks","2014-11-19"
"HDFC Bank Ltd",120653,492744,613397,21879.93,118521,"(C) Major Private Banks","2014-11-19"
"ICICI Bank Ltd",408029,101064,509093,654.85,490335,"(C) Major Private Banks","2014-11-19"
"IndusInd Bank Ltd",9456,59818,69274,103.65,58987,"(C) Major Private Banks","2014-11-19"
"Jammu & Kashmir Bank Ltd",223721,51788,275509,0.03,21,"(C) Major Private Banks","2014-11-19"
"Karur Vysya Bank",4406,54013,58419,105.9,49711,"(C) Major Private Banks","2014-11-19"
