Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Public Sector Banks",17394862,14845177,32240039,93390.3,10402669,"Summary","2014-09-24"
"Regional Rural Banks",357621,66286,423907,1431.38,6119,"Summary","2014-09-24"
"Private Sector Banks",359258,471164,830422,1090.87,55489,"Summary","2014-09-24"
"Grand Total",18111741,15382627,33494368,95912.55,10464277,"Summary","2014-09-24"
"Public Sector Banks",4029772,2754484,6784256,10466.93,1703977,"Summary","2014-10-01"
"Regional Rural Banks",198184,91256,289440,0,48719,"Summary","2014-10-01"
"Grand Total",4227956,2845740,7073696,10466.93,1752696,"Summary","2014-10-01"
"Public Sector Banks",14856505,13855257,28711762,11133.84,14468061,"Summary","2014-10-08"
"Regional Rural Banks",313222,78792,392014,1573,6694,"Summary","2014-10-08"
"Private Sector Banks",469494,292553,762047,825.93,80854,"Summary","2014-10-08"
"Grand Total",15639221,14226602,29865823,13532.77,14555609,"Summary","2014-10-08"
"Public Sector Banks",22088030,20609465,42697495,34272.27,21924436,"Summary","2014-10-15"
"Regional Rural Banks",143148,47453,190601,41.82,128335,"Summary","2014-10-15"
"Private Sector Banks",587399,717318,1304717,841.28,203361,"Summary","2014-10-15"
"Grand Total",22818577,21374236,44192813,35155.37,22256132,"Summary","2014-10-15"
"Public Sector Banks",19923405,19779051,39702456,29121.22,21852910,"Summary","2014-10-22"
"Regional Rural Banks",745574,210774,956348,2800.12,116142,"Summary","2014-10-22"
"Private Sector Banks",609575,764498,1374073,946.01,334108,"Summary","2014-10-22"
"Grand Total",21278554,20754323,42032877,32867.35,22303160,"Summary","2014-10-22"
"Public Sector Banks",28574563,24190468,52765031,314628.43,28918571,"Summary","2014-10-29"
"Regional Rural Banks",9382212,1823299,11205511,57879.58,1100154,"Summary","2014-10-29"
"Private Sector Banks",670273,875442,1545715,22308.47,431858,"Summary","2014-10-29"
"Grand Total",38627048,26889209,65516257,394816.48,30450583,"Summary","2014-10-29"
"Public Sector Banks",30833241,26068406,56901647,419927.65,32997113,"Summary","2014-11-05"
"Regional Rural Banks",9918749,1751966,11670715,51547.74,1202076,"Summary","2014-11-05"
"Private Sector Banks",950416,982096,1932512,26051.01,591085,"Summary","2014-11-05"
"Grand Total",41702406,28802468,70504874,497526.4,34790274,"Summary","2014-11-05"
"Public Sector Banks",32021638,27040384,59062022,464556.53,33859690,"Summary","2014-11-12"
"Regional Rural Banks",10409959,1826498,12236457,57196.85,1321989,"Summary","2014-11-12"
"Private Sector Banks",990514,1014063,2004577,33742.34,773133,"Summary","2014-11-12"
"Grand Total",43422111,29880945,73303056,555495.72,35954812,"Summary","2014-11-12"
"Public Sector Banks",33759705,28409062,62168767,494604.39,39856807,"Summary","2014-11-19"
"Regional Rural Banks",11079391,1960919,13040310,73449.6,1811662,"Summary","2014-11-19"
"Private Sector Banks",1039225,1060920,2100145,34318.32,942009,"Summary","2014-11-19"
"Grand Total",45878321,31430901,77309222,602372.31,42610478,"Summary","2014-11-19"
"Public Sector Banks",35469451,29774121,65243572,509823.01,43615330,"Summary","2014-11-26"
"Regional Rural Banks",11730447,2083823,13814270,84234.73,2045114,"Summary","2014-11-26"
"Private Sector Banks",1067353,1097612,2164965,32893.84,1208127,"Summary","2014-11-26"
"Grand Total",48267251,32955556,81222807,626951.58,46868571,"Summary","2014-11-26"
"Public Sector Banks",36166563,30410575,66577138,503350.28,48648882,"Summary","2014-12-03"
"Regional Rural Banks",12223546,2157297,14380843,95976.79,2255185,"Summary","2014-12-03"
"Private Sector Banks",861253,1073543,1934796,33732.02,1320187,"Summary","2014-12-03"
"Grand Total",49251362,33641415,82892777,633059.09,52224254,"Summary","2014-12-03"
"Public Sector Banks",38880468,32704542,71585010,546830.58,55065020,"Summary","2014-12-10"
